Timestamp,['1ef4686a-44c65569 0070-QUINNEY COLLEGE OF LAW Power Meter 313199 Current A']
2017-01-01T00:00:00-07:00,188.48909282684326 A
2017-01-02T00:00:00-07:00,192.09386126200357 A
2017-01-03T00:00:00-07:00,203.61920022964478 A
2017-01-04T00:00:00-07:00,195.81473541259766 A
2017-01-05T00:00:00-07:00,191.73062602678934 A
2017-01-06T00:00:00-07:00,198.85515729586282 A
2017-01-07T00:00:00-07:00,188.91532015800476 A
2017-01-08T00:00:00-07:00,187.54644775390625 A
2017-01-09T00:00:00-07:00,199.51298316319784 A
2017-01-10T00:00:00-07:00,201.43184026082358 A
2017-01-11T00:00:00-07:00,206.44586817423502 A
2017-01-12T00:00:00-07:00,204.5523223876953 A
2017-01-13T00:00:00-07:00,189.21955450375876 A
2017-01-14T00:00:00-07:00,174.88481187820435 A
2017-01-15T00:00:00-07:00,176.28436183929443 A
2017-01-16T00:00:00-07:00,184.95736153920492 A
2017-01-17T00:00:00-07:00,198.18969631195068 A
2017-01-18T00:00:00-07:00,204.0538891960593 A
2017-01-19T00:00:00-07:00,207.16761938730875 A
2017-01-20T00:00:00-07:00,191.06628322601318 A
2017-01-21T00:00:00-07:00,189.6585143407186 A
2017-01-22T00:00:00-07:00,192.99721701939902 A
2017-01-23T00:00:00-07:00,210.08422485987344 A
2017-01-24T00:00:00-07:00,214.3506399790446 A
2017-01-25T00:00:00-07:00,217.04651498794556 A
2017-01-26T00:00:00-07:00,212.75034125645956 A
2017-01-27T00:00:00-07:00,207.96365880966187 A
2017-01-28T00:00:00-07:00,194.21163066228232 A
2017-01-29T00:00:00-07:00,194.88829803466797 A
2017-01-30T00:00:00-07:00,214.6903518040975 A
2017-01-31T00:00:00-07:00,211.41179021199545 A
2017-02-01T00:00:00-07:00,208.13197149979442 A
2017-02-02T00:00:00-07:00,202.5525606473287 A
2017-02-03T00:00:00-07:00,197.05502733133608 A
2017-02-07T00:00:00-07:00,207.46454391479492 A
2017-02-08T00:00:00-07:00,179.8056191885343 A
2017-02-09T00:00:00-07:00,182.41606243451437 A
2017-02-10T00:00:00-07:00,189.91906650861105 A
2017-02-11T00:00:00-07:00,162.92043916384378 A
2017-02-12T00:00:00-07:00,163.04564889272055 A
2017-02-13T00:00:00-07:00,186.03150582313538 A
2017-02-14T00:00:00-07:00,183.03883457183838 A
2017-02-15T00:00:00-07:00,185.8002643585205 A
2017-02-16T00:00:00-07:00,187.94622039794922 A
2017-02-17T00:00:00-07:00,172.22187081972757 A
2017-02-18T00:00:00-07:00,126.92910679181416 A
2017-02-19T00:00:00-07:00,110.15946020682652 A
2017-02-20T00:00:00-07:00,161.44353206952414 A
2017-02-21T00:00:00-07:00,170.57000891367593 A
2017-02-22T00:00:00-07:00,203.57087818781534 A
2017-02-23T00:00:00-07:00,211.79654105504355 A
2017-02-24T00:00:00-07:00,207.99444695967662 A
2017-02-25T00:00:00-07:00,197.04218212763467 A
2017-02-26T00:00:00-07:00,190.65223487218222 A
2017-02-27T00:00:00-07:00,212.06691773732504 A
2017-02-28T00:00:00-07:00,211.28625345230103 A
2017-03-01T00:00:00-07:00,200.61048396428427 A
2017-03-02T00:00:00-07:00,178.19290486971536 A
2017-03-03T00:00:00-07:00,169.32213719685873 A
2017-03-04T00:00:00-07:00,123.73410360018413 A
2017-03-05T00:00:00-07:00,102.10630548000336 A
2017-03-06T00:00:00-07:00,205.72709449132284 A
2017-03-07T00:00:00-07:00,191.8676816622416 A
2017-03-08T00:00:00-07:00,178.5493632952372 A
2017-03-09T00:00:00-07:00,153.03017751375833 A
2017-03-10T00:00:00-07:00,153.33490800857544 A
2017-03-11T00:00:00-07:00,111.74601308504741 A
2017-03-12T00:00:00-07:00,75.46518008605294 A
2017-03-13T00:00:00-06:00,142.37549304962158 A
2017-03-14T00:00:00-06:00,130.30471110343933 A
2017-03-15T00:00:00-06:00,127.24291570981343 A
2017-03-16T00:00:00-06:00,139.19757668177286 A
2017-03-17T00:00:00-06:00,128.77862898508707 A
