Timestamp,['1ef4686d-41f12ab1 0070-QUINNEY COLLEGE OF LAW Power Meter 313199 Current B']
2017-01-01T00:00:00-07:00,188.07628472646078 A
2017-01-02T00:00:00-07:00,193.66743008295694 A
2017-01-03T00:00:00-07:00,204.40284315745035 A
2017-01-04T00:00:00-07:00,196.9857441584269 A
2017-01-05T00:00:00-07:00,195.51175983746847 A
2017-01-06T00:00:00-07:00,197.13707772890726 A
2017-01-07T00:00:00-07:00,188.44056598345438 A
2017-01-08T00:00:00-07:00,188.39802249272665 A
2017-01-09T00:00:00-07:00,199.081827322642 A
2017-01-10T00:00:00-07:00,197.29639069239298 A
2017-01-11T00:00:00-07:00,198.58250761032104 A
2017-01-12T00:00:00-07:00,196.0776480038961 A
2017-01-13T00:00:00-07:00,186.22757601737976 A
2017-01-14T00:00:00-07:00,173.0442931652069 A
2017-01-15T00:00:00-07:00,175.30918995539346 A
2017-01-16T00:00:00-07:00,183.5765187740326 A
2017-01-17T00:00:00-07:00,192.24161529541016 A
2017-01-18T00:00:00-07:00,195.41838962429173 A
2017-01-19T00:00:00-07:00,209.2745862007141 A
2017-01-20T00:00:00-07:00,192.35037652651468 A
2017-01-21T00:00:00-07:00,193.37349017461142 A
2017-01-22T00:00:00-07:00,197.26678784688315 A
2017-01-23T00:00:00-07:00,211.26253096262613 A
2017-01-24T00:00:00-07:00,217.32291714350382 A
2017-01-25T00:00:00-07:00,216.57582441965738 A
2017-01-26T00:00:00-07:00,216.02190240224203 A
2017-01-27T00:00:00-07:00,214.3776658376058 A
2017-01-28T00:00:00-07:00,205.2197709083557 A
2017-01-29T00:00:00-07:00,206.31531286239624 A
2017-01-30T00:00:00-07:00,214.15574836730957 A
2017-01-31T00:00:00-07:00,217.46766344706217 A
2017-02-01T00:00:00-07:00,211.4179089997944 A
2017-02-02T00:00:00-07:00,204.34267282485962 A
2017-02-03T00:00:00-07:00,198.45644184694453 A
2017-02-07T00:00:00-07:00,199.37303726196288 A
2017-02-08T00:00:00-07:00,178.66058909639398 A
2017-02-09T00:00:00-07:00,186.9706220626831 A
2017-02-10T00:00:00-07:00,195.83903193473816 A
2017-02-11T00:00:00-07:00,171.3461237748464 A
2017-02-12T00:00:00-07:00,175.6065514087677 A
2017-02-13T00:00:00-07:00,186.84226950009665 A
2017-02-14T00:00:00-07:00,184.3762710094452 A
2017-02-15T00:00:00-07:00,184.74758140246072 A
2017-02-16T00:00:00-07:00,193.38409860928854 A
2017-02-17T00:00:00-07:00,179.7407354513804 A
2017-02-18T00:00:00-07:00,140.471822420756 A
2017-02-19T00:00:00-07:00,123.80216886599858 A
2017-02-20T00:00:00-07:00,174.9462435245514 A
2017-02-21T00:00:00-07:00,176.56647197405496 A
2017-02-22T00:00:00-07:00,210.13334703445435 A
2017-02-23T00:00:00-07:00,216.70092328389487 A
2017-02-24T00:00:00-07:00,212.37779390359228 A
2017-02-25T00:00:00-07:00,202.13267151514688 A
2017-02-26T00:00:00-07:00,197.35513893763223 A
2017-02-27T00:00:00-07:00,217.06055323282877 A
2017-02-28T00:00:00-07:00,212.76549450556436 A
2017-03-01T00:00:00-07:00,205.36264912287393 A
2017-03-02T00:00:00-07:00,183.0152414639791 A
2017-03-03T00:00:00-07:00,172.4409694671631 A
2017-03-04T00:00:00-07:00,132.18178951740265 A
2017-03-05T00:00:00-07:00,112.76655419667561 A
2017-03-06T00:00:00-07:00,212.1969510714213 A
2017-03-07T00:00:00-07:00,193.12775119145712 A
2017-03-08T00:00:00-07:00,179.99866930643717 A
2017-03-09T00:00:00-07:00,155.14980014165243 A
