Timestamp,['1f4f32a9-e6835416 Power Meter (4160V) 316611 Current A']
2017-01-01T00:00:00-07:00,0 A
2017-01-02T00:00:00-07:00,0 A
2017-01-03T00:00:00-07:00,0 A
2017-01-04T00:00:00-07:00,0 A
2017-01-05T00:00:00-07:00,0 A
2017-01-06T00:00:00-07:00,0 A
2017-01-07T00:00:00-07:00,0 A
2017-01-08T00:00:00-07:00,0 A
2017-01-09T00:00:00-07:00,0 A
2017-01-10T00:00:00-07:00,0 A
2017-01-11T00:00:00-07:00,0 A
2017-01-12T00:00:00-07:00,0 A
2017-01-13T00:00:00-07:00,0 A
2017-01-14T00:00:00-07:00,0 A
2017-01-15T00:00:00-07:00,0 A
2017-01-16T00:00:00-07:00,0 A
2017-01-17T00:00:00-07:00,0 A
2017-01-18T00:00:00-07:00,0 A
2017-01-19T00:00:00-07:00,0 A
2017-01-20T00:00:00-07:00,0 A
2017-01-21T00:00:00-07:00,0 A
2017-01-22T00:00:00-07:00,0 A
2017-01-23T00:00:00-07:00,0 A
2017-01-24T00:00:00-07:00,0 A
2017-01-25T00:00:00-07:00,0 A
2017-01-26T00:00:00-07:00,0 A
2017-01-27T00:00:00-07:00,0 A
2017-01-28T00:00:00-07:00,0 A
2017-01-29T00:00:00-07:00,0 A
2017-01-30T00:00:00-07:00,0 A
2017-01-31T00:00:00-07:00,0 A
2017-02-01T00:00:00-07:00,0 A
2017-02-02T00:00:00-07:00,0 A
2017-02-03T00:00:00-07:00,0 A
2017-02-07T00:00:00-07:00,0 A
2017-02-08T00:00:00-07:00,0 A
2017-02-09T00:00:00-07:00,0 A
2017-02-10T00:00:00-07:00,0 A
2017-02-11T00:00:00-07:00,0 A
2017-02-12T00:00:00-07:00,0 A
2017-02-13T00:00:00-07:00,0 A
2017-02-14T00:00:00-07:00,0 A
2017-02-15T00:00:00-07:00,0 A
2017-02-16T00:00:00-07:00,0 A
2017-02-17T00:00:00-07:00,0 A
2017-02-18T00:00:00-07:00,0 A
2017-02-19T00:00:00-07:00,0 A
2017-02-20T00:00:00-07:00,0 A
2017-02-21T00:00:00-07:00,0 A
2017-02-22T00:00:00-07:00,0 A
2017-02-23T00:00:00-07:00,0 A
2017-02-24T00:00:00-07:00,0 A
2017-02-25T00:00:00-07:00,0 A
2017-02-26T00:00:00-07:00,0 A
2017-02-27T00:00:00-07:00,0 A
2017-02-28T00:00:00-07:00,0 A
2017-03-01T00:00:00-07:00,0 A
2017-03-02T00:00:00-07:00,0 A
2017-03-03T00:00:00-07:00,0 A
2017-03-04T00:00:00-07:00,0 A
2017-03-05T00:00:00-07:00,0 A
2017-03-06T00:00:00-07:00,0 A
2017-03-07T00:00:00-07:00,0 A
2017-03-08T00:00:00-07:00,0 A
2017-03-09T00:00:00-07:00,0 A
2017-03-10T00:00:00-07:00,0 A
2017-03-11T00:00:00-07:00,0 A
2017-03-12T00:00:00-07:00,0 A
2017-03-13T00:00:00-06:00,38.75 A
2017-03-14T00:00:00-06:00,32.109756097560975 A
2017-03-15T00:00:00-06:00,37.12048192771084 A
2017-03-16T00:00:00-06:00,43.776315789473685 A
2017-03-17T00:00:00-06:00,25.68421052631579 A
2017-03-18T00:00:00-06:00,45.2875 A
2017-03-19T00:00:00-06:00,34.41463414634146 A
2017-03-20T00:00:00-06:00,44.2625 A
2017-03-21T00:00:00-06:00,47.41428571428571 A
2017-03-22T00:00:00-06:00,28.047619047619047 A
2017-03-23T00:00:00-06:00,0.46511627906976744 A
2017-03-24T00:00:00-06:00,11.538461538461538 A
2017-03-25T00:00:00-06:00,0 A
2017-03-26T00:00:00-06:00,0 A
2017-03-27T00:00:00-06:00,0 A
2017-03-28T00:00:00-06:00,0 A
2017-03-29T00:00:00-06:00,7.431034482758621 A
2017-03-30T00:00:00-06:00,0 A
2017-03-31T00:00:00-06:00,17.414634146341463 A
2017-04-01T00:00:00-06:00,21.835443037974684 A
2017-04-02T00:00:00-06:00,0 A
2017-04-03T00:00:00-06:00,0 A
2017-04-04T00:00:00-06:00,0 A
2017-04-05T00:00:00-06:00,19.55 A
2017-04-06T00:00:00-06:00,48.45679012345679 A
2017-04-07T00:00:00-06:00,54.523809523809526 A
2017-04-08T00:00:00-06:00,41.4078947368421 A
2017-04-09T00:00:00-06:00,35.64935064935065 A
2017-04-10T00:00:00-06:00,39.40229885057471 A
2017-04-11T00:00:00-06:00,42.651685393258425 A
2017-04-12T00:00:00-06:00,60.310344827586206 A
2017-04-13T00:00:00-06:00,71.0561797752809 A
2017-04-14T00:00:00-06:00,64.08888888888889 A
2017-04-15T00:00:00-06:00,58.18987341772152 A
2017-04-16T00:00:00-06:00,71.4074074074074 A
2017-04-17T00:00:00-06:00,68.29113924050633 A
2017-04-18T00:00:00-06:00,75.27906976744185 A
2017-04-19T00:00:00-06:00,55.39705882352941 A
2017-04-20T00:00:00-06:00,40.97435897435897 A
2017-04-21T00:00:00-06:00,43.97752808988764 A
2017-04-22T00:00:00-06:00,39.92156862745098 A
2017-04-23T00:00:00-06:00,50.706896551724135 A
2017-04-24T00:00:00-06:00,28.880434782608695 A
2017-04-25T00:00:00-06:00,31.941860465116278 A
2017-04-26T00:00:00-06:00,31.93975903614458 A
2017-04-27T00:00:00-06:00,16.987951807228917 A
2017-04-28T00:00:00-06:00,24.048192771084338 A
2017-04-29T00:00:00-06:00,44.60919540229885 A
2017-04-30T00:00:00-06:00,46.611111111111114 A
2017-05-01T00:00:00-06:00,54.161764705882355 A
