Timestamp,['1f4f32b1-68ea807b Power Meter (4160V) 316611 Current C']
2017-01-01T00:00:00-07:00,0 A
2017-01-02T00:00:00-07:00,0 A
2017-01-03T00:00:00-07:00,0 A
2017-01-04T00:00:00-07:00,0 A
2017-01-05T00:00:00-07:00,0 A
2017-01-06T00:00:00-07:00,0 A
2017-01-07T00:00:00-07:00,0 A
2017-01-08T00:00:00-07:00,0 A
2017-01-09T00:00:00-07:00,0 A
2017-01-10T00:00:00-07:00,0 A
2017-01-11T00:00:00-07:00,0 A
2017-01-12T00:00:00-07:00,0 A
2017-01-13T00:00:00-07:00,0 A
2017-01-14T00:00:00-07:00,0 A
2017-01-15T00:00:00-07:00,0 A
2017-01-16T00:00:00-07:00,0 A
2017-01-17T00:00:00-07:00,0 A
2017-01-18T00:00:00-07:00,0 A
2017-01-19T00:00:00-07:00,0 A
2017-01-20T00:00:00-07:00,0 A
2017-01-21T00:00:00-07:00,0 A
2017-01-22T00:00:00-07:00,0 A
2017-01-23T00:00:00-07:00,0 A
2017-01-24T00:00:00-07:00,0 A
2017-01-25T00:00:00-07:00,0 A
2017-01-26T00:00:00-07:00,0 A
2017-01-27T00:00:00-07:00,0 A
2017-01-28T00:00:00-07:00,0 A
2017-01-29T00:00:00-07:00,0 A
2017-01-30T00:00:00-07:00,0 A
2017-01-31T00:00:00-07:00,0 A
2017-02-01T00:00:00-07:00,0 A
2017-02-02T00:00:00-07:00,0 A
2017-02-03T00:00:00-07:00,0 A
2017-02-07T00:00:00-07:00,0 A
2017-02-08T00:00:00-07:00,0 A
2017-02-09T00:00:00-07:00,0 A
2017-02-10T00:00:00-07:00,0 A
2017-02-11T00:00:00-07:00,0 A
2017-02-12T00:00:00-07:00,0 A
2017-02-13T00:00:00-07:00,0 A
2017-02-14T00:00:00-07:00,0 A
2017-02-15T00:00:00-07:00,0 A
2017-02-16T00:00:00-07:00,0 A
2017-02-17T00:00:00-07:00,0 A
2017-02-18T00:00:00-07:00,0 A
2017-02-19T00:00:00-07:00,0 A
2017-02-20T00:00:00-07:00,0 A
2017-02-21T00:00:00-07:00,0 A
2017-02-22T00:00:00-07:00,0 A
2017-02-23T00:00:00-07:00,0 A
2017-02-24T00:00:00-07:00,0 A
2017-02-25T00:00:00-07:00,0 A
2017-02-26T00:00:00-07:00,0 A
2017-02-27T00:00:00-07:00,0 A
2017-02-28T00:00:00-07:00,0 A
2017-03-01T00:00:00-07:00,0 A
2017-03-02T00:00:00-07:00,0 A
2017-03-03T00:00:00-07:00,0 A
2017-03-04T00:00:00-07:00,0 A
2017-03-05T00:00:00-07:00,0 A
2017-03-06T00:00:00-07:00,0 A
2017-03-07T00:00:00-07:00,0 A
2017-03-08T00:00:00-07:00,0 A
2017-03-09T00:00:00-07:00,0 A
2017-03-10T00:00:00-07:00,0 A
2017-03-11T00:00:00-07:00,0 A
2017-03-12T00:00:00-07:00,0 A
2017-03-13T00:00:00-06:00,38.666666666666664 A
2017-03-14T00:00:00-06:00,31.853658536585368 A
2017-03-15T00:00:00-06:00,36.8433734939759 A
2017-03-16T00:00:00-06:00,43.38157894736842 A
2017-03-17T00:00:00-06:00,25.57894736842105 A
2017-03-18T00:00:00-06:00,45.3125 A
2017-03-19T00:00:00-06:00,34.390243902439025 A
2017-03-20T00:00:00-06:00,44.1 A
2017-03-21T00:00:00-06:00,47.3 A
2017-03-22T00:00:00-06:00,28 A
2017-03-23T00:00:00-06:00,0.45348837209302323 A
2017-03-24T00:00:00-06:00,11.5 A
2017-03-25T00:00:00-06:00,0 A
2017-03-26T00:00:00-06:00,0 A
2017-03-27T00:00:00-06:00,0 A
2017-03-28T00:00:00-06:00,0 A
2017-03-29T00:00:00-06:00,7.431034482758621 A
2017-03-30T00:00:00-06:00,0 A
2017-03-31T00:00:00-06:00,17.317073170731707 A
2017-04-01T00:00:00-06:00,21.72151898734177 A
2017-04-02T00:00:00-06:00,0 A
2017-04-03T00:00:00-06:00,0 A
2017-04-04T00:00:00-06:00,0 A
2017-04-05T00:00:00-06:00,19.575 A
2017-04-06T00:00:00-06:00,48.46913580246913 A
2017-04-07T00:00:00-06:00,54.714285714285715 A
2017-04-08T00:00:00-06:00,41.31578947368421 A
2017-04-09T00:00:00-06:00,35.714285714285715 A
2017-04-10T00:00:00-06:00,39.48275862068966 A
2017-04-11T00:00:00-06:00,42.98876404494382 A
2017-04-12T00:00:00-06:00,60.58620689655172 A
2017-04-13T00:00:00-06:00,71.41573033707866 A
2017-04-14T00:00:00-06:00,64.17777777777778 A
2017-04-15T00:00:00-06:00,58.075949367088604 A
2017-04-16T00:00:00-06:00,71.06172839506173 A
2017-04-17T00:00:00-06:00,68.13924050632912 A
2017-04-18T00:00:00-06:00,74.97674418604652 A
2017-04-19T00:00:00-06:00,55.13235294117647 A
2017-04-20T00:00:00-06:00,40.717948717948715 A
2017-04-21T00:00:00-06:00,43.58426966292135 A
2017-04-22T00:00:00-06:00,39.68627450980392 A
2017-04-23T00:00:00-06:00,50.58620689655172 A
2017-04-24T00:00:00-06:00,28.684782608695652 A
2017-04-25T00:00:00-06:00,31.63953488372093 A
2017-04-26T00:00:00-06:00,31.602409638554217 A
2017-04-27T00:00:00-06:00,16.85542168674699 A
2017-04-28T00:00:00-06:00,24 A
2017-04-29T00:00:00-06:00,44.333333333333336 A
2017-04-30T00:00:00-06:00,46.32222222222222 A
2017-05-01T00:00:00-06:00,53.80882352941177 A
2017-05-02T00:00:00-06:00,47.50588235294118 A
