Timestamp,['1f4f36d7-3eef5bf2 Power Meter (LV) 316609 Real Power Total']
2017-01-01T00:00:00-07:00,155 kW
2017-01-02T00:00:00-07:00,169 kW
2017-01-03T00:00:00-07:00,208 kW
2017-01-04T00:00:00-07:00,224 kW
2017-01-05T00:00:00-07:00,219 kW
2017-01-06T00:00:00-07:00,224 kW
2017-01-07T00:00:00-07:00,167 kW
2017-01-08T00:00:00-07:00,163 kW
2017-01-09T00:00:00-07:00,231 kW
2017-01-10T00:00:00-07:00,222 kW
2017-01-11T00:00:00-07:00,221 kW
2017-01-12T00:00:00-07:00,238 kW
2017-01-13T00:00:00-07:00,238 kW
2017-01-14T00:00:00-07:00,184 kW
2017-01-15T00:00:00-07:00,165 kW
2017-01-16T00:00:00-07:00,182 kW
2017-01-17T00:00:00-07:00,243 kW
2017-01-18T00:00:00-07:00,231 kW
2017-01-19T00:00:00-07:00,234 kW
2017-01-20T00:00:00-07:00,229 kW
2017-01-21T00:00:00-07:00,160 kW
2017-01-22T00:00:00-07:00,151 kW
2017-01-23T00:00:00-07:00,223 kW
2017-01-24T00:00:00-07:00,234 kW
2017-01-25T00:00:00-07:00,260 kW
2017-01-26T00:00:00-07:00,262 kW
2017-01-27T00:00:00-07:00,255 kW
2017-01-28T00:00:00-07:00,195 kW
2017-01-29T00:00:00-07:00,187 kW
2017-01-30T00:00:00-07:00,267 kW
2017-01-31T00:00:00-07:00,257 kW
2017-02-01T00:00:00-07:00,276 kW
2017-02-02T00:00:00-07:00,240 kW
2017-02-03T00:00:00-07:00,234 kW
2017-02-07T00:00:00-07:00,259 kW
2017-02-08T00:00:00-07:00,242 kW
2017-02-09T00:00:00-07:00,242 kW
2017-02-10T00:00:00-07:00,237 kW
2017-02-11T00:00:00-07:00,184 kW
2017-02-12T00:00:00-07:00,170 kW
2017-02-13T00:00:00-07:00,268 kW
2017-02-14T00:00:00-07:00,247 kW
2017-02-15T00:00:00-07:00,220 kW
2017-02-16T00:00:00-07:00,240 kW
2017-02-17T00:00:00-07:00,222 kW
2017-02-18T00:00:00-07:00,171 kW
2017-02-19T00:00:00-07:00,156 kW
2017-02-20T00:00:00-07:00,174 kW
2017-02-21T00:00:00-07:00,234 kW
2017-02-22T00:00:00-07:00,225 kW
2017-02-23T00:00:00-07:00,186 kW
2017-02-24T00:00:00-07:00,241 kW
2017-02-25T00:00:00-07:00,163 kW
2017-02-26T00:00:00-07:00,158 kW
2017-02-27T00:00:00-07:00,232 kW
2017-02-28T00:00:00-07:00,220 kW
2017-03-01T00:00:00-07:00,214 kW
2017-03-02T00:00:00-07:00,220 kW
2017-03-03T00:00:00-07:00,209 kW
2017-03-04T00:00:00-07:00,172 kW
2017-03-05T00:00:00-07:00,192 kW
2017-03-06T00:00:00-07:00,174 kW
2017-03-07T00:00:00-07:00,262 kW
2017-03-08T00:00:00-07:00,237 kW
2017-03-09T00:00:00-07:00,229 kW
2017-03-10T00:00:00-07:00,239 kW
2017-03-11T00:00:00-07:00,161 kW
2017-03-12T00:00:00-07:00,164 kW
2017-03-13T00:00:00-06:00,224 kW
2017-03-14T00:00:00-06:00,222 kW
2017-03-15T00:00:00-06:00,226 kW
2017-03-16T00:00:00-06:00,220 kW
2017-03-17T00:00:00-06:00,228 kW
2017-03-18T00:00:00-06:00,184 kW
2017-03-19T00:00:00-06:00,174 kW
2017-03-20T00:00:00-06:00,249 kW
2017-03-21T00:00:00-06:00,261 kW
2017-03-22T00:00:00-06:00,251 kW
2017-03-23T00:00:00-06:00,245 kW
2017-03-24T00:00:00-06:00,237 kW
2017-03-25T00:00:00-06:00,187 kW
2017-03-26T00:00:00-06:00,169 kW
2017-03-27T00:00:00-06:00,249 kW
2017-03-28T00:00:00-06:00,254 kW
2017-03-29T00:00:00-06:00,242 kW
2017-03-30T00:00:00-06:00,270 kW
2017-03-31T00:00:00-06:00,253 kW
2017-04-01T00:00:00-06:00,174 kW
2017-04-02T00:00:00-06:00,162 kW
2017-04-03T00:00:00-06:00,246 kW
2017-04-04T00:00:00-06:00,228 kW
2017-04-05T00:00:00-06:00,233 kW
2017-04-06T00:00:00-06:00,230 kW
2017-04-07T00:00:00-06:00,239 kW
2017-04-08T00:00:00-06:00,169 kW
2017-04-09T00:00:00-06:00,190 kW
2017-04-10T00:00:00-06:00,228 kW
2017-04-11T00:00:00-06:00,246 kW
2017-04-12T00:00:00-06:00,240 kW
2017-04-13T00:00:00-06:00,252 kW
2017-04-14T00:00:00-06:00,243 kW
2017-04-15T00:00:00-06:00,173 kW
2017-04-16T00:00:00-06:00,161 kW
2017-04-17T00:00:00-06:00,238 kW
2017-04-18T00:00:00-06:00,243 kW
2017-04-19T00:00:00-06:00,249 kW
2017-04-20T00:00:00-06:00,236 kW
2017-04-21T00:00:00-06:00,234 kW
2017-04-22T00:00:00-06:00,184 kW
2017-04-23T00:00:00-06:00,165 kW
2017-04-24T00:00:00-06:00,219 kW
2017-04-25T00:00:00-06:00,243 kW
2017-04-26T00:00:00-06:00,224 kW
2017-04-27T00:00:00-06:00,234 kW
2017-04-28T00:00:00-06:00,234 kW
2017-04-29T00:00:00-06:00,176 kW
2017-04-30T00:00:00-06:00,165 kW
2017-05-01T00:00:00-06:00,226 kW
2017-05-02T00:00:00-06:00,223 kW
2017-05-03T00:00:00-06:00,234 kW
2017-05-04T00:00:00-06:00,243 kW
2017-05-05T00:00:00-06:00,227 kW
2017-05-06T00:00:00-06:00,185 kW
2017-05-07T00:00:00-06:00,162 kW
2017-05-08T00:00:00-06:00,225 kW
2017-05-09T00:00:00-06:00,216 kW
2017-05-10T00:00:00-06:00,219 kW
2017-05-11T00:00:00-06:00,234 kW
2017-05-12T00:00:00-06:00,222 kW
2017-05-13T00:00:00-06:00,171 kW
2017-05-14T00:00:00-06:00,171 kW
2017-05-15T00:00:00-06:00,223 kW
2017-05-16T00:00:00-06:00,231 kW
2017-05-17T00:00:00-06:00,234 kW
2017-05-18T00:00:00-06:00,225 kW
2017-05-19T00:00:00-06:00,215 kW
2017-05-20T00:00:00-06:00,162 kW
2017-05-21T00:00:00-06:00,184 kW
2017-05-22T00:00:00-06:00,236 kW
2017-05-23T00:00:00-06:00,228 kW
2017-05-24T00:00:00-06:00,231 kW
2017-05-25T00:00:00-06:00,236 kW
2017-05-26T00:00:00-06:00,220 kW
2017-05-27T00:00:00-06:00,170 kW
2017-05-28T00:00:00-06:00,164 kW
2017-05-29T00:00:00-06:00,176 kW
2017-05-30T00:00:00-06:00,219 kW
2017-05-31T00:00:00-06:00,234 kW
2017-06-01T00:00:00-06:00,234 kW
2017-06-02T00:00:00-06:00,205 kW
2017-06-03T00:00:00-06:00,173 kW
2017-06-04T00:00:00-06:00,160 kW
2017-06-05T00:00:00-06:00,216 kW
2017-06-06T00:00:00-06:00,234 kW
2017-06-07T00:00:00-06:00,227 kW
2017-06-08T00:00:00-06:00,238 kW
2017-06-09T00:00:00-06:00,217 kW
2017-06-10T00:00:00-06:00,168 kW
2017-06-11T00:00:00-06:00,169 kW
2017-06-12T00:00:00-06:00,221 kW
2017-06-13T00:00:00-06:00,236 kW
2017-06-14T00:00:00-06:00,231 kW
2017-06-15T00:00:00-06:00,222 kW
2017-06-16T00:00:00-06:00,228 kW
2017-06-17T00:00:00-06:00,169 kW
2017-06-18T00:00:00-06:00,167 kW
