Timestamp,['1f7d6c5c-03403a9f 0372-KENNECOTT MECH ENG BLDG Power Meter 300344 Current C']
2017-01-01T00:00:00-07:00,55.990234375 A
2017-01-02T00:00:00-07:00,59.8447265625 A
2017-01-03T00:00:00-07:00,61.178385416666664 A
2017-01-04T00:00:00-07:00,60.314453125 A
2017-01-05T00:00:00-07:00,60.595052083333336 A
2017-01-06T00:00:00-07:00,60.31640625 A
2017-01-07T00:00:00-07:00,53.8330078125 A
2017-01-08T00:00:00-07:00,52.832356770833336 A
2017-01-09T00:00:00-07:00,62.131184895833336 A
2017-01-10T00:00:00-07:00,62.394205729166664 A
2017-01-11T00:00:00-07:00,65.88216145833333 A
2017-01-12T00:00:00-07:00,67.65299479166667 A
2017-01-13T00:00:00-07:00,64.04069010416667 A
2017-01-14T00:00:00-07:00,57.497721354166664 A
2017-01-15T00:00:00-07:00,57.439453125 A
2017-01-16T00:00:00-07:00,62.015950520833336 A
2017-01-17T00:00:00-07:00,69.00651041666667 A
2017-01-18T00:00:00-07:00,67.74154411764705 A
2017-01-19T00:00:00-07:00,68.09244791666667 A
2017-01-20T00:00:00-07:00,66.04850260416667 A
2017-01-21T00:00:00-07:00,57.973958333333336 A
2017-01-22T00:00:00-07:00,58.381184895833336 A
2017-01-23T00:00:00-07:00,66.02864583333333 A
2017-01-24T00:00:00-07:00,69.60481770833333 A
2017-01-25T00:00:00-07:00,71.37239583333333 A
2017-01-26T00:00:00-07:00,70.63541666666667 A
2017-01-27T00:00:00-07:00,69.38639322916667 A
2017-01-28T00:00:00-07:00,60.9541015625 A
2017-01-29T00:00:00-07:00,60.866536458333336 A
2017-01-30T00:00:00-07:00,71.96907552083333 A
2017-01-31T00:00:00-07:00,70.2802734375 A
2017-02-01T00:00:00-07:00,67.09342447916667 A
2017-02-02T00:00:00-07:00,66.02473958333333 A
2017-02-03T00:00:00-07:00,65.67796610169492 A
2017-02-07T00:00:00-07:00,70.17688679245283 A
2017-02-08T00:00:00-07:00,64.85495923913044 A
2017-02-09T00:00:00-07:00,65.84212239583333 A
2017-02-10T00:00:00-07:00,66.14680989583333 A
2017-02-11T00:00:00-07:00,60.617838541666664 A
2017-02-12T00:00:00-07:00,60.129557291666664 A
2017-02-13T00:00:00-07:00,68.38736979166667 A
2017-02-14T00:00:00-07:00,69.478515625 A
2017-02-15T00:00:00-07:00,69.74446614583333 A
2017-02-16T00:00:00-07:00,66.27701822916667 A
2017-02-17T00:00:00-07:00,66.61328125 A
2017-02-18T00:00:00-07:00,58.75390625 A
2017-02-19T00:00:00-07:00,57.4404296875 A
2017-02-20T00:00:00-07:00,62.4326171875 A
2017-02-21T00:00:00-07:00,68.99641927083333 A
2017-02-22T00:00:00-07:00,68.79817708333333 A
2017-02-23T00:00:00-07:00,71.20182291666667 A
2017-02-24T00:00:00-07:00,67.4070411392405 A
2017-02-25T00:00:00-07:00,61.849609375 A
2017-02-26T00:00:00-07:00,64.3330078125 A
2017-02-27T00:00:00-07:00,69.166015625 A
2017-02-28T00:00:00-07:00,68.05338541666667 A
2017-03-01T00:00:00-07:00,69.18489583333333 A
2017-03-02T00:00:00-07:00,67.47005208333333 A
2017-03-03T00:00:00-07:00,64.689453125 A
2017-03-04T00:00:00-07:00,53.436848958333336 A
2017-03-05T00:00:00-07:00,55.734049479166664 A
2017-03-06T00:00:00-07:00,69.10026041666667 A
2017-03-07T00:00:00-07:00,67.0869140625 A
2017-03-08T00:00:00-07:00,63.984700520833336 A
