Timestamp,['1f7d6cf3-51885b9e 0372-KENNECOTT MECH ENG BLDG Power Meter 300344 Real Power']
2017-01-01T00:00:00-07:00,26.975997924804688 kW
2017-01-02T00:00:00-07:00,26.43199920654297 kW
2017-01-03T00:00:00-07:00,31.263999938964844 kW
2017-01-04T00:00:00-07:00,32.79999542236328 kW
2017-01-05T00:00:00-07:00,31.519996643066406 kW
2017-01-06T00:00:00-07:00,32.2239990234375 kW
2017-01-07T00:00:00-07:00,25.95199966430664 kW
2017-01-08T00:00:00-07:00,25.279998779296875 kW
2017-01-09T00:00:00-07:00,40.03199768066406 kW
2017-01-10T00:00:00-07:00,39.19999694824219 kW
2017-01-11T00:00:00-07:00,40.25599670410156 kW
2017-01-12T00:00:00-07:00,38.52799987792969 kW
2017-01-13T00:00:00-07:00,38.079994201660156 kW
2017-01-14T00:00:00-07:00,28.479999542236328 kW
2017-01-15T00:00:00-07:00,28 kW
2017-01-16T00:00:00-07:00,31.519996643066406 kW
2017-01-17T00:00:00-07:00,40.35199737548828 kW
2017-01-18T00:00:00-07:00,32.19199752807617 kW
2017-01-19T00:00:00-07:00,44.12799835205078 kW
2017-01-20T00:00:00-07:00,41.055999755859375 kW
2017-01-21T00:00:00-07:00,28.959999084472656 kW
2017-01-22T00:00:00-07:00,30.17599868774414 kW
2017-01-23T00:00:00-07:00,38.81599426269531 kW
2017-01-24T00:00:00-07:00,40.415992736816406 kW
2017-01-25T00:00:00-07:00,38.36799621582031 kW
2017-01-26T00:00:00-07:00,38.719993591308594 kW
2017-01-27T00:00:00-07:00,36.959999084472656 kW
2017-01-28T00:00:00-07:00,27.679996490478516 kW
2017-01-29T00:00:00-07:00,30.27199935913086 kW
2017-01-30T00:00:00-07:00,43.67999267578125 kW
2017-01-31T00:00:00-07:00,41.31199645996094 kW
2017-02-01T00:00:00-07:00,43.263999938964844 kW
2017-02-02T00:00:00-07:00,40.47999572753906 kW
2017-02-03T00:00:00-07:00,39.711997985839844 kW
2017-02-07T00:00:00-07:00,40.31999969482422 kW
2017-02-08T00:00:00-07:00,39.295997619628906 kW
2017-02-09T00:00:00-07:00,41.343994140625 kW
2017-02-10T00:00:00-07:00,40.54399871826172 kW
2017-02-11T00:00:00-07:00,29.663997650146484 kW
2017-02-12T00:00:00-07:00,28.959999084472656 kW
2017-02-13T00:00:00-07:00,38.43199920654297 kW
2017-02-14T00:00:00-07:00,42.20799255371094 kW
2017-02-15T00:00:00-07:00,41.855995178222656 kW
2017-02-16T00:00:00-07:00,41.47199249267578 kW
2017-02-17T00:00:00-07:00,35.23199462890625 kW
2017-02-18T00:00:00-07:00,28.99199676513672 kW
2017-02-19T00:00:00-07:00,29.919998168945312 kW
2017-02-20T00:00:00-07:00,32.447998046875 kW
2017-02-21T00:00:00-07:00,43.13599395751953 kW
2017-02-22T00:00:00-07:00,40.25599670410156 kW
2017-02-23T00:00:00-07:00,42.36799621582031 kW
2017-02-24T00:00:00-07:00,36.92799377441406 kW
2017-02-25T00:00:00-07:00,29.279998779296875 kW
2017-02-26T00:00:00-07:00,29.471996307373047 kW
2017-02-27T00:00:00-07:00,41.24799346923828 kW
2017-02-28T00:00:00-07:00,42.14399719238281 kW
2017-03-01T00:00:00-07:00,43.90399932861328 kW
2017-03-02T00:00:00-07:00,41.343994140625 kW
2017-03-03T00:00:00-07:00,40.63999938964844 kW
2017-03-04T00:00:00-07:00,26.527999877929688 kW
2017-03-05T00:00:00-07:00,26.143997192382812 kW
2017-03-06T00:00:00-07:00,47.32799530029297 kW
2017-03-07T00:00:00-07:00,38.46399688720703 kW
2017-03-08T00:00:00-07:00,37.951995849609375 kW
2017-03-09T00:00:00-07:00,37.31199645996094 kW
2017-03-10T00:00:00-07:00,38.59199523925781 kW
2017-03-11T00:00:00-07:00,26.55999755859375 kW
2017-03-12T00:00:00-07:00,25.471996307373047 kW
2017-03-13T00:00:00-06:00,29.311996459960938 kW
2017-03-14T00:00:00-06:00,30.143997192382812 kW
2017-03-15T00:00:00-06:00,27.423999786376953 kW
2017-03-16T00:00:00-06:00,25.343997955322266 kW
2017-03-17T00:00:00-06:00,26.591999053955078 kW
2017-03-18T00:00:00-06:00,22.367996215820312 kW
2017-03-19T00:00:00-06:00,21.759998321533203 kW
2017-03-20T00:00:00-06:00,32.76799774169922 kW
2017-03-21T00:00:00-06:00,35.32799530029297 kW
2017-03-22T00:00:00-06:00,37.823997497558594 kW
2017-03-23T00:00:00-06:00,43.42399597167969 kW
2017-03-24T00:00:00-06:00,35.519996643066406 kW
2017-03-25T00:00:00-06:00,27.551998138427734 kW
2017-03-26T00:00:00-06:00,26.78399658203125 kW
2017-03-27T00:00:00-06:00,40.511993408203125 kW
2017-03-28T00:00:00-06:00,40.447998046875 kW
2017-03-29T00:00:00-06:00,39.35999298095703 kW
2017-03-30T00:00:00-06:00,39.77599334716797 kW
2017-03-31T00:00:00-06:00,43.80799865722656 kW
2017-04-01T00:00:00-06:00,25.503997802734375 kW
2017-04-02T00:00:00-06:00,26.17599868774414 kW
2017-04-03T00:00:00-06:00,38.719993591308594 kW
2017-04-04T00:00:00-06:00,38.943992614746094 kW
2017-04-05T00:00:00-06:00,38.047996520996094 kW
2017-04-06T00:00:00-06:00,36.70399475097656 kW
2017-04-07T00:00:00-06:00,36.35199737548828 kW
2017-04-08T00:00:00-06:00,27.455997467041016 kW
2017-04-09T00:00:00-06:00,28.639999389648438 kW
2017-04-10T00:00:00-06:00,36.447998046875 kW
2017-04-11T00:00:00-06:00,37.343994140625 kW
2017-04-12T00:00:00-06:00,38.175994873046875 kW
2017-04-13T00:00:00-06:00,30.303997039794922 kW
2017-04-14T00:00:00-06:00,37.08799743652344 kW
2017-04-15T00:00:00-06:00,28.6719970703125 kW
2017-04-16T00:00:00-06:00,29.407997131347656 kW
2017-04-17T00:00:00-06:00,33.15199279785156 kW
2017-04-18T00:00:00-06:00,38.14399719238281 kW
2017-04-19T00:00:00-06:00,41.727996826171875 kW
2017-04-20T00:00:00-06:00,37.343994140625 kW
2017-04-21T00:00:00-06:00,38.87999725341797 kW
2017-04-22T00:00:00-06:00,28.35199737548828 kW
2017-04-23T00:00:00-06:00,26.303997039794922 kW
2017-04-24T00:00:00-06:00,44.79999542236328 kW
2017-04-25T00:00:00-06:00,41.343994140625 kW
2017-04-26T00:00:00-06:00,41.08799743652344 kW
2017-04-27T00:00:00-06:00,35.67999267578125 kW
2017-04-28T00:00:00-06:00,33.08799743652344 kW
2017-04-29T00:00:00-06:00,26.46399688720703 kW
2017-04-30T00:00:00-06:00,26.975997924804688 kW
2017-05-01T00:00:00-06:00,32.89599609375 kW
