Timestamp,['1f7d6d12-0d501b34 0372-KENNECOTT MECH ENG BLDG Power Meter 300345 Current A']
2017-01-01T00:00:00-07:00,175.05078125 A
2017-01-02T00:00:00-07:00,187.54036458333334 A
2017-01-03T00:00:00-07:00,205.21354166666666 A
2017-01-04T00:00:00-07:00,204.05078125 A
2017-01-05T00:00:00-07:00,203.5546875 A
2017-01-06T00:00:00-07:00,205.90755208333334 A
2017-01-07T00:00:00-07:00,184.86588541666666 A
2017-01-08T00:00:00-07:00,181.37630208333334 A
2017-01-09T00:00:00-07:00,212.15885416666666 A
2017-01-10T00:00:00-07:00,210.73177083333334 A
2017-01-11T00:00:00-07:00,214.17447916666666 A
2017-01-12T00:00:00-07:00,216.98046875 A
2017-01-13T00:00:00-07:00,214.78645833333334 A
2017-01-14T00:00:00-07:00,187.93619791666666 A
2017-01-15T00:00:00-07:00,186.33072916666666 A
2017-01-16T00:00:00-07:00,199.63671875 A
2017-01-17T00:00:00-07:00,219.9609375 A
2017-01-18T00:00:00-07:00,203.0282738095238 A
2017-01-19T00:00:00-07:00,206.390625 A
2017-01-20T00:00:00-07:00,203.47395833333334 A
2017-01-21T00:00:00-07:00,170.74479166666666 A
2017-01-22T00:00:00-07:00,175.80729166666666 A
2017-01-23T00:00:00-07:00,207.90234375 A
2017-01-24T00:00:00-07:00,205.80729166666666 A
2017-01-25T00:00:00-07:00,208.04947916666666 A
2017-01-26T00:00:00-07:00,207.68489583333334 A
2017-01-27T00:00:00-07:00,203.5703125 A
2017-01-28T00:00:00-07:00,181.16015625 A
2017-01-29T00:00:00-07:00,177.3125 A
2017-01-30T00:00:00-07:00,212.04166666666666 A
2017-01-31T00:00:00-07:00,207.484375 A
2017-02-01T00:00:00-07:00,207.45572916666666 A
2017-02-02T00:00:00-07:00,208.78645833333334 A
2017-02-03T00:00:00-07:00,190.3125 A
2017-02-07T00:00:00-07:00,231.60141509433961 A
2017-02-08T00:00:00-07:00,209.57142857142858 A
2017-02-09T00:00:00-07:00,236.66927083333334 A
2017-02-10T00:00:00-07:00,212.41927083333334 A
2017-02-11T00:00:00-07:00,187.47916666666666 A
2017-02-12T00:00:00-07:00,190.32682291666666 A
2017-02-13T00:00:00-07:00,216.10807291666666 A
2017-02-14T00:00:00-07:00,217.26953125 A
2017-02-15T00:00:00-07:00,215.08854166666666 A
2017-02-16T00:00:00-07:00,212.76041666666666 A
2017-02-17T00:00:00-07:00,209.31770833333334 A
2017-02-18T00:00:00-07:00,183.62239583333334 A
2017-02-19T00:00:00-07:00,185.0234375 A
2017-02-20T00:00:00-07:00,197.71223958333334 A
2017-02-21T00:00:00-07:00,213.98828125 A
2017-02-22T00:00:00-07:00,213.12109375 A
2017-02-23T00:00:00-07:00,215.03776041666666 A
2017-02-24T00:00:00-07:00,202.7990506329114 A
2017-02-25T00:00:00-07:00,189.45052083333334 A
2017-02-26T00:00:00-07:00,185.57942708333334 A
2017-02-27T00:00:00-07:00,209.60026041666666 A
2017-02-28T00:00:00-07:00,213.50911458333334 A
2017-03-01T00:00:00-07:00,213.47135416666666 A
2017-03-02T00:00:00-07:00,209.13802083333334 A
2017-03-03T00:00:00-07:00,205.33072916666666 A
2017-03-04T00:00:00-07:00,172.06510416666666 A
2017-03-05T00:00:00-07:00,176.4453125 A
2017-03-06T00:00:00-07:00,204.51041666666666 A
2017-03-07T00:00:00-07:00,204.96484375 A
2017-03-08T00:00:00-07:00,201.26302083333334 A
2017-03-09T00:00:00-07:00,200.65234375 A
2017-03-10T00:00:00-07:00,203.07421875 A
2017-03-11T00:00:00-07:00,172.51184210526316 A
2017-03-12T00:00:00-07:00,169.5149456521739 A
2017-03-13T00:00:00-06:00,200.63541666666666 A
2017-03-14T00:00:00-06:00,190.57682291666666 A
2017-03-15T00:00:00-06:00,182.73567708333334 A
2017-03-16T00:00:00-06:00,176.92317708333334 A
2017-03-17T00:00:00-06:00,190.44010416666666 A
2017-03-18T00:00:00-06:00,206.66927083333334 A
2017-03-19T00:00:00-06:00,198.64583333333334 A
2017-03-20T00:00:00-06:00,228.50651041666666 A
2017-03-21T00:00:00-06:00,245.75911458333334 A
2017-03-22T00:00:00-06:00,211.41015625 A
2017-03-23T00:00:00-06:00,218.91796875 A
2017-03-24T00:00:00-06:00,206.16015625 A
2017-03-25T00:00:00-06:00,186.94661458333334 A
2017-03-26T00:00:00-06:00,186.30078125 A
2017-03-27T00:00:00-06:00,209.00390625 A
2017-03-28T00:00:00-06:00,189.43619791666666 A
2017-03-29T00:00:00-06:00,192.046875 A
2017-03-30T00:00:00-06:00,223.1472222222222 A
2017-03-31T00:00:00-06:00,203.03125 A
2017-04-01T00:00:00-06:00,173.93229166666666 A
2017-04-02T00:00:00-06:00,177.43489583333334 A
2017-04-03T00:00:00-06:00,201.9609375 A
2017-04-04T00:00:00-06:00,204.02994791666666 A
2017-04-05T00:00:00-06:00,207.13151041666666 A
2017-04-06T00:00:00-06:00,196.71744791666666 A
2017-04-07T00:00:00-06:00,218.65364583333334 A
2017-04-08T00:00:00-06:00,177.59635416666666 A
2017-04-09T00:00:00-06:00,176.19140625 A
2017-04-10T00:00:00-06:00,204.10416666666666 A
2017-04-11T00:00:00-06:00,202.25260416666666 A
2017-04-12T00:00:00-06:00,200.21223958333334 A
2017-04-13T00:00:00-06:00,246.01953125 A
2017-04-14T00:00:00-06:00,196.38932291666666 A
2017-04-15T00:00:00-06:00,179.4296875 A
2017-04-16T00:00:00-06:00,195.63020833333334 A
2017-04-17T00:00:00-06:00,240.88020833333334 A
2017-04-18T00:00:00-06:00,208.11848958333334 A
2017-04-19T00:00:00-06:00,203.07942708333334 A
2017-04-20T00:00:00-06:00,202.94010416666666 A
2017-04-21T00:00:00-06:00,201.59895833333334 A
2017-04-22T00:00:00-06:00,195.42708333333334 A
2017-04-23T00:00:00-06:00,183.66015625 A
2017-04-24T00:00:00-06:00,209.20052083333334 A
2017-04-25T00:00:00-06:00,207.54817708333334 A
2017-04-26T00:00:00-06:00,209.68359375 A
2017-04-27T00:00:00-06:00,206.50911458333334 A
2017-04-28T00:00:00-06:00,208.19010416666666 A
2017-04-29T00:00:00-06:00,183.66015625 A
2017-04-30T00:00:00-06:00,180.43489583333334 A
2017-05-01T00:00:00-06:00,206.15625 A
2017-05-02T00:00:00-06:00,207.79427083333334 A
2017-05-03T00:00:00-06:00,208.828125 A
2017-05-04T00:00:00-06:00,223.70182291666666 A
2017-05-05T00:00:00-06:00,248.4296875 A
2017-05-06T00:00:00-06:00,244.62239583333334 A
2017-05-07T00:00:00-06:00,231.78776041666666 A
2017-05-08T00:00:00-06:00,230.68229166666666 A
2017-05-09T00:00:00-06:00,223.32291666666666 A
2017-05-10T00:00:00-06:00,224.3984375 A
2017-05-11T00:00:00-06:00,250.97526041666666 A
2017-05-12T00:00:00-06:00,271.6692708333333 A
2017-05-13T00:00:00-06:00,160.97135416666666 A
2017-05-14T00:00:00-06:00,162.79036458333334 A
2017-05-15T00:00:00-06:00,203.41796875 A
2017-05-16T00:00:00-06:00,189.8515625 A
2017-05-17T00:00:00-06:00,196.57682291666666 A
2017-05-18T00:00:00-06:00,197.4296875 A
2017-05-19T00:00:00-06:00,189.3203125 A
2017-05-20T00:00:00-06:00,180.72916666666666 A
2017-05-21T00:00:00-06:00,171.19661458333334 A
2017-05-22T00:00:00-06:00,222.87109375 A
2017-05-23T00:00:00-06:00,250.42317708333334 A
2017-05-24T00:00:00-06:00,277.2630208333333 A
2017-05-25T00:00:00-06:00,226.90494791666666 A
2017-05-26T00:00:00-06:00,197.45963541666666 A
2017-05-27T00:00:00-06:00,179.72786458333334 A
2017-05-28T00:00:00-06:00,208.4609375 A
