Timestamp,['1f7d6d27-7ac80741 0372-KENNECOTT MECH ENG BLDG Power Meter 300345 Real Power']
2017-01-01T00:00:00-07:00,166.0159912109375 kW
2017-01-02T00:00:00-07:00,176.76797485351562 kW
2017-01-03T00:00:00-07:00,203.39199829101562 kW
2017-01-04T00:00:00-07:00,225.66397094726562 kW
2017-01-05T00:00:00-07:00,197.3759765625 kW
2017-01-06T00:00:00-07:00,210.9439697265625 kW
2017-01-07T00:00:00-07:00,176.89599609375 kW
2017-01-08T00:00:00-07:00,165.1199951171875 kW
2017-01-09T00:00:00-07:00,219.26397705078125 kW
2017-01-10T00:00:00-07:00,215.8079833984375 kW
2017-01-11T00:00:00-07:00,214.65597534179688 kW
2017-01-12T00:00:00-07:00,207.10397338867188 kW
2017-01-13T00:00:00-07:00,209.7919921875 kW
2017-01-14T00:00:00-07:00,200.06399536132812 kW
2017-01-15T00:00:00-07:00,178.30398559570312 kW
2017-01-16T00:00:00-07:00,188.15997314453125 kW
2017-01-17T00:00:00-07:00,216.83197021484375 kW
2017-01-18T00:00:00-07:00,208.89599609375 kW
2017-01-19T00:00:00-07:00,209.53598022460938 kW
2017-01-20T00:00:00-07:00,205.823974609375 kW
2017-01-21T00:00:00-07:00,166.65597534179688 kW
2017-01-22T00:00:00-07:00,170.75198364257812 kW
2017-01-23T00:00:00-07:00,237.69598388671875 kW
2017-01-24T00:00:00-07:00,199.42398071289062 kW
2017-01-25T00:00:00-07:00,236.28799438476562 kW
2017-01-26T00:00:00-07:00,203.64797973632812 kW
2017-01-27T00:00:00-07:00,202.62399291992188 kW
2017-01-28T00:00:00-07:00,170.4959716796875 kW
2017-01-29T00:00:00-07:00,164.60797119140625 kW
2017-01-30T00:00:00-07:00,218.87997436523438 kW
2017-01-31T00:00:00-07:00,202.4959716796875 kW
2017-02-01T00:00:00-07:00,210.68798828125 kW
2017-02-02T00:00:00-07:00,218.239990234375 kW
2017-02-03T00:00:00-07:00,191.61599731445312 kW
2017-02-07T00:00:00-07:00,224.38397216796875 kW
2017-02-08T00:00:00-07:00,222.719970703125 kW
2017-02-09T00:00:00-07:00,444.79998779296875 kW
2017-02-10T00:00:00-07:00,212.86398315429688 kW
2017-02-11T00:00:00-07:00,179.32797241210938 kW
2017-02-12T00:00:00-07:00,169.21597290039062 kW
2017-02-13T00:00:00-07:00,209.40798950195312 kW
2017-02-14T00:00:00-07:00,201.98397827148438 kW
2017-02-15T00:00:00-07:00,226.55999755859375 kW
2017-02-16T00:00:00-07:00,201.5999755859375 kW
2017-02-17T00:00:00-07:00,217.21597290039062 kW
2017-02-18T00:00:00-07:00,170.87997436523438 kW
2017-02-19T00:00:00-07:00,182.78399658203125 kW
2017-02-20T00:00:00-07:00,185.08798217773438 kW
2017-02-21T00:00:00-07:00,212.86398315429688 kW
2017-02-22T00:00:00-07:00,206.59197998046875 kW
2017-02-23T00:00:00-07:00,213.3759765625 kW
2017-02-24T00:00:00-07:00,209.7919921875 kW
2017-02-25T00:00:00-07:00,185.5999755859375 kW
2017-02-26T00:00:00-07:00,176.76797485351562 kW
2017-02-27T00:00:00-07:00,212.09597778320312 kW
2017-02-28T00:00:00-07:00,209.02398681640625 kW
2017-03-01T00:00:00-07:00,248.06399536132812 kW
2017-03-02T00:00:00-07:00,205.95199584960938 kW
2017-03-03T00:00:00-07:00,204.41598510742188 kW
2017-03-04T00:00:00-07:00,163.83999633789062 kW
2017-03-05T00:00:00-07:00,175.23199462890625 kW
2017-03-06T00:00:00-07:00,216.57598876953125 kW
2017-03-07T00:00:00-07:00,198.14398193359375 kW
2017-03-08T00:00:00-07:00,196.99197387695312 kW
2017-03-09T00:00:00-07:00,210.43197631835938 kW
2017-03-10T00:00:00-07:00,361.08795166015625 kW
2017-03-11T00:00:00-07:00,159.3599853515625 kW
2017-03-12T00:00:00-07:00,153.47198486328125 kW
2017-03-13T00:00:00-06:00,340.2239990234375 kW
2017-03-14T00:00:00-06:00,248.95999145507812 kW
2017-03-15T00:00:00-06:00,215.16799926757812 kW
2017-03-16T00:00:00-06:00,188.28799438476562 kW
2017-03-17T00:00:00-06:00,373.6319580078125 kW
2017-03-18T00:00:00-06:00,261.3759765625 kW
2017-03-19T00:00:00-06:00,230.78399658203125 kW
2017-03-20T00:00:00-06:00,272.7679443359375 kW
2017-03-21T00:00:00-06:00,283.3919677734375 kW
2017-03-22T00:00:00-06:00,241.27999877929688 kW
2017-03-23T00:00:00-06:00,228.47998046875 kW
2017-03-24T00:00:00-06:00,229.1199951171875 kW
2017-03-25T00:00:00-06:00,196.99197387695312 kW
2017-03-26T00:00:00-06:00,182.65597534179688 kW
2017-03-27T00:00:00-06:00,227.32797241210938 kW
2017-03-28T00:00:00-06:00,190.33599853515625 kW
2017-03-29T00:00:00-06:00,216.95999145507812 kW
2017-03-30T00:00:00-06:00,206.719970703125 kW
2017-03-31T00:00:00-06:00,240 kW
2017-04-01T00:00:00-06:00,169.343994140625 kW
2017-04-02T00:00:00-06:00,179.32797241210938 kW
2017-04-03T00:00:00-06:00,211.45599365234375 kW
2017-04-04T00:00:00-06:00,207.23199462890625 kW
2017-04-05T00:00:00-06:00,203.51998901367188 kW
2017-04-06T00:00:00-06:00,200.83197021484375 kW
2017-04-07T00:00:00-06:00,415.74395751953125 kW
2017-04-08T00:00:00-06:00,177.53598022460938 kW
2017-04-09T00:00:00-06:00,171.39199829101562 kW
2017-04-10T00:00:00-06:00,232.06399536132812 kW
2017-04-11T00:00:00-06:00,210.81597900390625 kW
2017-04-12T00:00:00-06:00,240.2559814453125 kW
2017-04-13T00:00:00-06:00,350.33599853515625 kW
2017-04-14T00:00:00-06:00,199.29598999023438 kW
2017-04-15T00:00:00-06:00,197.3759765625 kW
2017-04-16T00:00:00-06:00,453.3759765625 kW
2017-04-17T00:00:00-06:00,493.823974609375 kW
2017-04-18T00:00:00-06:00,218.62399291992188 kW
2017-04-19T00:00:00-06:00,204.6719970703125 kW
2017-04-20T00:00:00-06:00,203.00799560546875 kW
2017-04-21T00:00:00-06:00,192.12799072265625 kW
2017-04-22T00:00:00-06:00,198.27197265625 kW
2017-04-23T00:00:00-06:00,169.08798217773438 kW
2017-04-24T00:00:00-06:00,222.84799194335938 kW
2017-04-25T00:00:00-06:00,232.95999145507812 kW
2017-04-26T00:00:00-06:00,204.031982421875 kW
2017-04-27T00:00:00-06:00,203.26397705078125 kW
2017-04-28T00:00:00-06:00,209.27999877929688 kW
2017-04-29T00:00:00-06:00,169.5999755859375 kW
2017-04-30T00:00:00-06:00,172.79998779296875 kW
2017-05-01T00:00:00-06:00,201.21597290039062 kW
2017-05-02T00:00:00-06:00,209.02398681640625 kW
2017-05-03T00:00:00-06:00,326.65594482421875 kW
2017-05-04T00:00:00-06:00,405.887939453125 kW
2017-05-05T00:00:00-06:00,355.45599365234375 kW
2017-05-06T00:00:00-06:00,269.95196533203125 kW
2017-05-07T00:00:00-06:00,256.38397216796875 kW
2017-05-08T00:00:00-06:00,422.5279541015625 kW
2017-05-09T00:00:00-06:00,389.24798583984375 kW
2017-05-10T00:00:00-06:00,363.77593994140625 kW
