Timestamp,['1fa24747-c514fa25 0002-VOICE & OPERA CNTR Power Meter (301411) Current A']
2017-01-01T00:00:00-07:00,3.6306196252504983 A
2017-01-02T00:00:00-07:00,6.168394483625889 A
2017-01-03T00:00:00-07:00,5.52039701739947 A
2017-01-04T00:00:00-07:00,5.846380037566026 A
2017-01-05T00:00:00-07:00,5.152196958661079 A
2017-01-06T00:00:00-07:00,5.525384320567052 A
2017-01-07T00:00:00-07:00,4.823703755935033 A
2017-01-08T00:00:00-07:00,4.114731111874183 A
2017-01-09T00:00:00-07:00,10.4861403927207 A
2017-01-10T00:00:00-07:00,10.780320114145676 A
2017-01-11T00:00:00-07:00,11.104239121079445 A
2017-01-12T00:00:00-07:00,8.107431693623463 A
2017-01-13T00:00:00-07:00,11.937653510520855 A
2017-01-14T00:00:00-07:00,3.216003535936276 A
2017-01-15T00:00:00-07:00,3.699705214550098 A
2017-01-16T00:00:00-07:00,6.864283051341772 A
2017-01-17T00:00:00-07:00,14.522892641524473 A
2017-01-18T00:00:00-07:00,13.544968710226172 A
2017-01-19T00:00:00-07:00,7.02068064485987 A
2017-01-20T00:00:00-07:00,11.181321624666452 A
2017-01-21T00:00:00-07:00,4.892501316964626 A
2017-01-22T00:00:00-07:00,4.590071161588033 A
2017-01-23T00:00:00-07:00,13.778124533593655 A
2017-01-24T00:00:00-07:00,16.57660376901428 A
2017-01-25T00:00:00-07:00,14.404408821215233 A
2017-01-26T00:00:00-07:00,11.126435360560814 A
2017-01-27T00:00:00-07:00,11.01050973062714 A
2017-01-28T00:00:00-07:00,13.510143743207058 A
2017-01-29T00:00:00-07:00,4.475563168525696 A
2017-01-30T00:00:00-07:00,13.49634176492691 A
2017-01-31T00:00:00-07:00,15.839979530622562 A
2017-02-01T00:00:00-07:00,15.979175560176373 A
2017-02-02T00:00:00-07:00,8.908813044428825 A
2017-02-03T00:00:00-07:00,10.615616075063157 A
2017-02-07T00:00:00-07:00,17.21201243299119 A
2017-02-08T00:00:00-07:00,12.417461919784547 A
2017-02-09T00:00:00-07:00,8.834747650971016 A
2017-02-10T00:00:00-07:00,13.099575613935789 A
2017-02-11T00:00:00-07:00,10.486358779172102 A
2017-02-12T00:00:00-07:00,3.802229665219784 A
2017-02-13T00:00:00-07:00,11.033664995183548 A
2017-02-14T00:00:00-07:00,9.96457406754295 A
2017-02-15T00:00:00-07:00,11.723590958863497 A
2017-02-16T00:00:00-07:00,5.977409937729438 A
2017-02-17T00:00:00-07:00,6.0717425892750425 A
2017-02-18T00:00:00-07:00,5.747251575191815 A
2017-02-19T00:00:00-07:00,2.4435428977012634 A
2017-02-20T00:00:00-07:00,6.493501655757427 A
2017-02-21T00:00:00-07:00,10.421813243379196 A
2017-02-22T00:00:00-07:00,4.209489785134792 A
2017-02-23T00:00:00-07:00,4.25086909905076 A
2017-02-24T00:00:00-07:00,5.273551904238188 A
2017-02-25T00:00:00-07:00,3.7033377550542355 A
2017-02-26T00:00:00-07:00,3.5798505706091723 A
2017-02-27T00:00:00-07:00,7.402417004108429 A
2017-02-28T00:00:00-07:00,9.755350993325314 A
2017-03-01T00:00:00-07:00,11.068324892471233 A
2017-03-02T00:00:00-07:00,7.179814748466015 A
2017-03-03T00:00:00-07:00,8.975089022268852 A
2017-03-04T00:00:00-07:00,3.544087518006563 A
2017-03-05T00:00:00-07:00,2.916822658230861 A
2017-03-06T00:00:00-07:00,10.516114182770252 A
2017-03-07T00:00:00-07:00,11.088622582455477 A
2017-03-08T00:00:00-07:00,10.032388541847467 A
2017-03-09T00:00:00-07:00,7.385261586556832 A
2017-03-10T00:00:00-07:00,6.327863958974679 A
2017-03-11T00:00:00-07:00,2.0369253444174924 A
2017-03-12T00:00:00-07:00,1.648125039494556 A
2017-03-13T00:00:00-06:00,5.414846524596214 A
2017-03-14T00:00:00-06:00,5.922555586944024 A
2017-03-15T00:00:00-06:00,5.5083092873295145 A
2017-03-16T00:00:00-06:00,5.200920734554529 A
2017-03-17T00:00:00-06:00,4.809694364666939 A
2017-03-18T00:00:00-06:00,1.4943833438058693 A
2017-03-19T00:00:00-06:00,1.4948315347234409 A
2017-03-20T00:00:00-06:00,9.178363345563412 A
2017-03-21T00:00:00-06:00,6.700648316492637 A
2017-03-22T00:00:00-06:00,6.241176004211108 A
2017-03-23T00:00:00-06:00,5.734272538373868 A
2017-03-24T00:00:00-06:00,10.716381638000408 A
2017-03-25T00:00:00-06:00,10.464935633043448 A
2017-03-26T00:00:00-06:00,4.313659260670344 A
2017-03-27T00:00:00-06:00,8.387702330946922 A
2017-03-28T00:00:00-06:00,9.277036741375923 A
2017-03-29T00:00:00-06:00,9.143182338939774 A
2017-03-30T00:00:00-06:00,10.309069188435872 A
2017-03-31T00:00:00-06:00,5.403406435002883 A
2017-04-01T00:00:00-06:00,1.9582126624882221 A
2017-04-02T00:00:00-06:00,1.8214769798020523 A
2017-04-03T00:00:00-06:00,7.496123235672712 A
2017-04-04T00:00:00-06:00,8.004348243276278 A
2017-04-05T00:00:00-06:00,8.662809972961744 A
2017-04-06T00:00:00-06:00,6.794656652957201 A
2017-04-07T00:00:00-06:00,5.952285140752792 A
2017-04-08T00:00:00-06:00,2.90468293428421 A
2017-04-09T00:00:00-06:00,4.416989132761955 A
2017-04-10T00:00:00-06:00,7.439726298054059 A
2017-04-11T00:00:00-06:00,7.57054079324007 A
2017-04-12T00:00:00-06:00,7.713374522825082 A
2017-04-13T00:00:00-06:00,7.234466413656871 A
2017-04-14T00:00:00-06:00,7.145757089058558 A
2017-04-15T00:00:00-06:00,2.5426821087797484 A
2017-04-16T00:00:00-06:00,4.51144337033232 A
2017-04-17T00:00:00-06:00,5.568039669344823 A
2017-04-18T00:00:00-06:00,5.445891504486402 A
2017-04-19T00:00:00-06:00,4.679529349009196 A
2017-04-20T00:00:00-06:00,4.900056980550289 A
2017-04-21T00:00:00-06:00,4.802514522025983 A
2017-04-22T00:00:00-06:00,3.6203974646826587 A
2017-04-23T00:00:00-06:00,2.454056100298961 A
2017-04-24T00:00:00-06:00,5.55417700484395 A
2017-04-25T00:00:00-06:00,6.167271327227354 A
2017-04-26T00:00:00-06:00,5.2085924707353115 A
2017-04-27T00:00:00-06:00,4.7588643456498785 A
2017-04-28T00:00:00-06:00,4.239522696783145 A
2017-04-29T00:00:00-06:00,2.887461356818676 A
2017-04-30T00:00:00-06:00,2.9620950731138387 A
2017-05-01T00:00:00-06:00,5.060444140185912 A
2017-05-02T00:00:00-06:00,6.205730603386958 A
2017-05-03T00:00:00-06:00,4.987347046534221 A
2017-05-04T00:00:00-06:00,5.007240486641725 A
2017-05-05T00:00:00-06:00,5.591984895368417 A
2017-05-06T00:00:00-06:00,1.498568373421828 A
2017-05-07T00:00:00-06:00,1.49849034845829 A
2017-05-08T00:00:00-06:00,4.686067717770736 A
2017-05-09T00:00:00-06:00,5.067047412196795 A
2017-05-10T00:00:00-06:00,5.109516716251771 A
2017-05-11T00:00:00-06:00,5.487963872651259 A
2017-05-12T00:00:00-06:00,5.991108284642299 A
2017-05-13T00:00:00-06:00,1.6718532306452591 A
2017-05-14T00:00:00-06:00,1.4968242173393567 A
2017-05-15T00:00:00-06:00,4.44294090817372 A
2017-05-16T00:00:00-06:00,4.352942148844401 A
2017-05-17T00:00:00-06:00,4.403835398455461 A
2017-05-18T00:00:00-06:00,4.478116455177466 A
2017-05-19T00:00:00-06:00,4.924903923024734 A
2017-05-20T00:00:00-06:00,1.4963032752275467 A
2017-05-21T00:00:00-06:00,1.495841042449077 A
2017-05-22T00:00:00-06:00,4.692848461369674 A
2017-05-23T00:00:00-06:00,5.449167191982269 A
2017-05-24T00:00:00-06:00,5.57339051241676 A
2017-05-25T00:00:00-06:00,4.605747000624736 A
2017-05-26T00:00:00-06:00,4.38063024977843 A
2017-05-27T00:00:00-06:00,1.495169099420309 A
2017-05-28T00:00:00-06:00,1.3237368571130852 A
2017-05-29T00:00:00-06:00,5.515369749317567 A
2017-05-30T00:00:00-06:00,6.012902895609538 A
2017-05-31T00:00:00-06:00,7.863014329224825 A
2017-06-01T00:00:00-06:00,6.525930392245452 A
2017-06-02T00:00:00-06:00,6.943039176364739 A
2017-06-03T00:00:00-06:00,2.1121674788494906 A
2017-06-04T00:00:00-06:00,1.5320557529727619 A
2017-06-05T00:00:00-06:00,7.207492257157962 A
2017-06-06T00:00:00-06:00,7.097803112119436 A
2017-06-07T00:00:00-06:00,7.950764991343021 A
2017-06-08T00:00:00-06:00,7.737561251968145 A
2017-06-09T00:00:00-06:00,7.599903043359518 A
2017-06-10T00:00:00-06:00,1.4495916040320145 A
2017-06-11T00:00:00-06:00,1.4480392634868622 A
2017-06-12T00:00:00-06:00,5.478437618662913 A
2017-06-13T00:00:00-06:00,4.424628481268883 A
2017-06-14T00:00:00-06:00,5.340535874168078 A
2017-06-15T00:00:00-06:00,6.463468278447787 A
2017-06-16T00:00:00-06:00,6.559147088478009 A
2017-06-17T00:00:00-06:00,1.4450074210762978 A
