Timestamp,['1fa24749-b01d64f4 0002-VOICE & OPERA CNTR Power Meter (301411) Current B']
2017-01-01T00:00:00-07:00,9.313739939282337 A
2017-01-02T00:00:00-07:00,13.329154113928476 A
2017-01-03T00:00:00-07:00,18.790197520206373 A
2017-01-04T00:00:00-07:00,24.912176553159952 A
2017-01-05T00:00:00-07:00,15.444812199721733 A
2017-01-06T00:00:00-07:00,17.353131740043562 A
2017-01-07T00:00:00-07:00,12.883952868481478 A
2017-01-08T00:00:00-07:00,10.588176696250835 A
2017-01-09T00:00:00-07:00,16.767016048232716 A
2017-01-10T00:00:00-07:00,18.526828343669575 A
2017-01-11T00:00:00-07:00,16.60488345598181 A
2017-01-12T00:00:00-07:00,14.695426028221846 A
2017-01-13T00:00:00-07:00,21.814284689724445 A
2017-01-14T00:00:00-07:00,7.7036144981781645 A
2017-01-15T00:00:00-07:00,9.429908774793148 A
2017-01-16T00:00:00-07:00,13.466922987252474 A
2017-01-17T00:00:00-07:00,19.007312053193647 A
2017-01-18T00:00:00-07:00,18.50408516631407 A
2017-01-19T00:00:00-07:00,13.321305006742477 A
2017-01-20T00:00:00-07:00,19.290375319619972 A
2017-01-21T00:00:00-07:00,12.604769239823023 A
2017-01-22T00:00:00-07:00,11.78003841266036 A
2017-01-23T00:00:00-07:00,17.806155865391094 A
2017-01-24T00:00:00-07:00,19.71105581149459 A
2017-01-25T00:00:00-07:00,16.92160455013315 A
2017-01-26T00:00:00-07:00,17.54796127974987 A
2017-01-27T00:00:00-07:00,13.49940043936173 A
2017-01-28T00:00:00-07:00,13.629485710213581 A
2017-01-29T00:00:00-07:00,11.703644863019386 A
2017-01-30T00:00:00-07:00,17.554757674535114 A
2017-01-31T00:00:00-07:00,18.30482806886236 A
2017-02-01T00:00:00-07:00,16.22488271196683 A
2017-02-02T00:00:00-07:00,14.26651805639267 A
2017-02-03T00:00:00-07:00,14.792320215095907 A
2017-02-07T00:00:00-07:00,17.520254573923477 A
2017-02-08T00:00:00-07:00,13.974171965652042 A
2017-02-09T00:00:00-07:00,12.19565045585235 A
2017-02-10T00:00:00-07:00,13.143805971990028 A
2017-02-11T00:00:00-07:00,12.15173133338491 A
2017-02-12T00:00:00-07:00,9.938051659613848 A
2017-02-13T00:00:00-07:00,16.879045101503532 A
2017-02-14T00:00:00-07:00,14.311800729483366 A
2017-02-15T00:00:00-07:00,15.378056798130274 A
2017-02-16T00:00:00-07:00,10.908526559670767 A
2017-02-17T00:00:00-07:00,10.236417348186174 A
2017-02-18T00:00:00-07:00,5.282668932030599 A
