Timestamp,['1fa62351-85d2da00 0003-GARDNER HALL Power Meter (300015) Current B']
2017-01-01T00:00:00-07:00,165.92168299357095 A
2017-01-02T00:00:00-07:00,164.82831239700317 A
2017-01-03T00:00:00-07:00,175.1697885195414 A
2017-01-04T00:00:00-07:00,166.73573605219522 A
2017-01-05T00:00:00-07:00,165.42310047149658 A
2017-01-06T00:00:00-07:00,172.6281393369039 A
2017-01-07T00:00:00-07:00,172.66003624598184 A
2017-01-08T00:00:00-07:00,159.24480279286703 A
2017-01-09T00:00:00-07:00,222.57066170374551 A
2017-01-10T00:00:00-07:00,192.87426582972208 A
2017-01-11T00:00:00-07:00,192.37712796529135 A
2017-01-12T00:00:00-07:00,193.26814365386963 A
2017-01-13T00:00:00-07:00,218.24994866053262 A
2017-01-14T00:00:00-07:00,204.4691217740377 A
2017-01-15T00:00:00-07:00,184.11409521102905 A
2017-01-16T00:00:00-07:00,166.1257955233256 A
2017-01-17T00:00:00-07:00,207.58401473363242 A
2017-01-18T00:00:00-07:00,222.9455780029297 A
2017-01-19T00:00:00-07:00,219.06087017059326 A
2017-01-20T00:00:00-07:00,226.74061361948648 A
2017-01-21T00:00:00-07:00,198.97989670435587 A
2017-01-22T00:00:00-07:00,195.7935792605082 A
2017-01-23T00:00:00-07:00,201.48813104629517 A
2017-01-24T00:00:00-07:00,227.9698011080424 A
2017-01-25T00:00:00-07:00,224.27399698893228 A
2017-01-26T00:00:00-07:00,216.8733665148417 A
2017-01-27T00:00:00-07:00,219.01131852467856 A
2017-01-28T00:00:00-07:00,234.96669387817383 A
2017-01-29T00:00:00-07:00,198.13527393341064 A
2017-01-30T00:00:00-07:00,214.24416557947794 A
2017-01-31T00:00:00-07:00,226.0758466720581 A
2017-02-01T00:00:00-07:00,222.06233644485474 A
2017-02-02T00:00:00-07:00,228.8490982055664 A
2017-02-03T00:00:00-07:00,215.99302568106816 A
2017-02-07T00:00:00-07:00,238.66678061852087 A
2017-02-08T00:00:00-07:00,212.30652974446613 A
2017-02-09T00:00:00-07:00,198.16297229131064 A
2017-02-10T00:00:00-07:00,214.93370072046915 A
2017-02-11T00:00:00-07:00,212.50089963277182 A
2017-02-12T00:00:00-07:00,193.29589446385702 A
2017-02-13T00:00:00-07:00,208.5635984738668 A
2017-02-14T00:00:00-07:00,204.0963158607483 A
2017-02-15T00:00:00-07:00,222.8065554300944 A
2017-02-16T00:00:00-07:00,220.03637901941934 A
2017-02-17T00:00:00-07:00,217.43732039133707 A
2017-02-18T00:00:00-07:00,229.48648420969644 A
2017-02-19T00:00:00-07:00,169.10885111490884 A
2017-02-20T00:00:00-07:00,190.14850330352783 A
2017-02-21T00:00:00-07:00,224.1638045310974 A
2017-02-22T00:00:00-07:00,221.44201358159384 A
2017-02-23T00:00:00-07:00,224.41439501444498 A
2017-02-24T00:00:00-07:00,200.14890298964102 A
2017-02-25T00:00:00-07:00,201.76545429229736 A
2017-02-26T00:00:00-07:00,191.41462580362955 A
2017-02-27T00:00:00-07:00,244.36517461140951 A
2017-02-28T00:00:00-07:00,230.3581077257792 A
2017-03-01T00:00:00-07:00,228.1784610748291 A
2017-03-02T00:00:00-07:00,231.06360832850137 A
2017-03-03T00:00:00-07:00,233.27605438232422 A
2017-03-04T00:00:00-07:00,243.77926969528198 A
2017-03-05T00:00:00-07:00,197.15478690465292 A
2017-03-06T00:00:00-07:00,225.62776613235474 A
2017-03-07T00:00:00-07:00,221.98010635375977 A
2017-03-08T00:00:00-07:00,204.45501820246378 A
2017-03-09T00:00:00-07:00,232.0254135131836 A
2017-03-10T00:00:00-07:00,219.71122709910074 A
2017-03-11T00:00:00-07:00,212.53760194778442 A
2017-03-12T00:00:00-07:00,188.76963872494906 A
2017-03-13T00:00:00-06:00,171.48186906178793 A
2017-03-14T00:00:00-06:00,211.95416831970215 A
2017-03-15T00:00:00-06:00,186.39317973454794 A
2017-03-16T00:00:00-06:00,213.2089664141337 A
2017-03-17T00:00:00-06:00,214.54080486297607 A
2017-03-18T00:00:00-06:00,188.051385084788 A
2017-03-19T00:00:00-06:00,155.18970759709677 A
2017-03-20T00:00:00-06:00,197.52093172073364 A
2017-03-21T00:00:00-06:00,236.86282650629678 A
2017-03-22T00:00:00-06:00,201.65520000457764 A
2017-03-23T00:00:00-06:00,223.28737783432007 A
2017-03-24T00:00:00-06:00,204.46065855026245 A
2017-03-25T00:00:00-06:00,227.39212719599405 A
2017-03-26T00:00:00-06:00,180.2468468348185 A
2017-03-27T00:00:00-06:00,210.94368489583334 A
2017-03-28T00:00:00-06:00,209.73436896006265 A
2017-03-29T00:00:00-06:00,214.0752510494656 A
2017-03-30T00:00:00-06:00,246.92512953016492 A
2017-03-31T00:00:00-06:00,218.891441822052 A
2017-04-01T00:00:00-06:00,167.86297845840454 A
2017-04-02T00:00:00-06:00,160.17888434727988 A
2017-04-03T00:00:00-06:00,222.12907775243124 A
2017-04-04T00:00:00-06:00,194.29221375783285 A
2017-04-05T00:00:00-06:00,215.5191003481547 A
2017-04-06T00:00:00-06:00,198.3950260480245 A
2017-04-07T00:00:00-06:00,209.57135518391928 A
2017-04-08T00:00:00-06:00,174.6701602935791 A
2017-04-09T00:00:00-06:00,164.9759669303894 A
2017-04-10T00:00:00-06:00,211.68651421864828 A
2017-04-11T00:00:00-06:00,200.82582139968872 A
2017-04-12T00:00:00-06:00,211.4528956413269 A
2017-04-13T00:00:00-06:00,221.15121857325235 A
2017-04-14T00:00:00-06:00,221.25478728612265 A
2017-04-15T00:00:00-06:00,208.11869939168295 A
2017-04-16T00:00:00-06:00,160.31859032313028 A
2017-04-17T00:00:00-06:00,224.59352986017862 A
2017-04-18T00:00:00-06:00,208.37893867492676 A
2017-04-19T00:00:00-06:00,221.88801431655884 A
2017-04-20T00:00:00-06:00,212.49230925242105 A
2017-04-21T00:00:00-06:00,212.0879446665446 A
2017-04-22T00:00:00-06:00,223.60639731089273 A
2017-04-23T00:00:00-06:00,190.25359551111856 A
2017-04-24T00:00:00-06:00,220.12610658009848 A
2017-04-25T00:00:00-06:00,215.9957512219747 A
2017-04-26T00:00:00-06:00,182.3799285888672 A
2017-04-27T00:00:00-06:00,201.45701869328818 A
2017-04-28T00:00:00-06:00,195.279807249705 A
2017-04-29T00:00:00-06:00,195.5682799021403 A
2017-04-30T00:00:00-06:00,174.40109411875406 A
2017-05-01T00:00:00-06:00,209.20212443669638 A
2017-05-02T00:00:00-06:00,207.17359145482382 A
2017-05-03T00:00:00-06:00,189.82974354426065 A
2017-05-04T00:00:00-06:00,185.54054609934488 A
2017-05-05T00:00:00-06:00,190.05977582931519 A
2017-05-06T00:00:00-06:00,183.95819012324014 A
2017-05-07T00:00:00-06:00,159.398455619812 A
2017-05-08T00:00:00-06:00,192.67680597305298 A
2017-05-09T00:00:00-06:00,177.67669169108072 A
2017-05-10T00:00:00-06:00,173.97992388407388 A
2017-05-11T00:00:00-06:00,174.036949634552 A
2017-05-12T00:00:00-06:00,212.97341187795004 A
2017-05-13T00:00:00-06:00,192.74624029795328 A
2017-05-14T00:00:00-06:00,137.13311370213827 A
2017-05-15T00:00:00-06:00,158.1897234916687 A
2017-05-16T00:00:00-06:00,168.63235918680826 A
2017-05-17T00:00:00-06:00,166.3305287361145 A
2017-05-18T00:00:00-06:00,181.45205656687418 A
2017-05-19T00:00:00-06:00,180.74555365244547 A
2017-05-20T00:00:00-06:00,175.73309071858725 A
2017-05-21T00:00:00-06:00,162.10275427500406 A
2017-05-22T00:00:00-06:00,172.89500904083252 A
2017-05-23T00:00:00-06:00,187.0676326751709 A
2017-05-24T00:00:00-06:00,192.03157552083334 A
2017-05-25T00:00:00-06:00,189.4402313232422 A
2017-05-26T00:00:00-06:00,165.93611431121826 A
2017-05-27T00:00:00-06:00,156.42884079615274 A
2017-05-28T00:00:00-06:00,152.99140548706055 A
2017-05-29T00:00:00-06:00,137.87113682428995 A
2017-05-30T00:00:00-06:00,170.32693576812744 A
2017-05-31T00:00:00-06:00,169.8880966504415 A
2017-06-01T00:00:00-06:00,164.7024358113607 A
2017-06-02T00:00:00-06:00,169.7031224568685 A
2017-06-03T00:00:00-06:00,178.6742583910624 A
2017-06-04T00:00:00-06:00,139.3897856871287 A
2017-06-05T00:00:00-06:00,160.59574794769287 A
2017-06-06T00:00:00-06:00,156.1588535308838 A
2017-06-07T00:00:00-06:00,151.64433272679648 A
2017-06-08T00:00:00-06:00,181.75712394714355 A
2017-06-09T00:00:00-06:00,163.32654094696045 A
2017-06-10T00:00:00-06:00,148.34121958414713 A
2017-06-11T00:00:00-06:00,140.84618870417276 A
2017-06-12T00:00:00-06:00,164.4255018234253 A
2017-06-13T00:00:00-06:00,166.84289042154947 A
2017-06-14T00:00:00-06:00,163.51714070638022 A
2017-06-15T00:00:00-06:00,160.50578467051187 A
