Timestamp,"['1fa62366-085de6ff 0003-GARDNER HALL Power Meter (300015) Watts, 3-Ph total']"
2017-01-01T00:00:00-07:00,46.903053283691406 kW
2017-01-02T00:00:00-07:00,47.252586364746094 kW
2017-01-03T00:00:00-07:00,54.891624450683594 kW
2017-01-04T00:00:00-07:00,57.103538513183594 kW
2017-01-05T00:00:00-07:00,40.05974578857422 kW
2017-01-06T00:00:00-07:00,46.160919189453125 kW
2017-01-07T00:00:00-07:00,49.837486267089844 kW
2017-01-08T00:00:00-07:00,51.962860107421875 kW
2017-01-09T00:00:00-07:00,71.18257141113281 kW
2017-01-10T00:00:00-07:00,71.82728576660156 kW
2017-01-11T00:00:00-07:00,42.382057189941406 kW
2017-01-12T00:00:00-07:00,43.43278503417969 kW
2017-01-13T00:00:00-07:00,66.53202819824219 kW
2017-01-14T00:00:00-07:00,58.633522033691406 kW
2017-01-15T00:00:00-07:00,52.88591766357422 kW
2017-01-16T00:00:00-07:00,23.3115234375 kW
2017-01-17T00:00:00-07:00,58.71161651611328 kW
2017-01-18T00:00:00-07:00,67.46775817871094 kW
2017-01-19T00:00:00-07:00,52.16422653198242 kW
2017-01-20T00:00:00-07:00,67.31425476074219 kW
2017-01-21T00:00:00-07:00,51.67290496826172 kW
2017-01-22T00:00:00-07:00,54.05788803100586 kW
2017-01-23T00:00:00-07:00,50.333984375 kW
2017-01-24T00:00:00-07:00,64.32478332519531 kW
2017-01-25T00:00:00-07:00,66.76001739501953 kW
2017-01-26T00:00:00-07:00,62.551998138427734 kW
2017-01-27T00:00:00-07:00,57.96464920043945 kW
2017-01-28T00:00:00-07:00,61.15518569946289 kW
2017-01-29T00:00:00-07:00,40.68338394165039 kW
2017-01-30T00:00:00-07:00,50.53640365600586 kW
2017-01-31T00:00:00-07:00,70.28107452392578 kW
2017-02-01T00:00:00-07:00,65.41156005859375 kW
2017-02-02T00:00:00-07:00,67.60997009277344 kW
2017-02-03T00:00:00-07:00,63.88011169433594 kW
2017-02-07T00:00:00-07:00,58.86688232421875 kW
2017-02-08T00:00:00-07:00,57.76915740966797 kW
2017-02-09T00:00:00-07:00,61.61101531982422 kW
2017-02-10T00:00:00-07:00,59.231971740722656 kW
2017-02-11T00:00:00-07:00,61.422882080078125 kW
2017-02-12T00:00:00-07:00,55.029449462890625 kW
2017-02-13T00:00:00-07:00,46.16635513305664 kW
2017-02-14T00:00:00-07:00,67.14200592041016 kW
2017-02-15T00:00:00-07:00,66.33891296386719 kW
2017-02-16T00:00:00-07:00,65.98822784423828 kW
2017-02-17T00:00:00-07:00,58.66801071166992 kW
2017-02-18T00:00:00-07:00,62.90508270263672 kW
2017-02-19T00:00:00-07:00,36.70392608642578 kW
2017-02-20T00:00:00-07:00,41.305686950683594 kW
2017-02-21T00:00:00-07:00,54.463043212890625 kW
2017-02-22T00:00:00-07:00,60.43320083618164 kW
2017-02-23T00:00:00-07:00,61.48546600341797 kW
2017-02-24T00:00:00-07:00,45.23881149291992 kW
2017-02-25T00:00:00-07:00,46.802337646484375 kW
2017-02-26T00:00:00-07:00,42.14923858642578 kW
2017-02-27T00:00:00-07:00,68.73246765136719 kW
2017-02-28T00:00:00-07:00,71.98438262939453 kW
2017-03-01T00:00:00-07:00,74.88507843017578 kW
2017-03-02T00:00:00-07:00,72.56351470947266 kW
2017-03-03T00:00:00-07:00,63.22632598876953 kW
2017-03-04T00:00:00-07:00,71.29623413085938 kW
2017-03-05T00:00:00-07:00,54.685001373291016 kW
2017-03-06T00:00:00-07:00,59.222129821777344 kW
2017-03-07T00:00:00-07:00,71.56645965576172 kW
2017-03-08T00:00:00-07:00,43.22200012207031 kW
2017-03-09T00:00:00-07:00,66.97777557373047 kW
2017-03-10T00:00:00-07:00,47.685306549072266 kW
2017-03-11T00:00:00-07:00,63.83900451660156 kW
2017-03-12T00:00:00-07:00,59.314937591552734 kW
2017-03-13T00:00:00-06:00,45.292381286621094 kW
2017-03-14T00:00:00-06:00,68.78429412841797 kW
2017-03-15T00:00:00-06:00,64.06907653808594 kW
2017-03-16T00:00:00-06:00,71.27987670898438 kW
2017-03-17T00:00:00-06:00,67.49996948242188 kW
2017-03-18T00:00:00-06:00,57.34847640991211 kW
2017-03-19T00:00:00-06:00,25.161128997802734 kW
2017-03-20T00:00:00-06:00,58.4146614074707 kW
