Timestamp,['1fae082f-7c15e0b8 0062-WARNOCK ENGR BLDG Power Meter 316607 Real Energy In']
2017-01-01T00:00:00-07:00,7744 kWh
2017-01-02T00:00:00-07:00,7836 kWh
2017-01-03T00:00:00-07:00,7924 kWh
2017-01-04T00:00:00-07:00,8142 kWh
2017-01-05T00:00:00-07:00,8092 kWh
2017-01-06T00:00:00-07:00,7986 kWh
2017-01-07T00:00:00-07:00,7756 kWh
2017-01-08T00:00:00-07:00,7516 kWh
2017-01-09T00:00:00-07:00,8344 kWh
2017-01-10T00:00:00-07:00,8392 kWh
2017-01-11T00:00:00-07:00,8308 kWh
2017-01-12T00:00:00-07:00,8316 kWh
2017-01-13T00:00:00-07:00,8380 kWh
2017-01-14T00:00:00-07:00,8144 kWh
2017-01-15T00:00:00-07:00,8208 kWh
2017-01-16T00:00:00-07:00,8230 kWh
2017-01-17T00:00:00-07:00,8386 kWh
2017-01-18T00:00:00-07:00,8090 kWh
2017-01-19T00:00:00-07:00,8174 kWh
2017-01-20T00:00:00-07:00,8038 kWh
2017-01-21T00:00:00-07:00,7678 kWh
2017-01-22T00:00:00-07:00,7720 kWh
2017-01-23T00:00:00-07:00,8206 kWh
2017-01-24T00:00:00-07:00,8234 kWh
2017-01-25T00:00:00-07:00,8210 kWh
2017-01-26T00:00:00-07:00,8066 kWh
2017-01-27T00:00:00-07:00,8154 kWh
2017-01-28T00:00:00-07:00,7744 kWh
2017-01-29T00:00:00-07:00,7532 kWh
2017-01-30T00:00:00-07:00,8036 kWh
2017-01-31T00:00:00-07:00,8220 kWh
2017-02-01T00:00:00-07:00,8298 kWh
2017-02-02T00:00:00-07:00,8498 kWh
2017-02-03T00:00:00-07:00,37386 kWh
2017-02-07T00:00:00-07:00,5068 kWh
2017-02-08T00:00:00-07:00,9042 kWh
2017-02-09T00:00:00-07:00,9426 kWh
2017-02-10T00:00:00-07:00,9062 kWh
2017-02-11T00:00:00-07:00,7974 kWh
2017-02-12T00:00:00-07:00,8166 kWh
2017-02-13T00:00:00-07:00,8552 kWh
2017-02-14T00:00:00-07:00,8556 kWh
2017-02-15T00:00:00-07:00,8746 kWh
2017-02-16T00:00:00-07:00,8858 kWh
2017-02-17T00:00:00-07:00,8570 kWh
2017-02-18T00:00:00-07:00,8096 kWh
2017-02-19T00:00:00-07:00,7966 kWh
2017-02-20T00:00:00-07:00,8276 kWh
2017-02-21T00:00:00-07:00,9006 kWh
2017-02-22T00:00:00-07:00,8494 kWh
2017-02-23T00:00:00-07:00,8516 kWh
2017-02-24T00:00:00-07:00,8456 kWh
2017-02-25T00:00:00-07:00,7850 kWh
2017-02-26T00:00:00-07:00,7990 kWh
2017-02-27T00:00:00-07:00,8560 kWh
2017-02-28T00:00:00-07:00,8542 kWh
2017-03-01T00:00:00-07:00,8594 kWh
2017-03-02T00:00:00-07:00,8768 kWh
2017-03-03T00:00:00-07:00,8868 kWh
2017-03-04T00:00:00-07:00,8936 kWh
2017-03-05T00:00:00-07:00,8734 kWh
2017-03-06T00:00:00-07:00,8758 kWh
2017-03-07T00:00:00-07:00,8548 kWh
2017-03-08T00:00:00-07:00,8926 kWh
2017-03-09T00:00:00-07:00,9220 kWh
2017-03-10T00:00:00-07:00,9198 kWh
2017-03-11T00:00:00-07:00,8688 kWh
2017-03-12T00:00:00-07:00,8318 kWh
2017-03-13T00:00:00-06:00,8996 kWh
2017-03-14T00:00:00-06:00,9298 kWh
2017-03-15T00:00:00-06:00,9120 kWh
2017-03-16T00:00:00-06:00,9222 kWh
2017-03-17T00:00:00-06:00,9060 kWh
2017-03-18T00:00:00-06:00,8800 kWh
2017-03-19T00:00:00-06:00,8696 kWh
2017-03-20T00:00:00-06:00,9532 kWh
2017-03-21T00:00:00-06:00,9542 kWh
2017-03-22T00:00:00-06:00,9406 kWh
2017-03-23T00:00:00-06:00,8574 kWh
2017-03-24T00:00:00-06:00,9082 kWh
2017-03-25T00:00:00-06:00,8362 kWh
2017-03-26T00:00:00-06:00,8514 kWh
2017-03-27T00:00:00-06:00,8730 kWh
2017-03-28T00:00:00-06:00,8912 kWh
2017-03-29T00:00:00-06:00,14192 kWh
2017-03-30T00:00:00-06:00,4202 kWh
2017-03-31T00:00:00-06:00,8600 kWh
2017-04-01T00:00:00-06:00,8998 kWh
2017-04-02T00:00:00-06:00,8156 kWh
2017-04-03T00:00:00-06:00,8620 kWh
2017-04-04T00:00:00-06:00,8770 kWh
2017-04-05T00:00:00-06:00,8962 kWh
2017-04-06T00:00:00-06:00,9186 kWh
