Timestamp,['1fe6f7f0-18409e43 Power Meter 085220 (300186) kW tot']
2017-01-01T00:00:00-07:00,75.9000015258789 kW
2017-01-02T00:00:00-07:00,84.9000015258789 kW
2017-01-03T00:00:00-07:00,97.69999694824219 kW
2017-01-04T00:00:00-07:00,97.4000015258789 kW
2017-01-05T00:00:00-07:00,96.5999984741211 kW
2017-01-06T00:00:00-07:00,96.69999694824219 kW
2017-01-07T00:00:00-07:00,78.4000015258789 kW
2017-01-08T00:00:00-07:00,76.0999984741211 kW
2017-01-09T00:00:00-07:00,92.5999984741211 kW
2017-01-10T00:00:00-07:00,99.30000305175781 kW
2017-01-11T00:00:00-07:00,92.9000015258789 kW
2017-01-12T00:00:00-07:00,99.9000015258789 kW
2017-01-13T00:00:00-07:00,98.30000305175781 kW
2017-01-14T00:00:00-07:00,77 kW
2017-01-15T00:00:00-07:00,74 kW
2017-01-16T00:00:00-07:00,73.80000305175781 kW
2017-01-17T00:00:00-07:00,96.5999984741211 kW
2017-01-18T00:00:00-07:00,93.80000305175781 kW
2017-01-19T00:00:00-07:00,96.5 kW
2017-01-20T00:00:00-07:00,101.0999984741211 kW
2017-01-21T00:00:00-07:00,72.5999984741211 kW
2017-01-22T00:00:00-07:00,77.4000015258789 kW
2017-01-23T00:00:00-07:00,96.19999694824219 kW
2017-01-24T00:00:00-07:00,101 kW
2017-01-25T00:00:00-07:00,97.80000305175781 kW
2017-01-26T00:00:00-07:00,97.5999984741211 kW
2017-01-27T00:00:00-07:00,96 kW
2017-01-28T00:00:00-07:00,78.4000015258789 kW
2017-01-29T00:00:00-07:00,80.19999694824219 kW
2017-01-30T00:00:00-07:00,100.19999694824219 kW
2017-01-31T00:00:00-07:00,95 kW
2017-02-01T00:00:00-07:00,98.30000305175781 kW
2017-02-02T00:00:00-07:00,95.30000305175781 kW
2017-02-03T00:00:00-07:00,88.5999984741211 kW
2017-02-07T00:00:00-07:00,90.80000305175781 kW
2017-02-08T00:00:00-07:00,99.4000015258789 kW
2017-02-09T00:00:00-07:00,97.69999694824219 kW
2017-02-10T00:00:00-07:00,99.9000015258789 kW
2017-02-11T00:00:00-07:00,79 kW
2017-02-12T00:00:00-07:00,69.4000015258789 kW
2017-02-13T00:00:00-07:00,90.4000015258789 kW
2017-02-14T00:00:00-07:00,98.5 kW
2017-02-15T00:00:00-07:00,99.69999694824219 kW
2017-02-16T00:00:00-07:00,88.5999984741211 kW
2017-02-17T00:00:00-07:00,93.5999984741211 kW
2017-02-18T00:00:00-07:00,70.9000015258789 kW
2017-02-19T00:00:00-07:00,76.80000305175781 kW
2017-02-20T00:00:00-07:00,72.69999694824219 kW
2017-02-21T00:00:00-07:00,98.19999694824219 kW
2017-02-22T00:00:00-07:00,121.0999984741211 kW
2017-02-23T00:00:00-07:00,129.10000610351562 kW
2017-02-24T00:00:00-07:00,147.10000610351562 kW
2017-02-25T00:00:00-07:00,132.89999389648438 kW
2017-02-26T00:00:00-07:00,120.69999694824219 kW
2017-02-27T00:00:00-07:00,119.5999984741211 kW
2017-02-28T00:00:00-07:00,98.30000305175781 kW
2017-03-01T00:00:00-07:00,128.60000610351562 kW
2017-03-02T00:00:00-07:00,95.9000015258789 kW
2017-03-03T00:00:00-07:00,153.6999969482422 kW
2017-03-04T00:00:00-07:00,132.6999969482422 kW
2017-03-05T00:00:00-07:00,139.8000030517578 kW
2017-03-06T00:00:00-07:00,129 kW
2017-03-07T00:00:00-07:00,153.6999969482422 kW
2017-03-08T00:00:00-07:00,153.3000030517578 kW
2017-03-09T00:00:00-07:00,120.9000015258789 kW
2017-03-10T00:00:00-07:00,126 kW
2017-03-11T00:00:00-07:00,71.5999984741211 kW
2017-03-12T00:00:00-07:00,72.5 kW
2017-03-13T00:00:00-06:00,95.69999694824219 kW
2017-03-14T00:00:00-06:00,96 kW
2017-03-15T00:00:00-06:00,96 kW
2017-03-16T00:00:00-06:00,95.5 kW
2017-03-17T00:00:00-06:00,94.80000305175781 kW
2017-03-18T00:00:00-06:00,73.69999694824219 kW
2017-03-19T00:00:00-06:00,75.30000305175781 kW
2017-03-20T00:00:00-06:00,94.69999694824219 kW
2017-03-21T00:00:00-06:00,95.4000015258789 kW
2017-03-22T00:00:00-06:00,96.30000305175781 kW
2017-03-23T00:00:00-06:00,96.9000015258789 kW
2017-03-24T00:00:00-06:00,85.5 kW
2017-03-25T00:00:00-06:00,77.0999984741211 kW
2017-03-26T00:00:00-06:00,77 kW
2017-03-27T00:00:00-06:00,86.5999984741211 kW
2017-03-28T00:00:00-06:00,90 kW
2017-03-29T00:00:00-06:00,90.69999694824219 kW
2017-03-30T00:00:00-06:00,93 kW
2017-03-31T00:00:00-06:00,94.80000305175781 kW
2017-04-01T00:00:00-06:00,73.80000305175781 kW
2017-04-02T00:00:00-06:00,82 kW
2017-04-03T00:00:00-06:00,96.4000015258789 kW
2017-04-04T00:00:00-06:00,93.4000015258789 kW
2017-04-05T00:00:00-06:00,95.30000305175781 kW
2017-04-06T00:00:00-06:00,97.9000015258789 kW
2017-04-07T00:00:00-06:00,98.0999984741211 kW
2017-04-08T00:00:00-06:00,81.19999694824219 kW
2017-04-09T00:00:00-06:00,74.80000305175781 kW
2017-04-10T00:00:00-06:00,93 kW
2017-04-11T00:00:00-06:00,94.5 kW
2017-04-12T00:00:00-06:00,98.9000015258789 kW
2017-04-13T00:00:00-06:00,94 kW
2017-04-14T00:00:00-06:00,95.5999984741211 kW
2017-04-15T00:00:00-06:00,71.0999984741211 kW
2017-04-16T00:00:00-06:00,74.4000015258789 kW
2017-04-17T00:00:00-06:00,90.5 kW
2017-04-18T00:00:00-06:00,94 kW
2017-04-19T00:00:00-06:00,93.5 kW
2017-04-20T00:00:00-06:00,95.0999984741211 kW
2017-04-21T00:00:00-06:00,96.30000305175781 kW
2017-04-22T00:00:00-06:00,73.5 kW
2017-04-23T00:00:00-06:00,75.5 kW
2017-04-24T00:00:00-06:00,97.69999694824219 kW
2017-04-25T00:00:00-06:00,95 kW
2017-04-26T00:00:00-06:00,95.69999694824219 kW
2017-04-27T00:00:00-06:00,94 kW
2017-04-28T00:00:00-06:00,96.9000015258789 kW
2017-04-29T00:00:00-06:00,80.19999694824219 kW
2017-04-30T00:00:00-06:00,77.0999984741211 kW
2017-05-01T00:00:00-06:00,94.5 kW
2017-05-02T00:00:00-06:00,98.69999694824219 kW
2017-05-03T00:00:00-06:00,96.9000015258789 kW
2017-05-04T00:00:00-06:00,104.30000305175781 kW
2017-05-05T00:00:00-06:00,100.19999694824219 kW
2017-05-06T00:00:00-06:00,75.30000305175781 kW
2017-05-07T00:00:00-06:00,74.69999694824219 kW
2017-05-08T00:00:00-06:00,97.30000305175781 kW
2017-05-09T00:00:00-06:00,91.4000015258789 kW
2017-05-10T00:00:00-06:00,152.89999389648438 kW
2017-05-11T00:00:00-06:00,147.6999969482422 kW
2017-05-12T00:00:00-06:00,111.80000305175781 kW
2017-05-13T00:00:00-06:00,78.4000015258789 kW
2017-05-14T00:00:00-06:00,76.80000305175781 kW
2017-05-15T00:00:00-06:00,96 kW
2017-05-16T00:00:00-06:00,98.0999984741211 kW
2017-05-17T00:00:00-06:00,95.19999694824219 kW
2017-05-18T00:00:00-06:00,95.19999694824219 kW
2017-05-19T00:00:00-06:00,88.69999694824219 kW
2017-05-20T00:00:00-06:00,77.4000015258789 kW
2017-05-21T00:00:00-06:00,75.0999984741211 kW
2017-05-22T00:00:00-06:00,93.5 kW
2017-05-23T00:00:00-06:00,91.0999984741211 kW
2017-05-24T00:00:00-06:00,94 kW
2017-05-25T00:00:00-06:00,93.9000015258789 kW
2017-05-26T00:00:00-06:00,92.5 kW
2017-05-27T00:00:00-06:00,73.4000015258789 kW
2017-05-28T00:00:00-06:00,69.5999984741211 kW
2017-05-29T00:00:00-06:00,80.4000015258789 kW
2017-05-30T00:00:00-06:00,93.9000015258789 kW
2017-05-31T00:00:00-06:00,94.5 kW
2017-06-01T00:00:00-06:00,90.30000305175781 kW
2017-06-02T00:00:00-06:00,92.69999694824219 kW
2017-06-03T00:00:00-06:00,70.5 kW
2017-06-04T00:00:00-06:00,72.5999984741211 kW
2017-06-05T00:00:00-06:00,95 kW
2017-06-06T00:00:00-06:00,91.80000305175781 kW
2017-06-07T00:00:00-06:00,98.4000015258789 kW
2017-06-08T00:00:00-06:00,132 kW
2017-06-09T00:00:00-06:00,84.30000305175781 kW
2017-06-10T00:00:00-06:00,74.4000015258789 kW
2017-06-11T00:00:00-06:00,79.19999694824219 kW
2017-06-12T00:00:00-06:00,91.69999694824219 kW
2017-06-13T00:00:00-06:00,152.5 kW
2017-06-14T00:00:00-06:00,146.8000030517578 kW
2017-06-15T00:00:00-06:00,151.3000030517578 kW
2017-06-16T00:00:00-06:00,145.5 kW
2017-06-17T00:00:00-06:00,131.8000030517578 kW
2017-06-18T00:00:00-06:00,132.3000030517578 kW
2017-06-19T00:00:00-06:00,150.1999969482422 kW
2017-06-20T00:00:00-06:00,146.6999969482422 kW
2017-06-21T00:00:00-06:00,148.1999969482422 kW
2017-06-22T00:00:00-06:00,150.39999389648438 kW
2017-06-23T00:00:00-06:00,142.5 kW
2017-06-24T00:00:00-06:00,133 kW
2017-06-25T00:00:00-06:00,132.5 kW
2017-06-26T00:00:00-06:00,153.39999389648438 kW
2017-06-27T00:00:00-06:00,151.39999389648438 kW
2017-06-28T00:00:00-06:00,156.1999969482422 kW
2017-06-29T00:00:00-06:00,157.39999389648438 kW
2017-06-30T00:00:00-06:00,155.39999389648438 kW
2017-07-01T00:00:00-06:00,135.5 kW
2017-07-02T00:00:00-06:00,134.3000030517578 kW
2017-07-03T00:00:00-06:00,148.39999389648438 kW
2017-07-04T00:00:00-06:00,135.89999389648438 kW
2017-07-05T00:00:00-06:00,157.1999969482422 kW
2017-07-06T00:00:00-06:00,150.8000030517578 kW
2017-07-07T00:00:00-06:00,148.60000610351562 kW
2017-07-08T00:00:00-06:00,129.60000610351562 kW
2017-07-09T00:00:00-06:00,126.4000015258789 kW
2017-07-10T00:00:00-06:00,127.69999694824219 kW
2017-07-11T00:00:00-06:00,143 kW
2017-07-12T00:00:00-06:00,125.4000015258789 kW
2017-07-14T00:00:00-06:00,155.39999389648438 kW
2017-07-15T00:00:00-06:00,131.5 kW
2017-07-16T00:00:00-06:00,127.69999694824219 kW
2017-07-17T00:00:00-06:00,145.10000610351562 kW
2017-07-18T00:00:00-06:00,126.19999694824219 kW
2017-07-19T00:00:00-06:00,140.89999389648438 kW
2017-07-20T00:00:00-06:00,150.3000030517578 kW
2017-07-21T00:00:00-06:00,152.6999969482422 kW
2017-07-22T00:00:00-06:00,131.39999389648438 kW
2017-07-23T00:00:00-06:00,129.3000030517578 kW
2017-07-24T00:00:00-06:00,130.5 kW
2017-07-25T00:00:00-06:00,150.39999389648438 kW
2017-07-26T00:00:00-06:00,145.89999389648438 kW
2017-07-27T00:00:00-06:00,149.10000610351562 kW
2017-07-28T00:00:00-06:00,125.69999694824219 kW
2017-07-29T00:00:00-06:00,133.6999969482422 kW
2017-07-30T00:00:00-06:00,143 kW
2017-07-31T00:00:00-06:00,140.1999969482422 kW
2017-08-01T00:00:00-06:00,152.3000030517578 kW
2017-08-02T00:00:00-06:00,129 kW
2017-08-03T00:00:00-06:00,138.10000610351562 kW
2017-08-04T00:00:00-06:00,140.3000030517578 kW
2017-08-05T00:00:00-06:00,139.89999389648438 kW
2017-08-06T00:00:00-06:00,129 kW
2017-08-07T00:00:00-06:00,147 kW
2017-08-08T00:00:00-06:00,147.5 kW
2017-08-09T00:00:00-06:00,134.10000610351562 kW
2017-08-10T00:00:00-06:00,148.6999969482422 kW
2017-08-11T00:00:00-06:00,152.60000610351562 kW
2017-08-12T00:00:00-06:00,134.5 kW
2017-08-13T00:00:00-06:00,127.0999984741211 kW
2017-08-14T00:00:00-06:00,155.89999389648438 kW
2017-08-15T00:00:00-06:00,148.10000610351562 kW
2017-08-16T00:00:00-06:00,128.1999969482422 kW
2017-08-17T00:00:00-06:00,149.6999969482422 kW
2017-08-18T00:00:00-06:00,136.6999969482422 kW
2017-08-19T00:00:00-06:00,121.4000015258789 kW
2017-08-20T00:00:00-06:00,126.30000305175781 kW
2017-08-21T00:00:00-06:00,139.1999969482422 kW
