Timestamp,['1fe6f971-7895b934 Power Meter 085220 (300186) Current A']
2017-01-01T00:00:00-07:00,79.6904758271717 A
2017-01-02T00:00:00-07:00,84.48888877586081 A
2017-01-03T00:00:00-07:00,94.85789409436677 A
2017-01-04T00:00:00-07:00,92.69655188198747 A
2017-01-05T00:00:00-07:00,86.58888922797308 A
2017-01-06T00:00:00-07:00,94.88421028538754 A
2017-01-07T00:00:00-07:00,80.52857171921502 A
2017-01-08T00:00:00-07:00,79.2727279663086 A
2017-01-09T00:00:00-07:00,86.78823538387523 A
2017-01-10T00:00:00-07:00,96.30999946594238 A
2017-01-11T00:00:00-07:00,84.65000057220459 A
2017-01-12T00:00:00-07:00,93.49642780848912 A
2017-01-13T00:00:00-07:00,92.21052752043072 A
2017-01-14T00:00:00-07:00,81.72500069936116 A
2017-01-15T00:00:00-07:00,80.18695565928583 A
2017-01-16T00:00:00-07:00,80.2888895670573 A
2017-01-17T00:00:00-07:00,89.33846136239859 A
2017-01-18T00:00:00-07:00,87.9071431841169 A
2017-01-19T00:00:00-07:00,86.82916673024495 A
2017-01-20T00:00:00-07:00,88.8741937452747 A
2017-01-21T00:00:00-07:00,77.35416730244954 A
2017-01-22T00:00:00-07:00,82.06428555079869 A
2017-01-23T00:00:00-07:00,85.47142791748047 A
2017-01-24T00:00:00-07:00,87.54210542377673 A
2017-01-25T00:00:00-07:00,91.14814730043764 A
2017-01-26T00:00:00-07:00,86.28965575119545 A
2017-01-27T00:00:00-07:00,83.59473660117702 A
2017-01-28T00:00:00-07:00,80.02692237267128 A
2017-01-29T00:00:00-07:00,81.16785757882255 A
2017-01-30T00:00:00-07:00,90.41481470178675 A
2017-01-31T00:00:00-07:00,91.32000030517578 A
2017-02-01T00:00:00-07:00,94.00000023119378 A
2017-02-02T00:00:00-07:00,89.58750081062317 A
2017-02-03T00:00:00-07:00,85.90833314259847 A
2017-02-07T00:00:00-07:00,92.74666646321614 A
2017-02-08T00:00:00-07:00,95.61538490882286 A
2017-02-09T00:00:00-07:00,94.64545510031961 A
2017-02-10T00:00:00-07:00,90.23077040452223 A
2017-02-11T00:00:00-07:00,75.17333323160807 A
2017-02-12T00:00:00-07:00,76.6 A
2017-02-13T00:00:00-07:00,87.80714307512555 A
2017-02-14T00:00:00-07:00,93.55999946594238 A
2017-02-15T00:00:00-07:00,86.41999969482421 A
2017-02-16T00:00:00-07:00,86.79999923706055 A
2017-02-17T00:00:00-07:00,90.83333333333333 A
2017-02-18T00:00:00-07:00,77.33333206176758 A
2017-02-19T00:00:00-07:00,81.38749980926514 A
2017-02-20T00:00:00-07:00,80.62857164655414 A
2017-02-21T00:00:00-07:00,89.73333333333333 A
2017-02-22T00:00:00-07:00,92.14999989100865 A
2017-02-23T00:00:00-07:00,111.7249984741211 A
2017-02-24T00:00:00-07:00,108.80909035422586 A
2017-02-25T00:00:00-07:00,91.50000108991351 A
2017-02-26T00:00:00-07:00,97.52857208251953 A
2017-02-27T00:00:00-07:00,108.57999877929687 A
2017-02-28T00:00:00-07:00,114.5 A
2017-03-01T00:00:00-07:00,120.2249984741211 A
2017-03-02T00:00:00-07:00,111.53333282470703 A
2017-03-03T00:00:00-07:00,113.73999786376953 A
2017-03-04T00:00:00-07:00,97.97777981228299 A
2017-03-05T00:00:00-07:00,105.7933334350586 A
2017-03-06T00:00:00-07:00,104.28333282470703 A
2017-03-07T00:00:00-07:00,132.22857121058874 A
2017-03-08T00:00:00-07:00,117.59999974568684 A
2017-03-09T00:00:00-07:00,99.61250114440918 A
2017-03-10T00:00:00-07:00,94.93846130371094 A
2017-03-11T00:00:00-07:00,76.40999984741211 A
2017-03-12T00:00:00-07:00,76.01000137329102 A
2017-03-13T00:00:00-06:00,88.98043541286303 A
2017-03-14T00:00:00-06:00,88.1833331698463 A
2017-03-15T00:00:00-06:00,86.90759470492979 A
2017-03-16T00:00:00-06:00,85.99583307902019 A
2017-03-17T00:00:00-06:00,86.07733306884765 A
2017-03-18T00:00:00-06:00,80.58831172794491 A
2017-03-19T00:00:00-06:00,84.2039475691946 A
2017-03-20T00:00:00-06:00,92.6827163696289 A
2017-03-21T00:00:00-06:00,92.95072461556697 A
2017-03-22T00:00:00-06:00,92.0809519631522 A
2017-03-23T00:00:00-06:00,89.02068951486171 A
2017-03-24T00:00:00-06:00,80.87499959845292 A
2017-03-25T00:00:00-06:00,79.68873241585744 A
2017-03-26T00:00:00-06:00,79.7240964590785 A
2017-03-27T00:00:00-06:00,85.25999994277954 A
2017-03-28T00:00:00-06:00,87.02857148802126 A
2017-03-29T00:00:00-06:00,87.66140412447746 A
2017-03-30T00:00:00-06:00,89.02666676839193 A
2017-03-31T00:00:00-06:00,86.65500030517578 A
2017-04-01T00:00:00-06:00,77.0948717166216 A
2017-04-02T00:00:00-06:00,84.0283783577584 A
