Timestamp,['201d14f7-e3f2286a 0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 Volts A-B']
2017-01-26T00:00:00-07:00,213.49615584972292 V
2017-01-27T00:00:00-07:00,213.59283908208212 V
2017-01-28T00:00:00-07:00,213.56877438227335 V
2017-01-29T00:00:00-07:00,213.60784816741943 V
2017-01-30T00:00:00-07:00,213.73866987228394 V
2017-01-31T00:00:00-07:00,213.46685568491617 V
2017-02-01T00:00:00-07:00,213.65991338094076 V
2017-02-02T00:00:00-07:00,213.59126981099448 V
2017-02-03T00:00:00-07:00,213.5228765455343 V
2017-02-07T00:00:00-07:00,213.60924816131592 V
2017-02-08T00:00:00-07:00,213.7743652679108 V
2017-02-09T00:00:00-07:00,213.58048884073892 V
2017-02-10T00:00:00-07:00,213.72744925816855 V
2017-02-11T00:00:00-07:00,213.7674462000529 V
2017-02-12T00:00:00-07:00,213.58584547042847 V
2017-02-13T00:00:00-07:00,213.69731458028158 V
2017-02-14T00:00:00-07:00,213.73305304845175 V
2017-02-15T00:00:00-07:00,213.73056157430014 V
2017-02-16T00:00:00-07:00,213.68912426630655 V
2017-02-17T00:00:00-07:00,213.91315253575644 V
2017-02-18T00:00:00-07:00,213.88017495473227 V
2017-02-19T00:00:00-07:00,213.91304381688437 V
2017-02-20T00:00:00-07:00,213.6921230951945 V
2017-02-21T00:00:00-07:00,213.6718290646871 V
2017-02-22T00:00:00-07:00,213.66285673777261 V
2017-02-23T00:00:00-07:00,213.69737148284912 V
2017-02-24T00:00:00-07:00,213.77538888665694 V
2017-02-25T00:00:00-07:00,213.7865956624349 V
2017-02-26T00:00:00-07:00,214.0466101964315 V
2017-02-27T00:00:00-07:00,213.98413626352945 V
2017-02-28T00:00:00-07:00,213.72105042139688 V
2017-03-01T00:00:00-07:00,213.7888938585917 V
2017-03-02T00:00:00-07:00,213.81831391652426 V
2017-03-03T00:00:00-07:00,213.60287507375082 V
2017-03-04T00:00:00-07:00,213.66278314590454 V
2017-03-05T00:00:00-07:00,213.63999319076538 V
2017-03-06T00:00:00-07:00,213.5326598485311 V
2017-03-07T00:00:00-07:00,213.65625762939453 V
2017-03-08T00:00:00-07:00,213.86524550120035 V
2017-03-09T00:00:00-07:00,213.71536572774252 V
2017-03-10T00:00:00-07:00,213.72937138875326 V
2017-03-11T00:00:00-07:00,213.89181502660117 V
2017-03-12T00:00:00-07:00,213.753568234651 V
2017-03-13T00:00:00-06:00,213.92389567693075 V
2017-03-14T00:00:00-06:00,213.820574760437 V
2017-03-15T00:00:00-06:00,213.5589780807495 V
2017-03-16T00:00:00-06:00,214.00604979197183 V
2017-03-17T00:00:00-06:00,213.68114614486694 V
2017-03-18T00:00:00-06:00,213.9068644841512 V
2017-03-19T00:00:00-06:00,213.70330047607422 V
2017-03-20T00:00:00-06:00,213.47760659075797 V
2017-03-21T00:00:00-06:00,213.4996770222982 V
2017-03-22T00:00:00-06:00,213.58352438608804 V
2017-03-23T00:00:00-06:00,213.7166404724121 V
2017-03-24T00:00:00-06:00,213.91772969563803 V
2017-03-25T00:00:00-06:00,213.94367376963297 V
2017-03-26T00:00:00-06:00,213.60549449920654 V
2017-03-27T00:00:00-06:00,213.6491551399231 V
2017-03-28T00:00:00-06:00,213.7659584681193 V
2017-03-29T00:00:00-06:00,213.6542536417643 V
2017-03-30T00:00:00-06:00,213.68924628363715 V
2017-03-31T00:00:00-06:00,213.8537828127543 V
2017-04-01T00:00:00-06:00,214.04480679829916 V
2017-04-02T00:00:00-06:00,214.02775462468466 V
2017-04-03T00:00:00-06:00,213.67061932881674 V
2017-04-04T00:00:00-06:00,213.76012436548868 V
2017-04-05T00:00:00-06:00,213.56942383448282 V
2017-04-06T00:00:00-06:00,213.39803568522134 V
2017-04-07T00:00:00-06:00,213.68061208724976 V
2017-04-08T00:00:00-06:00,213.92572482426962 V
2017-04-09T00:00:00-06:00,214.05357774098715 V
2017-04-10T00:00:00-06:00,213.74788427352905 V
2017-04-11T00:00:00-06:00,213.7375340461731 V
2017-04-12T00:00:00-06:00,213.56422313054404 V
2017-04-13T00:00:00-06:00,213.5207888285319 V
2017-04-14T00:00:00-06:00,213.77839946746826 V
2017-04-15T00:00:00-06:00,213.57165829340616 V
2017-04-16T00:00:00-06:00,214.13909928003946 V
2017-04-17T00:00:00-06:00,213.65532414118448 V
2017-04-18T00:00:00-06:00,213.6383202870687 V
2017-04-19T00:00:00-06:00,213.6033584276835 V
2017-04-20T00:00:00-06:00,213.73646338780722 V
2017-04-21T00:00:00-06:00,213.43980026245117 V
2017-04-22T00:00:00-06:00,213.51581462224325 V
2017-04-23T00:00:00-06:00,213.49837160110474 V
2017-04-24T00:00:00-06:00,213.68287340799967 V
2017-04-25T00:00:00-06:00,213.53697458902994 V
2017-04-26T00:00:00-06:00,213.43768787384033 V
2017-04-27T00:00:00-06:00,213.72992579142252 V
2017-04-28T00:00:00-06:00,213.44470945994058 V
2017-04-29T00:00:00-06:00,213.77738428115845 V
2017-04-30T00:00:00-06:00,213.4089002609253 V
2017-05-01T00:00:00-06:00,213.39382537206015 V
2017-05-02T00:00:00-06:00,213.29264640808105 V
2017-05-03T00:00:00-06:00,213.40671730041504 V
2017-05-04T00:00:00-06:00,213.41422923405966 V
2017-05-05T00:00:00-06:00,213.50948603947958 V
2017-05-06T00:00:00-06:00,213.4875170389811 V
2017-05-07T00:00:00-06:00,213.54893589019775 V
2017-05-08T00:00:00-06:00,213.43275928497314 V
2017-05-09T00:00:00-06:00,213.41220331192017 V
2017-05-10T00:00:00-06:00,213.39103110631308 V
