Timestamp,['203a2641-e650eff1 0066-SIMMONS PIONEER MEMORIAL THEATRE Power Meter Current C']
2017-02-17T00:00:00-07:00,386.75403835898953 A
2017-02-18T00:00:00-07:00,334.39514954884845 A
2017-02-19T00:00:00-07:00,262.44062519073486 A
2017-02-20T00:00:00-07:00,297.4918826523648 A
2017-02-21T00:00:00-07:00,313.21499093373615 A
2017-02-22T00:00:00-07:00,299.5845923423767 A
2017-02-23T00:00:00-07:00,293.8661117553711 A
2017-02-24T00:00:00-07:00,273.6814694947834 A
2017-02-25T00:00:00-07:00,275.4180793762207 A
2017-02-26T00:00:00-07:00,249.00461880366007 A
2017-02-27T00:00:00-07:00,274.76678053538006 A
2017-02-28T00:00:00-07:00,277.5763490994771 A
2017-03-01T00:00:00-07:00,289.02068424224854 A
2017-03-02T00:00:00-07:00,293.8698156674703 A
2017-03-03T00:00:00-07:00,305.85165468851727 A
2017-03-04T00:00:00-07:00,283.95644664764404 A
2017-03-05T00:00:00-07:00,258.74291308720905 A
2017-03-06T00:00:00-07:00,284.53844420115155 A
2017-03-07T00:00:00-07:00,286.06311353047687 A
2017-03-08T00:00:00-07:00,292.157527923584 A
2017-03-09T00:00:00-07:00,307.4269444147746 A
2017-03-10T00:00:00-07:00,308.8744578361511 A
2017-03-11T00:00:00-07:00,271.3141800562541 A
2017-03-12T00:00:00-07:00,227.88793878969938 A
2017-03-13T00:00:00-06:00,267.1196969350179 A
2017-03-14T00:00:00-06:00,280.09104204177856 A
2017-03-15T00:00:00-06:00,284.52472225824994 A
2017-03-16T00:00:00-06:00,309.3614172935486 A
2017-03-17T00:00:00-06:00,361.26657247543335 A
2017-03-18T00:00:00-06:00,358.11758216222125 A
2017-03-19T00:00:00-06:00,306.85504992802936 A
2017-03-20T00:00:00-06:00,395.0756959915161 A
2017-03-21T00:00:00-06:00,411.0787447293599 A
2017-03-22T00:00:00-06:00,373.0692450205485 A
2017-03-23T00:00:00-06:00,339.0763252576192 A
2017-03-24T00:00:00-06:00,348.8861867586772 A
2017-03-25T00:00:00-06:00,329.32268810272217 A
2017-03-26T00:00:00-06:00,258.90123240152997 A
2017-03-27T00:00:00-06:00,332.5432868003845 A
2017-03-28T00:00:00-06:00,347.16290346781415 A
2017-03-29T00:00:00-06:00,349.34144401550293 A
2017-03-30T00:00:00-06:00,427.9812160915799 A
2017-03-31T00:00:00-06:00,353.6271727879842 A
2017-04-01T00:00:00-06:00,384.8363364537557 A
2017-04-02T00:00:00-06:00,275.85421816507977 A
2017-04-03T00:00:00-06:00,357.5979669888814 A
2017-04-04T00:00:00-06:00,317.85756667455036 A
2017-04-05T00:00:00-06:00,372.45604515075684 A
2017-04-06T00:00:00-06:00,381.8795000712077 A
2017-04-07T00:00:00-06:00,383.2578053474426 A
2017-04-08T00:00:00-06:00,339.3668360710144 A
2017-04-09T00:00:00-06:00,262.0779169400533 A
2017-04-10T00:00:00-06:00,331.313613096873 A
2017-04-11T00:00:00-06:00,323.8179864883423 A
2017-04-12T00:00:00-06:00,352.87090190251666 A
2017-04-13T00:00:00-06:00,371.5059407552083 A
2017-04-14T00:00:00-06:00,358.2805078824361 A
2017-04-15T00:00:00-06:00,307.5256168047587 A
2017-04-16T00:00:00-06:00,299.13931163152057 A
2017-04-17T00:00:00-06:00,352.085897286733 A
2017-04-18T00:00:00-06:00,344.3764322598775 A
2017-04-19T00:00:00-06:00,341.51708761850995 A
2017-04-20T00:00:00-06:00,333.82565546035767 A
2017-04-21T00:00:00-06:00,311.3007516860962 A
2017-04-22T00:00:00-06:00,335.71605889002484 A
2017-04-23T00:00:00-06:00,325.0607657432556 A
2017-04-24T00:00:00-06:00,330.4656416575114 A
2017-04-25T00:00:00-06:00,325.21703640619916 A
2017-04-26T00:00:00-06:00,350.69825474421185 A
2017-04-27T00:00:00-06:00,348.6870050430298 A
2017-04-28T00:00:00-06:00,358.4046409924825 A
2017-04-29T00:00:00-06:00,380.13305282592773 A
2017-04-30T00:00:00-06:00,320.3456398646037 A
2017-05-01T00:00:00-06:00,388.15677881240845 A
2017-05-02T00:00:00-06:00,400.60714626312256 A
2017-05-03T00:00:00-06:00,388.86034377415973 A
2017-05-04T00:00:00-06:00,399.74248202641803 A
2017-05-05T00:00:00-06:00,407.3921531041463 A
2017-05-06T00:00:00-06:00,368.9706269900004 A
2017-05-07T00:00:00-06:00,281.8433100382487 A
2017-05-08T00:00:00-06:00,348.16376797358197 A
2017-05-09T00:00:00-06:00,360.93529319763184 A
2017-05-10T00:00:00-06:00,381.8395314216614 A
2017-05-11T00:00:00-06:00,373.1321023305257 A
2017-05-12T00:00:00-06:00,383.12376674016315 A
2017-05-13T00:00:00-06:00,335.4699722925822 A
2017-05-14T00:00:00-06:00,266.89019473393756 A
2017-05-15T00:00:00-06:00,362.1639296213786 A
2017-05-16T00:00:00-06:00,338.87291351954144 A
2017-05-17T00:00:00-06:00,308.8223803838094 A
2017-05-18T00:00:00-06:00,296.2980233828227 A
2017-05-19T00:00:00-06:00,307.9383101463318 A
2017-05-20T00:00:00-06:00,341.5858651796977 A
2017-05-21T00:00:00-06:00,294.27978134155273 A
2017-05-22T00:00:00-06:00,334.2606134414673 A
2017-05-23T00:00:00-06:00,331.1318847338359 A
2017-05-24T00:00:00-06:00,326.00069761276245 A
2017-05-25T00:00:00-06:00,306.26760228474933 A
2017-05-26T00:00:00-06:00,276.10639635721844 A
2017-05-27T00:00:00-06:00,269.00617901484173 A
2017-05-28T00:00:00-06:00,286.1010592811986 A
2017-05-29T00:00:00-06:00,294.5188075701396 A
2017-05-30T00:00:00-06:00,326.0795985857646 A
2017-05-31T00:00:00-06:00,336.1571232477824 A
2017-06-01T00:00:00-06:00,327.2503345807393 A
2017-06-02T00:00:00-06:00,321.2299853960673 A
2017-06-03T00:00:00-06:00,297.6333297093709 A
2017-06-04T00:00:00-06:00,317.7041557629903 A
2017-06-05T00:00:00-06:00,337.64066982269287 A
2017-06-06T00:00:00-06:00,339.93193594614667 A
2017-06-07T00:00:00-06:00,347.02896817525226 A
2017-06-08T00:00:00-06:00,333.2536684672038 A
2017-06-09T00:00:00-06:00,318.75471210479736 A
2017-06-10T00:00:00-06:00,283.529076666581 A
2017-06-11T00:00:00-06:00,297.0716652870178 A
2017-06-12T00:00:00-06:00,292.818088054657 A
2017-06-13T00:00:00-06:00,282.2781327565511 A
2017-06-14T00:00:00-06:00,319.5851583480835 A
2017-06-15T00:00:00-06:00,344.01220719019574 A
2017-06-16T00:00:00-06:00,369.52825260162354 A
2017-06-17T00:00:00-06:00,333.2246143023173 A
2017-06-18T00:00:00-06:00,306.81831137339276 A
2017-06-19T00:00:00-06:00,352.5611252784729 A
2017-06-20T00:00:00-06:00,385.7863564491272 A
2017-06-21T00:00:00-06:00,366.4924090703328 A
2017-06-22T00:00:00-06:00,337.0322194099426 A
2017-06-23T00:00:00-06:00,340.10600630442303 A
2017-06-24T00:00:00-06:00,322.62938261032104 A
2017-06-25T00:00:00-06:00,329.2818334897359 A
2017-06-26T00:00:00-06:00,363.14560588200885 A
2017-06-27T00:00:00-06:00,343.78351402282715 A
2017-06-28T00:00:00-06:00,337.8503335316976 A
2017-06-29T00:00:00-06:00,340.2404266993205 A
2017-06-30T00:00:00-06:00,329.0239809354146 A
2017-07-01T00:00:00-06:00,318.5912586847941 A
2017-07-02T00:00:00-06:00,318.658300558726 A
2017-07-03T00:00:00-06:00,346.710440158844 A
2017-07-04T00:00:00-06:00,337.9094440142314 A
2017-07-05T00:00:00-06:00,352.3473804791768 A
2017-07-06T00:00:00-06:00,350.0676655769348 A
2017-07-07T00:00:00-06:00,352.40139452616376 A
2017-07-08T00:00:00-06:00,345.39888159434 A
2017-07-09T00:00:00-06:00,343.6700448989868 A
2017-07-10T00:00:00-06:00,336.0658755302429 A
2017-07-11T00:00:00-06:00,335.52938906351727 A
2017-07-12T00:00:00-06:00,335.8625515302022 A
2017-07-13T00:00:00-06:00,352.00870148340863 A
2017-07-14T00:00:00-06:00,342.05492544174194 A
2017-07-15T00:00:00-06:00,289.89175661404926 A
2017-07-16T00:00:00-06:00,284.26106357574463 A
2017-07-17T00:00:00-06:00,328.70454454421997 A
2017-07-18T00:00:00-06:00,353.83330631256104 A
2017-07-19T00:00:00-06:00,338.4230456352234 A
2017-07-20T00:00:00-06:00,316.91631094614667 A
2017-07-21T00:00:00-06:00,334.1423964500427 A
2017-07-22T00:00:00-06:00,316.93836784362793 A
2017-07-23T00:00:00-06:00,314.08662700653076 A
2017-07-24T00:00:00-06:00,312.5054529507955 A
2017-07-25T00:00:00-06:00,308.7232565879822 A
2017-07-26T00:00:00-06:00,326.8305878639221 A
2017-07-27T00:00:00-06:00,327.4539300600688 A
2017-07-28T00:00:00-06:00,327.120099067688 A
2017-07-29T00:00:00-06:00,311.55545393625897 A
2017-07-30T00:00:00-06:00,315.7423761685689 A
2017-07-31T00:00:00-06:00,348.5367348988851 A
2017-08-01T00:00:00-06:00,331.19021288553876 A
2017-08-02T00:00:00-06:00,365.30825694402057 A
2017-08-03T00:00:00-06:00,369.76948674519855 A
2017-08-04T00:00:00-06:00,350.85962350027904 A
2017-08-05T00:00:00-06:00,328.0258255004883 A
2017-08-06T00:00:00-06:00,317.6085189183553 A
2017-08-07T00:00:00-06:00,339.4438150723775 A
2017-08-08T00:00:00-06:00,338.7736345926921 A
2017-08-09T00:00:00-06:00,346.3193416595459 A
2017-08-10T00:00:00-06:00,336.84523529702045 A
2017-08-11T00:00:00-06:00,357.38720879805715 A
2017-08-12T00:00:00-06:00,344.40763092041016 A
2017-08-13T00:00:00-06:00,315.7203583717346 A
2017-08-14T00:00:00-06:00,341.46514256795246 A
2017-08-15T00:00:00-06:00,351.5182180404663 A
2017-08-16T00:00:00-06:00,355.50423367818195 A
2017-08-17T00:00:00-06:00,357.80516815185547 A
2017-08-18T00:00:00-06:00,376.0325280825297 A
2017-08-19T00:00:00-06:00,346.35999234517413 A
2017-08-20T00:00:00-06:00,348.4596862792969 A
2017-08-21T00:00:00-06:00,367.6984402338664 A
2017-08-22T00:00:00-06:00,380.28894233703613 A
2017-08-23T00:00:00-06:00,375.05699793497723 A
2017-08-24T00:00:00-06:00,377.83614921569824 A
2017-08-25T00:00:00-06:00,389.6247797012329 A
2017-08-26T00:00:00-06:00,365.82000160217285 A
2017-08-27T00:00:00-06:00,354.33236662546796 A
2017-08-28T00:00:00-06:00,401.0330331221871 A
2017-08-29T00:00:00-06:00,382.3045060352613 A
2017-08-30T00:00:00-06:00,369.89907185236615 A
2017-08-31T00:00:00-06:00,377.8423563639323 A
2017-09-01T00:00:00-06:00,367.0794932047526 A
2017-09-02T00:00:00-06:00,325.2378659248352 A
2017-09-03T00:00:00-06:00,312.9498111406962 A
2017-09-04T00:00:00-06:00,336.9603435198466 A
2017-09-05T00:00:00-06:00,380.3544742266337 A
2017-09-06T00:00:00-06:00,382.39821608861286 A
2017-09-07T00:00:00-06:00,411.4047686258952 A
2017-09-08T00:00:00-06:00,413.43172341204706 A
2017-09-09T00:00:00-06:00,374.6504551569621 A
2017-09-10T00:00:00-06:00,329.87985944747925 A
2017-09-11T00:00:00-06:00,413.42777188618976 A
2017-09-12T00:00:00-06:00,427.8954792022705 A
2017-09-13T00:00:00-06:00,417.7459405263265 A
2017-09-14T00:00:00-06:00,410.35640048980713 A
2017-09-15T00:00:00-06:00,387.2501900990804 A
2017-09-16T00:00:00-06:00,390.1790723800659 A
2017-09-17T00:00:00-06:00,310.21388181050617 A
2017-09-18T00:00:00-06:00,400.17100111643475 A
2017-09-19T00:00:00-06:00,395.5181887944539 A
2017-09-20T00:00:00-06:00,406.9702501296997 A
2017-09-21T00:00:00-06:00,398.3794485727946 A
2017-09-22T00:00:00-06:00,414.1167523066203 A
2017-09-23T00:00:00-06:00,397.8538106282552 A
2017-09-24T00:00:00-06:00,310.0362008412679 A
2017-09-25T00:00:00-06:00,388.13132667541504 A
2017-09-26T00:00:00-06:00,371.70950984954834 A
2017-09-27T00:00:00-06:00,388.1606782277425 A
2017-09-28T00:00:00-06:00,412.5737199783325 A
2017-09-29T00:00:00-06:00,404.3788131078084 A
2017-09-30T00:00:00-06:00,397.5242576599121 A
2017-10-01T00:00:00-06:00,302.9395405451457 A
2017-10-02T00:00:00-06:00,315.80485010147095 A
2017-10-03T00:00:00-06:00,335.16288471221924 A
2017-10-04T00:00:00-06:00,362.7191352844238 A
2017-10-05T00:00:00-06:00,340.16522614161175 A
2017-10-06T00:00:00-06:00,343.7989403406779 A
2017-10-07T00:00:00-06:00,307.99103514353436 A
2017-10-08T00:00:00-06:00,295.39896122614545 A
2017-10-09T00:00:00-06:00,279.06179904937744 A
2017-10-10T00:00:00-06:00,309.62600628534955 A
2017-10-11T00:00:00-06:00,311.7211232185364 A
2017-10-12T00:00:00-06:00,264.9871384302775 A
2017-10-13T00:00:00-06:00,293.8550407091777 A
2017-10-14T00:00:00-06:00,307.89711173375446 A
2017-10-15T00:00:00-06:00,236.78299395243326 A
2017-10-16T00:00:00-06:00,341.55918979644775 A
2017-10-17T00:00:00-06:00,340.8038657506307 A
2017-10-18T00:00:00-06:00,332.8956289291382 A
2017-10-19T00:00:00-06:00,345.3991003036499 A
2017-10-20T00:00:00-06:00,310.3603267669678 A
2017-10-21T00:00:00-06:00,273.4992423057556 A
2017-10-22T00:00:00-06:00,240.29922803243002 A
2017-10-23T00:00:00-06:00,317.23178068796796 A
2017-10-24T00:00:00-06:00,292.9920916557312 A
2017-10-25T00:00:00-06:00,334.42406129837036 A
2017-10-26T00:00:00-06:00,311.6663392384847 A
2017-10-27T00:00:00-06:00,316.96129608154297 A
2017-10-28T00:00:00-06:00,311.39390818277997 A
2017-10-29T00:00:00-06:00,265.1515860557556 A
2017-10-30T00:00:00-06:00,327.829350789388 A
2017-10-31T00:00:00-06:00,291.1144898732503 A
2017-11-01T00:00:00-06:00,347.96602964401245 A
2017-11-02T00:00:00-06:00,341.85267464319867 A
2017-11-03T00:00:00-06:00,349.3798885345459 A
2017-11-04T00:00:00-06:00,340.40177234013873 A
2017-11-05T00:00:00-06:00,228.28557373046874 A
2017-11-06T00:00:00-07:00,293.85876146952313 A
2017-11-07T00:00:00-07:00,310.9627703030904 A
2017-11-08T00:00:00-07:00,310.2852029800415 A
2017-11-09T00:00:00-07:00,291.871639251709 A
2017-11-10T00:00:00-07:00,269.6154424349467 A
2017-11-11T00:00:00-07:00,230.43601497014365 A
2017-11-12T00:00:00-07:00,258.9812873204549 A
2017-11-13T00:00:00-07:00,272.7717480659485 A
2017-11-14T00:00:00-07:00,275.1229658126831 A
2017-11-15T00:00:00-07:00,282.67496490478516 A
2017-11-16T00:00:00-07:00,334.6442964871724 A
2017-11-17T00:00:00-07:00,285.96938435236615 A
2017-11-18T00:00:00-07:00,284.9675397872925 A
2017-11-19T00:00:00-07:00,281.90282853444415 A
2017-11-20T00:00:00-07:00,293.052286307017 A
2017-11-21T00:00:00-07:00,305.8888266881307 A
2017-11-22T00:00:00-07:00,314.5030032793681 A
2017-11-23T00:00:00-07:00,232.36120335261026 A
2017-11-24T00:00:00-07:00,310.26536560058594 A
2017-11-25T00:00:00-07:00,294.8259409268697 A
2017-11-26T00:00:00-07:00,266.87197128931683 A
