Timestamp,"['203a26eb-096a527c 0066-SIMMONS PIONEER MEMORIAL THEATRE Power Meter W-hours, Received']"
2017-02-17T00:00:00-07:00,1317.87109375 kWh
2017-02-18T00:00:00-07:00,2803.65234375 kWh
2017-02-19T00:00:00-07:00,2052.45703125 kWh
2017-02-20T00:00:00-07:00,2387.78125 kWh
2017-02-21T00:00:00-07:00,2650.76953125 kWh
2017-02-22T00:00:00-07:00,2534.87109375 kWh
2017-02-23T00:00:00-07:00,2502.8984375 kWh
2017-02-24T00:00:00-07:00,2515.140625 kWh
2017-02-25T00:00:00-07:00,2413.5703125 kWh
2017-02-26T00:00:00-07:00,2089.26171875 kWh
2017-02-27T00:00:00-07:00,2386.46875 kWh
2017-02-28T00:00:00-07:00,2439.9375 kWh
2017-03-01T00:00:00-07:00,2427.765625 kWh
2017-03-02T00:00:00-07:00,2508.8984375 kWh
2017-03-03T00:00:00-07:00,2562.21875 kWh
2017-03-04T00:00:00-07:00,2279.78125 kWh
2017-03-05T00:00:00-07:00,2083.0546875 kWh
2017-03-06T00:00:00-07:00,2429.4296875 kWh
2017-03-07T00:00:00-07:00,2484.2421875 kWh
2017-03-08T00:00:00-07:00,2538.9140625 kWh
2017-03-09T00:00:00-07:00,2769.5546875 kWh
2017-03-10T00:00:00-07:00,2735.53125 kWh
2017-03-11T00:00:00-07:00,2393.25 kWh
2017-03-12T00:00:00-07:00,1890.7421875 kWh
2017-03-13T00:00:00-06:00,2323.53125 kWh
2017-03-14T00:00:00-06:00,2433.7265625 kWh
2017-03-15T00:00:00-06:00,2464.34375 kWh
2017-03-16T00:00:00-06:00,2641.0078125 kWh
2017-03-17T00:00:00-06:00,3043.25 kWh
2017-03-18T00:00:00-06:00,2900.859375 kWh
2017-03-19T00:00:00-06:00,2477.8984375 kWh
2017-03-20T00:00:00-06:00,3274.7734375 kWh
2017-03-21T00:00:00-06:00,3410.0390625 kWh
2017-03-22T00:00:00-06:00,3181.078125 kWh
2017-03-23T00:00:00-06:00,2829.015625 kWh
2017-03-24T00:00:00-06:00,2957.25 kWh
2017-03-25T00:00:00-06:00,2676.140625 kWh
2017-03-26T00:00:00-06:00,2028.296875 kWh
2017-03-27T00:00:00-06:00,2777.40625 kWh
2017-03-28T00:00:00-06:00,2913.96875 kWh
2017-03-29T00:00:00-06:00,4418.21875 kWh
2017-03-30T00:00:00-06:00,1693.78125 kWh
2017-03-31T00:00:00-06:00,2948.984375 kWh
2017-04-01T00:00:00-06:00,3174.75 kWh
2017-04-02T00:00:00-06:00,2096.1875 kWh
2017-04-03T00:00:00-06:00,2978.171875 kWh
2017-04-04T00:00:00-06:00,2735.453125 kWh
2017-04-05T00:00:00-06:00,3149.21875 kWh
2017-04-06T00:00:00-06:00,3251.953125 kWh
2017-04-07T00:00:00-06:00,3203.71875 kWh
2017-04-08T00:00:00-06:00,2754.671875 kWh
2017-04-09T00:00:00-06:00,2140.78125 kWh
2017-04-10T00:00:00-06:00,2817.71875 kWh
2017-04-11T00:00:00-06:00,2770.25 kWh
2017-04-12T00:00:00-06:00,2958.484375 kWh
2017-04-13T00:00:00-06:00,3127.625 kWh
2017-04-14T00:00:00-06:00,3012.234375 kWh
2017-04-15T00:00:00-06:00,2529.703125 kWh
2017-04-16T00:00:00-06:00,2435.203125 kWh
2017-04-17T00:00:00-06:00,2981.25 kWh
2017-04-18T00:00:00-06:00,2897.390625 kWh
2017-04-19T00:00:00-06:00,2876.453125 kWh
2017-04-20T00:00:00-06:00,2860.875 kWh
2017-04-21T00:00:00-06:00,2691.453125 kWh
2017-04-22T00:00:00-06:00,2772.765625 kWh
2017-04-23T00:00:00-06:00,2628.75 kWh
2017-04-24T00:00:00-06:00,2778.28125 kWh
2017-04-25T00:00:00-06:00,2790.046875 kWh
2017-04-26T00:00:00-06:00,2958.421875 kWh
2017-04-27T00:00:00-06:00,3006.890625 kWh
2017-04-28T00:00:00-06:00,3068.703125 kWh
2017-04-29T00:00:00-06:00,3216 kWh
2017-04-30T00:00:00-06:00,2636.875 kWh
2017-05-01T00:00:00-06:00,3246.421875 kWh
2017-05-02T00:00:00-06:00,3372.109375 kWh
2017-05-03T00:00:00-06:00,3444.34375 kWh
2017-05-04T00:00:00-06:00,3448.28125 kWh
2017-05-05T00:00:00-06:00,3406.421875 kWh
2017-05-06T00:00:00-06:00,3132.359375 kWh
2017-05-07T00:00:00-06:00,2292.734375 kWh
2017-05-08T00:00:00-06:00,2989.609375 kWh
2017-05-09T00:00:00-06:00,3049.65625 kWh
2017-05-10T00:00:00-06:00,3212 kWh
2017-05-11T00:00:00-06:00,3092.8125 kWh
2017-05-12T00:00:00-06:00,3212.8125 kWh
2017-05-13T00:00:00-06:00,2813.5625 kWh
2017-05-14T00:00:00-06:00,2188.4375 kWh
2017-05-15T00:00:00-06:00,3024.90625 kWh
2017-05-16T00:00:00-06:00,2792.84375 kWh
2017-05-17T00:00:00-06:00,2691.0625 kWh
2017-05-18T00:00:00-06:00,2537.875 kWh
2017-05-19T00:00:00-06:00,2650.15625 kWh
2017-05-20T00:00:00-06:00,2918.125 kWh
2017-05-21T00:00:00-06:00,2364.90625 kWh
2017-05-22T00:00:00-06:00,2761.40625 kWh
2017-05-23T00:00:00-06:00,2697.8125 kWh
2017-05-24T00:00:00-06:00,2656.875 kWh
2017-05-25T00:00:00-06:00,2486.1875 kWh
2017-05-26T00:00:00-06:00,2275.125 kWh
2017-05-27T00:00:00-06:00,2111.46875 kWh
2017-05-28T00:00:00-06:00,2236.21875 kWh
2017-05-29T00:00:00-06:00,2260.625 kWh
2017-05-30T00:00:00-06:00,2603.09375 kWh
2017-05-31T00:00:00-06:00,2730.65625 kWh
2017-06-01T00:00:00-06:00,2644.25 kWh
2017-06-02T00:00:00-06:00,2587.21875 kWh
2017-06-03T00:00:00-06:00,2342.09375 kWh
2017-06-04T00:00:00-06:00,2455.90625 kWh
2017-06-05T00:00:00-06:00,2678.78125 kWh
2017-06-06T00:00:00-06:00,2679.46875 kWh
2017-06-07T00:00:00-06:00,2744.46875 kWh
2017-06-08T00:00:00-06:00,2663.625 kWh
2017-06-09T00:00:00-06:00,2548.5625 kWh
2017-06-10T00:00:00-06:00,2211.40625 kWh
2017-06-11T00:00:00-06:00,2310.1875 kWh
2017-06-12T00:00:00-06:00,2350.90625 kWh
2017-06-13T00:00:00-06:00,2205.96875 kWh
2017-06-14T00:00:00-06:00,2514.75 kWh
2017-06-15T00:00:00-06:00,2713.46875 kWh
2017-06-16T00:00:00-06:00,2991.25 kWh
2017-06-17T00:00:00-06:00,2636.6875 kWh
2017-06-18T00:00:00-06:00,2371.65625 kWh
2017-06-19T00:00:00-06:00,2724.65625 kWh
2017-06-20T00:00:00-06:00,3085.40625 kWh
2017-06-21T00:00:00-06:00,3000.125 kWh
2017-06-22T00:00:00-06:00,2736 kWh
2017-06-23T00:00:00-06:00,2696.03125 kWh
2017-06-24T00:00:00-06:00,2502.28125 kWh
2017-06-25T00:00:00-06:00,2535.3125 kWh
2017-06-26T00:00:00-06:00,2897.25 kWh
2017-06-27T00:00:00-06:00,2770.5 kWh
2017-06-28T00:00:00-06:00,2719.375 kWh
2017-06-29T00:00:00-06:00,2737.4375 kWh
2017-06-30T00:00:00-06:00,2678.875 kWh
2017-07-01T00:00:00-06:00,2524.875 kWh
2017-07-02T00:00:00-06:00,2531.46875 kWh
2017-07-03T00:00:00-06:00,2778.9375 kWh
2017-07-04T00:00:00-06:00,2655.46875 kWh
2017-07-05T00:00:00-06:00,2843.03125 kWh
2017-07-06T00:00:00-06:00,2791.09375 kWh
2017-07-07T00:00:00-06:00,2810.90625 kWh
2017-07-08T00:00:00-06:00,2671.96875 kWh
2017-07-09T00:00:00-06:00,2636.46875 kWh
2017-07-10T00:00:00-06:00,2732.53125 kWh
2017-07-11T00:00:00-06:00,2702.6875 kWh
2017-07-12T00:00:00-06:00,2722.40625 kWh
2017-07-13T00:00:00-06:00,2882.6875 kWh
2017-07-14T00:00:00-06:00,2838.1875 kWh
2017-07-15T00:00:00-06:00,2410.96875 kWh
2017-07-16T00:00:00-06:00,2303.6875 kWh
2017-07-17T00:00:00-06:00,2769.3125 kWh
2017-07-18T00:00:00-06:00,2953.4375 kWh
2017-07-19T00:00:00-06:00,2804.8125 kWh
2017-07-20T00:00:00-06:00,2690.28125 kWh
2017-07-21T00:00:00-06:00,2807.375 kWh
2017-07-22T00:00:00-06:00,2585.46875 kWh
2017-07-23T00:00:00-06:00,2586.09375 kWh
2017-07-24T00:00:00-06:00,2605.875 kWh
2017-07-25T00:00:00-06:00,2580.6875 kWh
2017-07-26T00:00:00-06:00,2794.09375 kWh
2017-07-27T00:00:00-06:00,2773.125 kWh
2017-07-28T00:00:00-06:00,2700.9375 kWh
2017-07-29T00:00:00-06:00,2529.53125 kWh
2017-07-30T00:00:00-06:00,2490.90625 kWh
2017-07-31T00:00:00-06:00,2812.15625 kWh
2017-08-01T00:00:00-06:00,2789.40625 kWh
2017-08-02T00:00:00-06:00,3098.25 kWh
2017-08-03T00:00:00-06:00,3094.78125 kWh
2017-08-04T00:00:00-06:00,2982.46875 kWh
2017-08-05T00:00:00-06:00,2655.09375 kWh
2017-08-06T00:00:00-06:00,2532.5 kWh
2017-08-07T00:00:00-06:00,2867.28125 kWh
2017-08-08T00:00:00-06:00,2909.84375 kWh
2017-08-09T00:00:00-06:00,2972.9375 kWh
2017-08-10T00:00:00-06:00,2812.96875 kWh
2017-08-11T00:00:00-06:00,3087.78125 kWh
2017-08-12T00:00:00-06:00,2851.28125 kWh
2017-08-13T00:00:00-06:00,2598.9375 kWh
2017-08-14T00:00:00-06:00,2844.5625 kWh
2017-08-15T00:00:00-06:00,2884.25 kWh
2017-08-16T00:00:00-06:00,2962.9375 kWh
2017-08-17T00:00:00-06:00,2986.5625 kWh
2017-08-18T00:00:00-06:00,3141.8125 kWh
2017-08-19T00:00:00-06:00,2827.375 kWh
2017-08-20T00:00:00-06:00,2922.875 kWh
2017-08-21T00:00:00-06:00,3051.875 kWh
2017-08-22T00:00:00-06:00,3177.6875 kWh
2017-08-23T00:00:00-06:00,3100.75 kWh
2017-08-24T00:00:00-06:00,3159.625 kWh
2017-08-25T00:00:00-06:00,3174.125 kWh
2017-08-26T00:00:00-06:00,2960.375 kWh
2017-08-27T00:00:00-06:00,2905.125 kWh
2017-08-28T00:00:00-06:00,3365.25 kWh
2017-08-29T00:00:00-06:00,3135.6875 kWh
2017-08-30T00:00:00-06:00,3057.5625 kWh
2017-08-31T00:00:00-06:00,3096.0625 kWh
2017-09-01T00:00:00-06:00,3001 kWh
2017-09-02T00:00:00-06:00,2683.3125 kWh
2017-09-03T00:00:00-06:00,2516.1875 kWh
2017-09-04T00:00:00-06:00,2759.9375 kWh
2017-09-05T00:00:00-06:00,3178.5625 kWh
2017-09-06T00:00:00-06:00,3179.5625 kWh
2017-09-07T00:00:00-06:00,3458.4375 kWh
2017-09-08T00:00:00-06:00,3479.8125 kWh
2017-09-09T00:00:00-06:00,3140.625 kWh
2017-09-10T00:00:00-06:00,2770.3125 kWh
2017-09-11T00:00:00-06:00,3522.1875 kWh
2017-09-12T00:00:00-06:00,3661.25 kWh
2017-09-13T00:00:00-06:00,3568.625 kWh
2017-09-14T00:00:00-06:00,3504.5625 kWh
2017-09-15T00:00:00-06:00,3344.0625 kWh
2017-09-16T00:00:00-06:00,3316.25 kWh
2017-09-17T00:00:00-06:00,2555.6875 kWh
2017-09-18T00:00:00-06:00,3363.5625 kWh
2017-09-19T00:00:00-06:00,3355.625 kWh
2017-09-20T00:00:00-06:00,3477.8125 kWh
2017-09-21T00:00:00-06:00,3351.9375 kWh
2017-09-22T00:00:00-06:00,3443.25 kWh
2017-09-23T00:00:00-06:00,3291.5 kWh
2017-09-24T00:00:00-06:00,2387.625 kWh
2017-09-25T00:00:00-06:00,3230.125 kWh
2017-09-26T00:00:00-06:00,3136.6875 kWh
2017-09-27T00:00:00-06:00,3304.6875 kWh
2017-09-28T00:00:00-06:00,3469.0625 kWh
2017-09-29T00:00:00-06:00,3367.375 kWh
2017-09-30T00:00:00-06:00,3379.1875 kWh
2017-10-01T00:00:00-06:00,2446.5625 kWh
2017-10-02T00:00:00-06:00,2652.5 kWh
2017-10-03T00:00:00-06:00,2842.75 kWh
2017-10-04T00:00:00-06:00,3038 kWh
2017-10-05T00:00:00-06:00,2789.5 kWh
2017-10-06T00:00:00-06:00,2886.3125 kWh
2017-10-07T00:00:00-06:00,2476.875 kWh
2017-10-08T00:00:00-06:00,2320.125 kWh
2017-10-09T00:00:00-06:00,2266.0625 kWh
2017-10-10T00:00:00-06:00,2624.125 kWh
2017-10-11T00:00:00-06:00,2692.5 kWh
2017-10-12T00:00:00-06:00,2265 kWh
2017-10-13T00:00:00-06:00,2545.125 kWh
2017-10-14T00:00:00-06:00,2581.625 kWh
2017-10-15T00:00:00-06:00,1887 kWh
2017-10-16T00:00:00-06:00,2951.875 kWh
2017-10-17T00:00:00-06:00,2959 kWh
2017-10-18T00:00:00-06:00,2923.5625 kWh
2017-10-19T00:00:00-06:00,2979.9375 kWh
2017-10-20T00:00:00-06:00,2695.9375 kWh
2017-10-21T00:00:00-06:00,2307.9375 kWh
2017-10-22T00:00:00-06:00,1909.6875 kWh
2017-10-23T00:00:00-06:00,2719.0625 kWh
2017-10-24T00:00:00-06:00,2567.6875 kWh
2017-10-25T00:00:00-06:00,2821.25 kWh
2017-10-26T00:00:00-06:00,2644.375 kWh
2017-10-27T00:00:00-06:00,2655.625 kWh
2017-10-28T00:00:00-06:00,2594.75 kWh
2017-10-29T00:00:00-06:00,2113.6875 kWh
2017-10-30T00:00:00-06:00,2764.5625 kWh
2017-10-31T00:00:00-06:00,2490.4375 kWh
2017-11-01T00:00:00-06:00,2904.4375 kWh
2017-11-02T00:00:00-06:00,2943.6875 kWh
2017-11-03T00:00:00-06:00,3000 kWh
2017-11-04T00:00:00-06:00,2881.5 kWh
2017-11-05T00:00:00-06:00,1902.1875 kWh
2017-11-06T00:00:00-07:00,2531.625 kWh
2017-11-07T00:00:00-07:00,2643.75 kWh
2017-11-08T00:00:00-07:00,2624.125 kWh
2017-11-09T00:00:00-07:00,2475.4375 kWh
2017-11-10T00:00:00-07:00,2283.9375 kWh
2017-11-11T00:00:00-07:00,1886.9375 kWh
2017-11-12T00:00:00-07:00,2171.125 kWh
2017-11-13T00:00:00-07:00,2279.1875 kWh
2017-11-14T00:00:00-07:00,2366.0625 kWh
2017-11-15T00:00:00-07:00,2414.1875 kWh
2017-11-16T00:00:00-07:00,2857 kWh
2017-11-17T00:00:00-07:00,2385.25 kWh
2017-11-18T00:00:00-07:00,2309.25 kWh
2017-11-19T00:00:00-07:00,2333.5625 kWh
2017-11-20T00:00:00-07:00,2384.375 kWh
2017-11-21T00:00:00-07:00,2595.6875 kWh
2017-11-22T00:00:00-07:00,2693.375 kWh
2017-11-23T00:00:00-07:00,1832.4375 kWh
2017-11-24T00:00:00-07:00,2631.0625 kWh
2017-11-25T00:00:00-07:00,2510.375 kWh
2017-11-26T00:00:00-07:00,2207.375 kWh
2017-11-27T00:00:00-07:00,2841.125 kWh
2017-11-28T00:00:00-07:00,2853.0625 kWh
2017-11-29T00:00:00-07:00,2778.25 kWh
2017-11-30T00:00:00-07:00,2873.0625 kWh
2017-12-01T00:00:00-07:00,2604.5625 kWh
2017-12-02T00:00:00-07:00,2637.875 kWh
2017-12-03T00:00:00-07:00,1728.75 kWh
2017-12-04T00:00:00-07:00,2426.25 kWh
2017-12-05T00:00:00-07:00,2460.4375 kWh
2017-12-06T00:00:00-07:00,2614.875 kWh
2017-12-07T00:00:00-07:00,2440.5625 kWh
2017-12-08T00:00:00-07:00,2428.125 kWh
2017-12-09T00:00:00-07:00,2438.9375 kWh
2017-12-10T00:00:00-07:00,1618.375 kWh
2017-12-11T00:00:00-07:00,2462.5 kWh
2017-12-12T00:00:00-07:00,2370.6875 kWh
2017-12-13T00:00:00-07:00,2622.75 kWh
2017-12-14T00:00:00-07:00,2579.8125 kWh
2017-12-15T00:00:00-07:00,2463.1875 kWh
2017-12-16T00:00:00-07:00,2461 kWh
2017-12-17T00:00:00-07:00,1534.5625 kWh
2017-12-18T00:00:00-07:00,2415.25 kWh
2017-12-19T00:00:00-07:00,2377.25 kWh
2017-12-20T00:00:00-07:00,2616.5625 kWh
2017-12-21T00:00:00-07:00,2233.0625 kWh
2017-12-22T00:00:00-07:00,2209.75 kWh
2017-12-23T00:00:00-07:00,1908.5625 kWh
2017-12-24T00:00:00-07:00,1575.625 kWh
2017-12-25T00:00:00-07:00,1508.875 kWh
2017-12-26T00:00:00-07:00,1570.25 kWh
2017-12-27T00:00:00-07:00,1911.5625 kWh
2017-12-28T00:00:00-07:00,1810.25 kWh
2017-12-29T00:00:00-07:00,1804.625 kWh
2017-12-30T00:00:00-07:00,1651.75 kWh
2017-12-31T00:00:00-07:00,1581.5625 kWh
