Timestamp,['203f267a-7a16e62c 0097-DUMKE GYMNASTICS CNTR Power Meter Current A']
2017-02-21T00:00:00-07:00,59.75103391450027 A
2017-02-22T00:00:00-07:00,51.42056425412496 A
2017-02-23T00:00:00-07:00,55.94231450557709 A
2017-02-24T00:00:00-07:00,51.74383810502064 A
2017-02-25T00:00:00-07:00,45.59643014272054 A
2017-02-26T00:00:00-07:00,45.37628690401713 A
2017-02-27T00:00:00-07:00,52.24308943748474 A
2017-02-28T00:00:00-07:00,56.78086884816488 A
2017-03-01T00:00:00-07:00,54.43520851929983 A
2017-03-02T00:00:00-07:00,56.61257143815359 A
2017-03-03T00:00:00-07:00,48.614278276761375 A
2017-03-04T00:00:00-07:00,58.434096336364746 A
2017-03-05T00:00:00-07:00,45.01895531018575 A
2017-03-06T00:00:00-07:00,56.936668594678245 A
2017-03-07T00:00:00-07:00,53.06041123469671 A
2017-03-08T00:00:00-07:00,39.36638389031092 A
2017-03-09T00:00:00-07:00,46.52268028259277 A
2017-03-10T00:00:00-07:00,43.40696463982264 A
2017-03-11T00:00:00-07:00,35.03407180309296 A
2017-03-12T00:00:00-07:00,38.78870097450588 A
2017-03-13T00:00:00-06:00,46.3764251669248 A
2017-03-14T00:00:00-06:00,51.682690819104515 A
2017-03-15T00:00:00-06:00,62.47057036558787 A
2017-03-16T00:00:00-06:00,52.7579478820165 A
2017-03-17T00:00:00-06:00,53.36617944637934 A
2017-03-18T00:00:00-06:00,56.76432949304581 A
2017-03-19T00:00:00-06:00,46.12819147109985 A
2017-03-20T00:00:00-06:00,59.92646553119024 A
2017-03-21T00:00:00-06:00,58.75309417645136 A
2017-03-22T00:00:00-06:00,53.61001646518707 A
2017-03-23T00:00:00-06:00,50.284012814362846 A
2017-03-24T00:00:00-06:00,49.1284290154775 A
2017-03-25T00:00:00-06:00,40.62881541252136 A
2017-03-26T00:00:00-06:00,43.44468438625336 A
2017-03-27T00:00:00-06:00,54.443959752718605 A
2017-03-28T00:00:00-06:00,55.17333706219991 A
2017-03-29T00:00:00-06:00,53.49474159876505 A
2017-03-30T00:00:00-06:00,49.53152101690119 A
2017-03-31T00:00:00-06:00,45.51274355252584 A
2017-04-01T00:00:00-06:00,48.30458847681681 A
2017-04-02T00:00:00-06:00,42.35252710183462 A
2017-04-03T00:00:00-06:00,49.31109078725179 A
2017-04-04T00:00:00-06:00,50.90503549575806 A
2017-04-05T00:00:00-06:00,45.856957137584686 A
2017-04-06T00:00:00-06:00,57.543784419695534 A
2017-04-07T00:00:00-06:00,54.18787254889806 A
2017-04-08T00:00:00-06:00,37.75540608167648 A
2017-04-09T00:00:00-06:00,38.31671436627706 A
2017-04-10T00:00:00-06:00,49.527011255423226 A
2017-04-11T00:00:00-06:00,51.5929571390152 A
2017-04-12T00:00:00-06:00,52.53830619653066 A
2017-04-13T00:00:00-06:00,53.09751339753469 A
2017-04-14T00:00:00-06:00,41.31586549679438 A
2017-04-15T00:00:00-06:00,40.07522904872894 A
2017-04-16T00:00:00-06:00,44.81215896209081 A
2017-04-17T00:00:00-06:00,51.74179389079412 A
2017-04-18T00:00:00-06:00,47.839367826779686 A
2017-04-19T00:00:00-06:00,46.933477322260536 A
2017-04-20T00:00:00-06:00,44.14937245845795 A
2017-04-21T00:00:00-06:00,42.944168388843536 A
2017-04-22T00:00:00-06:00,44.31369870901108 A
2017-04-23T00:00:00-06:00,48.44850671291351 A
2017-04-24T00:00:00-06:00,43.386880000432335 A
2017-04-25T00:00:00-06:00,43.49409278233846 A
2017-04-26T00:00:00-06:00,42.499183317025505 A
2017-04-27T00:00:00-06:00,39.51148897409439 A
2017-04-28T00:00:00-06:00,40.02148938179016 A
2017-04-29T00:00:00-06:00,40.6660393277804 A
2017-04-30T00:00:00-06:00,44.726073821385704 A
2017-05-01T00:00:00-06:00,49.12849293152491 A
2017-05-02T00:00:00-06:00,45.559219578901924 A
2017-05-03T00:00:00-06:00,47.77748910586039 A
2017-05-04T00:00:00-06:00,49.616234600543976 A
2017-05-05T00:00:00-06:00,53.552039881547294 A
2017-05-06T00:00:00-06:00,51.876091281572975 A
2017-05-07T00:00:00-06:00,51.611074129740395 A
2017-05-08T00:00:00-06:00,50.93266441424688 A
2017-05-09T00:00:00-06:00,51.58026671409607 A
2017-05-10T00:00:00-06:00,50.43714108069738 A
2017-05-11T00:00:00-06:00,54.194961647192635 A
2017-05-12T00:00:00-06:00,56.46278621753057 A
2017-05-13T00:00:00-06:00,39.578476667404175 A
2017-05-14T00:00:00-06:00,43.39405709505081 A
2017-05-15T00:00:00-06:00,47.927418847878776 A
2017-05-16T00:00:00-06:00,52.263162076473236 A
2017-05-17T00:00:00-06:00,39.657585978507996 A
2017-05-18T00:00:00-06:00,46.188709576924644 A
2017-05-19T00:00:00-06:00,52.13360114892324 A
2017-05-20T00:00:00-06:00,45.46196746826172 A
2017-05-21T00:00:00-06:00,44.51171153783798 A
2017-05-22T00:00:00-06:00,54.20454239845276 A
2017-05-23T00:00:00-06:00,58.785357654094696 A
2017-05-24T00:00:00-06:00,54.75726576646169 A
2017-05-25T00:00:00-06:00,52.18276888132095 A
2017-05-26T00:00:00-06:00,49.39857312043508 A
2017-05-27T00:00:00-06:00,43.75632765920539 A
2017-05-28T00:00:00-06:00,48.83917884031931 A
2017-05-29T00:00:00-06:00,52.08412857850393 A
2017-05-30T00:00:00-06:00,63.26957486073176 A
2017-05-31T00:00:00-06:00,60.08308490117391 A
2017-06-01T00:00:00-06:00,59.94613250096639 A
2017-06-02T00:00:00-06:00,56.99372504154841 A
2017-06-03T00:00:00-06:00,53.10491432746252 A
2017-06-04T00:00:00-06:00,58.135108947753906 A
2017-06-05T00:00:00-06:00,59.09222682317098 A
2017-06-06T00:00:00-06:00,64.31605227788289 A
2017-06-07T00:00:00-06:00,71.03807731469472 A
2017-06-08T00:00:00-06:00,64.12337263425191 A
2017-06-09T00:00:00-06:00,59.6005131204923 A
2017-06-10T00:00:00-06:00,47.503664553165436 A
2017-06-11T00:00:00-06:00,52.48523463805517 A
2017-06-12T00:00:00-06:00,49.50672463575999 A
2017-06-13T00:00:00-06:00,47.19941693544388 A
2017-06-14T00:00:00-06:00,61.05617521206538 A
2017-06-15T00:00:00-06:00,72.00775452454884 A
2017-06-16T00:00:00-06:00,71.43573971589406 A
2017-06-17T00:00:00-06:00,57.81831236680349 A
2017-06-18T00:00:00-06:00,47.642943024635315 A
2017-06-19T00:00:00-06:00,62.51404549678167 A
2017-06-20T00:00:00-06:00,68.89945125579834 A
2017-06-21T00:00:00-06:00,67.70280261834462 A
2017-06-22T00:00:00-06:00,68.09339761734009 A
2017-06-23T00:00:00-06:00,54.57622158527374 A
2017-06-24T00:00:00-06:00,50.38767476876577 A
2017-06-25T00:00:00-06:00,56.221321165561676 A
2017-06-26T00:00:00-06:00,70.33974810441335 A
2017-06-27T00:00:00-06:00,64.13436265786488 A
2017-06-28T00:00:00-06:00,57.514488299687706 A
2017-06-29T00:00:00-06:00,55.87577964862188 A
2017-06-30T00:00:00-06:00,57.946848034858704 A
2017-07-01T00:00:00-06:00,52.581536293029785 A
2017-07-02T00:00:00-06:00,60.112959583600365 A
2017-07-03T00:00:00-06:00,74.8753087123235 A
2017-07-04T00:00:00-06:00,66.54355200131734 A
2017-07-05T00:00:00-06:00,78.98953000704448 A
2017-07-06T00:00:00-06:00,78.92332526048024 A
2017-07-07T00:00:00-06:00,77.31027750174205 A
2017-07-08T00:00:00-06:00,69.40767534573872 A
2017-07-09T00:00:00-06:00,64.02883120377858 A
2017-07-10T00:00:00-06:00,70.38248642285664 A
