Timestamp,['203f2680-5ae39b8e 0097-DUMKE GYMNASTICS CNTR Power Meter Current B']
2017-02-21T00:00:00-07:00,53.77771726147882 A
2017-02-22T00:00:00-07:00,46.391489704449974 A
2017-02-23T00:00:00-07:00,51.26230857769648 A
2017-02-24T00:00:00-07:00,45.14629962776281 A
2017-02-25T00:00:00-07:00,42.18220273653666 A
2017-02-26T00:00:00-07:00,41.914851784706116 A
2017-02-27T00:00:00-07:00,47.043733517328896 A
2017-02-28T00:00:00-07:00,49.18807045618693 A
2017-03-01T00:00:00-07:00,46.23821496963501 A
2017-03-02T00:00:00-07:00,51.07154687245687 A
2017-03-03T00:00:00-07:00,44.82980990409851 A
2017-03-04T00:00:00-07:00,55.76070924599966 A
2017-03-05T00:00:00-07:00,43.578434348106384 A
2017-03-06T00:00:00-07:00,46.95634865760803 A
2017-03-07T00:00:00-07:00,48.36968994140625 A
2017-03-08T00:00:00-07:00,40.825994074344635 A
2017-03-09T00:00:00-07:00,46.519831478595734 A
2017-03-10T00:00:00-07:00,45.424688160419464 A
2017-03-11T00:00:00-07:00,37.30527742703756 A
2017-03-12T00:00:00-07:00,41.08355969968049 A
2017-03-13T00:00:00-06:00,48.88836473226547 A
2017-03-14T00:00:00-06:00,53.71186137199402 A
2017-03-15T00:00:00-06:00,66.03914070129395 A
2017-03-16T00:00:00-06:00,57.91389123598734 A
2017-03-17T00:00:00-06:00,59.955549796422325 A
2017-03-18T00:00:00-06:00,64.51390957832336 A
2017-03-19T00:00:00-06:00,52.5342141588529 A
2017-03-20T00:00:00-06:00,64.07406898339589 A
2017-03-21T00:00:00-06:00,62.940989057223 A
2017-03-22T00:00:00-06:00,57.674496372540794 A
2017-03-23T00:00:00-06:00,49.815794706344604 A
2017-03-24T00:00:00-06:00,52.16552905241648 A
2017-03-25T00:00:00-06:00,43.27953437964121 A
2017-03-26T00:00:00-06:00,46.0611897110939 A
2017-03-27T00:00:00-06:00,52.80129484335581 A
2017-03-28T00:00:00-06:00,54.07058560848236 A
2017-03-29T00:00:00-06:00,55.16083733240763 A
2017-03-30T00:00:00-06:00,50.79630912433971 A
2017-03-31T00:00:00-06:00,47.957103888193764 A
2017-04-01T00:00:00-06:00,52.510093887646995 A
2017-04-02T00:00:00-06:00,44.86674032608668 A
2017-04-03T00:00:00-06:00,51.03991301854452 A
2017-04-04T00:00:00-06:00,52.0595174630483 A
2017-04-05T00:00:00-06:00,49.635437965393066 A
2017-04-06T00:00:00-06:00,61.40296059846878 A
2017-04-07T00:00:00-06:00,57.743175665537514 A
2017-04-08T00:00:00-06:00,41.67787222067515 A
2017-04-09T00:00:00-06:00,42.56654649972916 A
2017-04-10T00:00:00-06:00,53.567543029785156 A
2017-04-11T00:00:00-06:00,55.13360075155894 A
2017-04-12T00:00:00-06:00,56.24383461475372 A
2017-04-13T00:00:00-06:00,55.54689311981201 A
2017-04-14T00:00:00-06:00,45.86463793118795 A
2017-04-15T00:00:00-06:00,44.998565355936684 A
2017-04-16T00:00:00-06:00,48.551419138908386 A
2017-04-17T00:00:00-06:00,57.17305187384287 A
2017-04-18T00:00:00-06:00,51.43944489955902 A
2017-04-19T00:00:00-06:00,50.98692059516907 A
2017-04-20T00:00:00-06:00,47.921716928482056 A
2017-04-21T00:00:00-06:00,47.10813947518667 A
2017-04-22T00:00:00-06:00,50.18900386492411 A
2017-04-23T00:00:00-06:00,54.57046914100647 A
2017-04-24T00:00:00-06:00,46.251214702924095 A
2017-04-25T00:00:00-06:00,45.979060689608254 A
2017-04-26T00:00:00-06:00,46.85139717658361 A
2017-04-27T00:00:00-06:00,43.24037077029546 A
2017-04-28T00:00:00-06:00,43.876297096411385 A
2017-04-29T00:00:00-06:00,43.77546274662018 A
2017-04-30T00:00:00-06:00,50.74269286791483 A
2017-05-01T00:00:00-06:00,53.52221612135569 A
2017-05-02T00:00:00-06:00,50.86218629280726 A
2017-05-03T00:00:00-06:00,54.029372771581016 A
2017-05-04T00:00:00-06:00,55.69372010231018 A
2017-05-05T00:00:00-06:00,60.942889392375946 A
2017-05-06T00:00:00-06:00,59.08803049723307 A
2017-05-07T00:00:00-06:00,57.90707069635391 A
2017-05-08T00:00:00-06:00,55.994194289048515 A
2017-05-09T00:00:00-06:00,57.60885542631149 A
2017-05-10T00:00:00-06:00,56.71220294634501 A
2017-05-11T00:00:00-06:00,60.94489121437073 A
2017-05-12T00:00:00-06:00,62.270025889078774 A
2017-05-13T00:00:00-06:00,43.859370152155556 A
2017-05-14T00:00:00-06:00,48.39257311820984 A
2017-05-15T00:00:00-06:00,52.946791211764015 A
