Timestamp,['203f2685-978838b8 0097-DUMKE GYMNASTICS CNTR Power Meter Current C']
2017-02-21T00:00:00-07:00,57.81777368742844 A
2017-02-22T00:00:00-07:00,48.643616596857704 A
2017-02-23T00:00:00-07:00,50.35703651110331 A
2017-02-24T00:00:00-07:00,46.00023250338398 A
2017-02-25T00:00:00-07:00,38.73585440715154 A
2017-02-26T00:00:00-07:00,38.487865249315895 A
2017-02-27T00:00:00-07:00,48.12975033124288 A
2017-02-28T00:00:00-07:00,50.846152106920876 A
2017-03-01T00:00:00-07:00,47.55142605304718 A
2017-03-02T00:00:00-07:00,51.47687796751658 A
2017-03-03T00:00:00-07:00,41.715024868647255 A
2017-03-04T00:00:00-07:00,52.55961958567301 A
2017-03-05T00:00:00-07:00,39.69260185956955 A
2017-03-06T00:00:00-07:00,53.37247622013092 A
2017-03-07T00:00:00-07:00,54.912144343058266 A
2017-03-08T00:00:00-07:00,45.81849457820257 A
2017-03-09T00:00:00-07:00,53.94771456718445 A
2017-03-10T00:00:00-07:00,49.466182271639504 A
2017-03-11T00:00:00-07:00,39.94997467597326 A
2017-03-12T00:00:00-07:00,43.291884360106096 A
2017-03-13T00:00:00-06:00,55.331679821014404 A
2017-03-14T00:00:00-06:00,58.45381232102712 A
2017-03-15T00:00:00-06:00,66.74992982546489 A
2017-03-16T00:00:00-06:00,55.894784688949585 A
2017-03-17T00:00:00-06:00,56.14144213994344 A
2017-03-18T00:00:00-06:00,59.21797267595927 A
2017-03-19T00:00:00-06:00,48.622761249542236 A
2017-03-20T00:00:00-06:00,66.65191765626271 A
2017-03-21T00:00:00-06:00,64.70598936080933 A
2017-03-22T00:00:00-06:00,57.898167649904885 A
2017-03-23T00:00:00-06:00,56.53721912701925 A
2017-03-24T00:00:00-06:00,50.91590956846873 A
2017-03-25T00:00:00-06:00,39.70602389176687 A
2017-03-26T00:00:00-06:00,40.870059529940285 A
2017-03-27T00:00:00-06:00,58.24678647518158 A
2017-03-28T00:00:00-06:00,55.67820966243744 A
2017-03-29T00:00:00-06:00,56.15699768066406 A
2017-03-30T00:00:00-06:00,47.39834958856756 A
2017-03-31T00:00:00-06:00,42.347028970718384 A
2017-04-01T00:00:00-06:00,45.60526661078135 A
2017-04-02T00:00:00-06:00,39.599094231923424 A
2017-04-03T00:00:00-06:00,47.61900798479716 A
2017-04-04T00:00:00-06:00,55.03955229123434 A
2017-04-05T00:00:00-06:00,50.35507297515869 A
2017-04-06T00:00:00-06:00,63.5898422797521 A
2017-04-07T00:00:00-06:00,61.535532116889954 A
2017-04-08T00:00:00-06:00,40.86002377669016 A
2017-04-09T00:00:00-06:00,40.348593751589455 A
2017-04-10T00:00:00-06:00,53.79808243115743 A
2017-04-11T00:00:00-06:00,57.40479318300883 A
2017-04-12T00:00:00-06:00,54.411470691363014 A
2017-04-13T00:00:00-06:00,55.42161214351654 A
2017-04-14T00:00:00-06:00,43.16093830267588 A
2017-04-15T00:00:00-06:00,41.12183197339376 A
2017-04-16T00:00:00-06:00,46.33964546521505 A
2017-04-17T00:00:00-06:00,56.58184349536896 A
2017-04-18T00:00:00-06:00,52.124068220456444 A
2017-04-19T00:00:00-06:00,49.64638117949168 A
2017-04-20T00:00:00-06:00,47.76497789223989 A
2017-04-21T00:00:00-06:00,45.70501252015432 A
2017-04-22T00:00:00-06:00,46.33359165986379 A
2017-04-23T00:00:00-06:00,49.887497663497925 A
2017-04-24T00:00:00-06:00,46.352683345476784 A
2017-04-25T00:00:00-06:00,47.53274552027384 A
2017-04-26T00:00:00-06:00,42.98566049337387 A
2017-04-27T00:00:00-06:00,36.678453505039215 A
2017-04-28T00:00:00-06:00,38.170568923155464 A
2017-04-29T00:00:00-06:00,37.46949450174967 A
2017-04-30T00:00:00-06:00,42.950515349706016 A
2017-05-01T00:00:00-06:00,49.64466404914856 A
2017-05-02T00:00:00-06:00,46.40503327051798 A
2017-05-03T00:00:00-06:00,49.809565802415214 A
2017-05-04T00:00:00-06:00,51.33339800437292 A
2017-05-05T00:00:00-06:00,55.99963959058126 A
2017-05-06T00:00:00-06:00,53.137807627518974 A
2017-05-07T00:00:00-06:00,52.7093939781189 A
2017-05-08T00:00:00-06:00,53.72726778189341 A
2017-05-09T00:00:00-06:00,54.96933480103811 A
2017-05-10T00:00:00-06:00,51.90124819676081 A
2017-05-11T00:00:00-06:00,56.08209757010142 A
2017-05-12T00:00:00-06:00,59.66183773676554 A
2017-05-13T00:00:00-06:00,39.28976571559906 A
2017-05-14T00:00:00-06:00,43.67493681112925 A
2017-05-15T00:00:00-06:00,52.12386238574982 A
2017-05-16T00:00:00-06:00,58.259486039479576 A
2017-05-17T00:00:00-06:00,41.40638995170593 A
2017-05-18T00:00:00-06:00,50.06901959578196 A
2017-05-19T00:00:00-06:00,54.84890699386597 A
2017-05-20T00:00:00-06:00,46.281391541163124 A
2017-05-21T00:00:00-06:00,46.32488481203715 A
2017-05-22T00:00:00-06:00,58.93806076049805 A
2017-05-23T00:00:00-06:00,63.78546075026194 A
2017-05-24T00:00:00-06:00,58.13643980026245 A
2017-05-25T00:00:00-06:00,55.96397880713145 A
2017-05-26T00:00:00-06:00,53.56249284744263 A
2017-05-27T00:00:00-06:00,45.17093363310161 A
2017-05-28T00:00:00-06:00,50.4725612004598 A
2017-05-29T00:00:00-06:00,55.040567914644875 A
2017-05-30T00:00:00-06:00,70.43685841560364 A
2017-05-31T00:00:00-06:00,66.37470865249634 A
2017-06-01T00:00:00-06:00,66.04645260175069 A
2017-06-02T00:00:00-06:00,60.656676252683006 A
2017-06-03T00:00:00-06:00,55.84978485107422 A
2017-06-04T00:00:00-06:00,60.64872932434082 A
2017-06-05T00:00:00-06:00,63.84835775693258 A
2017-06-06T00:00:00-06:00,69.30992456277211 A
2017-06-07T00:00:00-06:00,74.60172347227733 A
2017-06-08T00:00:00-06:00,66.91510240236919 A
2017-06-09T00:00:00-06:00,64.26419560114543 A
2017-06-10T00:00:00-06:00,50.34967072804769 A
2017-06-11T00:00:00-06:00,54.10434643427531 A
2017-06-12T00:00:00-06:00,54.00587352116903 A
2017-06-13T00:00:00-06:00,51.40799260139465 A
2017-06-14T00:00:00-06:00,70.49201766649882 A
2017-06-15T00:00:00-06:00,82.96790421009064 A
2017-06-16T00:00:00-06:00,82.22073491414388 A
2017-06-17T00:00:00-06:00,63.95958197116852 A
2017-06-18T00:00:00-06:00,49.578216671943665 A
