Timestamp,['203f26a6-f6d0eb8c 0097-DUMKE GYMNASTICS CNTR Power Meter Volts A-B']
2017-02-21T00:00:00-07:00,484.4678407866379 V
2017-02-22T00:00:00-07:00,484.0791371663411 V
2017-02-23T00:00:00-07:00,483.87368806203204 V
2017-02-24T00:00:00-07:00,484.3026520934286 V
2017-02-25T00:00:00-07:00,484.9077943166097 V
2017-02-26T00:00:00-07:00,484.5397564570109 V
2017-02-27T00:00:00-07:00,484.30287742614746 V
2017-02-28T00:00:00-07:00,484.84879271189374 V
2017-03-01T00:00:00-07:00,485.16435146331787 V
2017-03-02T00:00:00-07:00,484.52562618255615 V
2017-03-03T00:00:00-07:00,484.8887074788411 V
2017-03-04T00:00:00-07:00,483.52613258361816 V
2017-03-05T00:00:00-07:00,485.17464288075763 V
2017-03-06T00:00:00-07:00,484.44375928243 V
2017-03-07T00:00:00-07:00,484.3232037226359 V
2017-03-08T00:00:00-07:00,484.5357036590576 V
2017-03-09T00:00:00-07:00,484.05624135335285 V
2017-03-10T00:00:00-07:00,484.71943346659344 V
2017-03-11T00:00:00-07:00,485.1395270029704 V
2017-03-12T00:00:00-07:00,484.9432373046875 V
2017-03-13T00:00:00-06:00,485.47511259714764 V
2017-03-14T00:00:00-06:00,485.4514544804891 V
2017-03-15T00:00:00-06:00,484.86093552907306 V
2017-03-16T00:00:00-06:00,484.79777431488037 V
2017-03-17T00:00:00-06:00,484.81869824727374 V
2017-03-18T00:00:00-06:00,486.1368881861369 V
2017-03-19T00:00:00-06:00,485.6812861760457 V
2017-03-20T00:00:00-06:00,484.9879328409831 V
2017-03-21T00:00:00-06:00,485.5565986633301 V
2017-03-22T00:00:00-06:00,485.122355779012 V
2017-03-23T00:00:00-06:00,485.58220259348553 V
2017-03-24T00:00:00-06:00,486.1315638224284 V
2017-03-25T00:00:00-06:00,485.7547601064046 V
2017-03-26T00:00:00-06:00,484.58992799123126 V
2017-03-27T00:00:00-06:00,485.08383623758954 V
2017-03-28T00:00:00-06:00,485.1182289123535 V
2017-03-29T00:00:00-06:00,485.0890926784939 V
2017-03-30T00:00:00-06:00,486.1927296031605 V
2017-03-31T00:00:00-06:00,485.3360656102498 V
2017-04-01T00:00:00-06:00,485.09662596384686 V
2017-04-02T00:00:00-06:00,485.45087210337323 V
2017-04-03T00:00:00-06:00,485.39509137471515 V
2017-04-04T00:00:00-06:00,486.73451232910156 V
2017-04-05T00:00:00-06:00,486.34367720286053 V
2017-04-06T00:00:00-06:00,486.529727935791 V
2017-04-07T00:00:00-06:00,486.2356704076131 V
2017-04-08T00:00:00-06:00,485.94109694163006 V
2017-04-09T00:00:00-06:00,484.7671486536662 V
2017-04-10T00:00:00-06:00,485.2531388600667 V
2017-04-11T00:00:00-06:00,485.279912630717 V
2017-04-12T00:00:00-06:00,485.60212230682373 V
2017-04-13T00:00:00-06:00,486.13437875111896 V
2017-04-14T00:00:00-06:00,486.3742256164551 V
2017-04-15T00:00:00-06:00,486.3142131169637 V
2017-04-16T00:00:00-06:00,485.96541182200116 V
2017-04-17T00:00:00-06:00,485.7585926055908 V
2017-04-18T00:00:00-06:00,485.817754427592 V
2017-04-19T00:00:00-06:00,485.99215507507324 V
2017-04-20T00:00:00-06:00,485.89929517110187 V
2017-04-21T00:00:00-06:00,485.57333342234296 V
2017-04-22T00:00:00-06:00,485.6256163914998 V
2017-04-23T00:00:00-06:00,485.9663972854614 V
2017-04-24T00:00:00-06:00,485.851424853007 V
2017-04-25T00:00:00-06:00,486.1570806503296 V
2017-04-26T00:00:00-06:00,485.8507604598999 V
2017-04-27T00:00:00-06:00,486.2237615585327 V
2017-04-28T00:00:00-06:00,486.5945536295573 V
2017-04-29T00:00:00-06:00,487.47461732228595 V
2017-04-30T00:00:00-06:00,486.240275700887 V
2017-05-01T00:00:00-06:00,485.9883623123169 V
2017-05-02T00:00:00-06:00,486.5610046386719 V
2017-05-03T00:00:00-06:00,486.3877337773641 V
2017-05-04T00:00:00-06:00,486.0805956522624 V
2017-05-05T00:00:00-06:00,485.14242521921796 V
2017-05-06T00:00:00-06:00,486.56519444783527 V
2017-05-07T00:00:00-06:00,486.4261054992676 V
2017-05-08T00:00:00-06:00,486.3641742070516 V
2017-05-09T00:00:00-06:00,486.44976234436035 V
2017-05-10T00:00:00-06:00,486.32069937388104 V
2017-05-11T00:00:00-06:00,486.04057057698566 V
2017-05-12T00:00:00-06:00,485.95140743255615 V
2017-05-13T00:00:00-06:00,486.7291138966878 V
2017-05-14T00:00:00-06:00,486.0399983723958 V
2017-05-15T00:00:00-06:00,486.1265646616618 V
2017-05-16T00:00:00-06:00,486.4951407114665 V
2017-05-17T00:00:00-06:00,487.0934721628825 V
2017-05-18T00:00:00-06:00,486.4747896194458 V
