Timestamp,"['203f26c8-b7736689 0097-DUMKE GYMNASTICS CNTR Power Meter Watts, 3-Ph total']"
2017-02-21T00:00:00-07:00,70.4845199584961 kW
2017-02-22T00:00:00-07:00,58.55109405517578 kW
2017-02-23T00:00:00-07:00,58.885128021240234 kW
2017-02-24T00:00:00-07:00,63.31208038330078 kW
2017-02-25T00:00:00-07:00,35.78543472290039 kW
2017-02-26T00:00:00-07:00,36.35955810546875 kW
2017-02-27T00:00:00-07:00,57.307525634765625 kW
2017-02-28T00:00:00-07:00,60.47706985473633 kW
2017-03-01T00:00:00-07:00,56.276329040527344 kW
2017-03-02T00:00:00-07:00,61.79859161376953 kW
2017-03-03T00:00:00-07:00,58.959564208984375 kW
2017-03-04T00:00:00-07:00,69.71380615234375 kW
2017-03-05T00:00:00-07:00,43.860755920410156 kW
2017-03-06T00:00:00-07:00,63.08926773071289 kW
2017-03-07T00:00:00-07:00,58.928993225097656 kW
2017-03-08T00:00:00-07:00,50.191307067871094 kW
2017-03-09T00:00:00-07:00,72.03181457519531 kW
2017-03-10T00:00:00-07:00,51.05353546142578 kW
2017-03-11T00:00:00-07:00,44.46136474609375 kW
2017-03-12T00:00:00-07:00,46.24817657470703 kW
2017-03-13T00:00:00-06:00,76.09272766113281 kW
2017-03-14T00:00:00-06:00,83.87374877929688 kW
2017-03-15T00:00:00-06:00,84.45159912109375 kW
2017-03-16T00:00:00-06:00,65.68711853027344 kW
2017-03-17T00:00:00-06:00,62.07112503051758 kW
2017-03-18T00:00:00-06:00,68.47798919677734 kW
2017-03-19T00:00:00-06:00,60.992332458496094 kW
2017-03-20T00:00:00-06:00,83.27572631835938 kW
2017-03-21T00:00:00-06:00,91.11872863769531 kW
2017-03-22T00:00:00-06:00,75.1472396850586 kW
2017-03-23T00:00:00-06:00,57.04903030395508 kW
2017-03-24T00:00:00-06:00,74.69239044189453 kW
2017-03-25T00:00:00-06:00,40.554771423339844 kW
2017-03-26T00:00:00-06:00,40.80546951293945 kW
2017-03-27T00:00:00-06:00,57.862754821777344 kW
2017-03-28T00:00:00-06:00,73.05887603759766 kW
2017-03-29T00:00:00-06:00,71.41270446777344 kW
2017-03-30T00:00:00-06:00,56.59629440307617 kW
2017-03-31T00:00:00-06:00,52.74362564086914 kW
2017-04-01T00:00:00-06:00,56.33655548095703 kW
2017-04-02T00:00:00-06:00,38.524940490722656 kW
2017-04-03T00:00:00-06:00,65.58515930175781 kW
2017-04-04T00:00:00-06:00,63.68438720703125 kW
2017-04-05T00:00:00-06:00,57.80608367919922 kW
2017-04-06T00:00:00-06:00,77.59996795654297 kW
2017-04-07T00:00:00-06:00,72.96650695800781 kW
2017-04-08T00:00:00-06:00,45.23696517944336 kW
2017-04-09T00:00:00-06:00,47.96331024169922 kW
2017-04-10T00:00:00-06:00,63.165611267089844 kW
2017-04-11T00:00:00-06:00,68.35105895996094 kW
2017-04-12T00:00:00-06:00,75.72235107421875 kW
2017-04-13T00:00:00-06:00,91.1542739868164 kW
2017-04-14T00:00:00-06:00,58.208187103271484 kW
2017-04-15T00:00:00-06:00,41.728660583496094 kW
2017-04-16T00:00:00-06:00,55.978515625 kW
2017-04-17T00:00:00-06:00,62.50305938720703 kW
2017-04-18T00:00:00-06:00,67.8010025024414 kW
2017-04-19T00:00:00-06:00,56.644161224365234 kW
2017-04-20T00:00:00-06:00,61.474693298339844 kW
2017-04-21T00:00:00-06:00,53.893829345703125 kW
2017-04-22T00:00:00-06:00,50.28225326538086 kW
2017-04-23T00:00:00-06:00,57.1671142578125 kW
2017-04-24T00:00:00-06:00,56.834144592285156 kW
2017-04-25T00:00:00-06:00,55.08049774169922 kW
2017-04-26T00:00:00-06:00,48.87363815307617 kW
2017-04-27T00:00:00-06:00,37.76061248779297 kW
2017-04-28T00:00:00-06:00,49.75032424926758 kW
2017-04-29T00:00:00-06:00,38.64418411254883 kW
2017-04-30T00:00:00-06:00,47.804405212402344 kW
2017-05-01T00:00:00-06:00,63.544090270996094 kW
2017-05-02T00:00:00-06:00,60.80742645263672 kW
2017-05-03T00:00:00-06:00,63.40217971801758 kW
2017-05-04T00:00:00-06:00,74.7608642578125 kW
2017-05-05T00:00:00-06:00,78.5848617553711 kW
2017-05-06T00:00:00-06:00,52.827796936035156 kW
2017-05-07T00:00:00-06:00,52.07651138305664 kW
2017-05-08T00:00:00-06:00,66.24751281738281 kW
2017-05-09T00:00:00-06:00,64.93356323242188 kW
2017-05-10T00:00:00-06:00,53.83197784423828 kW
2017-05-11T00:00:00-06:00,64.90888977050781 kW
