Timestamp,['206e9e55-ed5918b3 0046-LASSONDE STUDIOS Power Meter 316258 Current A']
2017-03-29T00:00:00-06:00,187.0375292547818 A
2017-03-30T00:00:00-06:00,202.13677266438802 A
2017-03-31T00:00:00-06:00,177.37627951304117 A
2017-04-01T00:00:00-06:00,165.310688495636 A
2017-04-02T00:00:00-06:00,171.236753684596 A
2017-04-03T00:00:00-06:00,178.10881487528482 A
2017-04-04T00:00:00-06:00,177.02498515446982 A
2017-04-05T00:00:00-06:00,178.71966449419656 A
2017-04-06T00:00:00-06:00,173.48429679870605 A
2017-04-07T00:00:00-06:00,172.7097223599752 A
2017-04-08T00:00:00-06:00,173.81280040740967 A
2017-04-09T00:00:00-06:00,172.39923453330994 A
2017-04-10T00:00:00-06:00,179.70617286364237 A
2017-04-11T00:00:00-06:00,178.33196798960367 A
2017-04-12T00:00:00-06:00,176.47807153066 A
2017-04-13T00:00:00-06:00,175.94332178433737 A
2017-04-14T00:00:00-06:00,171.10305007298788 A
2017-04-15T00:00:00-06:00,164.8114197254181 A
2017-04-16T00:00:00-06:00,167.69094030062357 A
2017-04-17T00:00:00-06:00,176.88192447026572 A
2017-04-18T00:00:00-06:00,178.5105506579081 A
2017-04-19T00:00:00-06:00,174.98893213272095 A
2017-04-20T00:00:00-06:00,183.0660944779714 A
2017-04-21T00:00:00-06:00,176.84161059061685 A
2017-04-22T00:00:00-06:00,176.56900691986084 A
2017-04-23T00:00:00-06:00,177.59272694587708 A
2017-04-24T00:00:00-06:00,182.90750074386597 A
2017-04-25T00:00:00-06:00,179.88022168477377 A
2017-04-26T00:00:00-06:00,176.4828201929728 A
2017-04-27T00:00:00-06:00,175.3913470109304 A
2017-04-28T00:00:00-06:00,177.1601187388102 A
2017-04-29T00:00:00-06:00,167.1232450803121 A
2017-04-30T00:00:00-06:00,170.91804019610086 A
2017-05-01T00:00:00-06:00,173.56810808181763 A
2017-05-02T00:00:00-06:00,173.1972455183665 A
2017-05-03T00:00:00-06:00,170.47951110204062 A
2017-05-04T00:00:00-06:00,166.29060300191244 A
2017-05-05T00:00:00-06:00,152.96703791618347 A
2017-05-06T00:00:00-06:00,123.15157135327657 A
2017-05-07T00:00:00-06:00,116.47940317789714 A
2017-05-08T00:00:00-06:00,117.70330786705017 A
2017-05-09T00:00:00-06:00,120.57338372866313 A
