Timestamp,['206e9e5b-70b3d10e 0046-LASSONDE STUDIOS Power Meter 316258 Current B']
2017-03-29T00:00:00-06:00,221.5289501321727 A
2017-03-30T00:00:00-06:00,218.58827107747396 A
2017-03-31T00:00:00-06:00,202.43055709203085 A
2017-04-01T00:00:00-06:00,184.29146528244019 A
2017-04-02T00:00:00-06:00,190.6111503199527 A
2017-04-03T00:00:00-06:00,198.66495752334595 A
2017-04-04T00:00:00-06:00,197.84227593739828 A
2017-04-05T00:00:00-06:00,200.32035557428995 A
2017-04-06T00:00:00-06:00,193.25032218297324 A
2017-04-07T00:00:00-06:00,191.48140478134155 A
2017-04-08T00:00:00-06:00,189.11664390563965 A
2017-04-09T00:00:00-06:00,184.96926387151083 A
2017-04-10T00:00:00-06:00,197.57237974802652 A
2017-04-11T00:00:00-06:00,196.49119186401367 A
2017-04-12T00:00:00-06:00,192.07126013437906 A
2017-04-13T00:00:00-06:00,189.21688763300577 A
2017-04-14T00:00:00-06:00,186.84410333633423 A
2017-04-15T00:00:00-06:00,183.52492666244507 A
2017-04-16T00:00:00-06:00,182.64556439717612 A
2017-04-17T00:00:00-06:00,186.2371792793274 A
2017-04-18T00:00:00-06:00,191.62125507990518 A
2017-04-19T00:00:00-06:00,191.06061442693075 A
2017-04-20T00:00:00-06:00,197.49087731043497 A
2017-04-21T00:00:00-06:00,194.4473794301351 A
2017-04-22T00:00:00-06:00,187.27205435434976 A
2017-04-23T00:00:00-06:00,185.86959234873453 A
2017-04-24T00:00:00-06:00,191.16161012649536 A
2017-04-25T00:00:00-06:00,186.30538495381674 A
2017-04-26T00:00:00-06:00,191.66870594024658 A
2017-04-27T00:00:00-06:00,189.6700029373169 A
2017-04-28T00:00:00-06:00,194.7247338294983 A
2017-04-29T00:00:00-06:00,186.39518388112387 A
2017-04-30T00:00:00-06:00,183.25209951400757 A
2017-05-01T00:00:00-06:00,182.30046224594116 A
2017-05-02T00:00:00-06:00,185.18217500050864 A
2017-05-03T00:00:00-06:00,179.29596948623657 A
2017-05-04T00:00:00-06:00,173.28994512557983 A
2017-05-05T00:00:00-06:00,161.82626803716025 A
2017-05-06T00:00:00-06:00,148.66633105278015 A
2017-05-07T00:00:00-06:00,133.3444763024648 A
2017-05-08T00:00:00-06:00,133.09134125709534 A
2017-05-09T00:00:00-06:00,134.68159008026123 A
2017-05-10T00:00:00-06:00,135.26516556739807 A
2017-05-11T00:00:00-06:00,136.31387750307718 A
2017-05-12T00:00:00-06:00,133.0712480545044 A
2017-05-13T00:00:00-06:00,132.7853443622589 A
2017-05-14T00:00:00-06:00,132.34495091438293 A
2017-05-15T00:00:00-06:00,130.9890012741089 A
2017-05-16T00:00:00-06:00,134.48558266957602 A
2017-05-17T00:00:00-06:00,132.28948148091635 A
2017-05-18T00:00:00-06:00,135.61298863093057 A
2017-05-19T00:00:00-06:00,134.80814091364542 A
2017-05-20T00:00:00-06:00,132.7145221233368 A
2017-05-21T00:00:00-06:00,134.86234529813132 A
2017-05-22T00:00:00-06:00,135.33646512031555 A
2017-05-23T00:00:00-06:00,136.70013236999512 A
2017-05-24T00:00:00-06:00,134.3907060623169 A
2017-05-25T00:00:00-06:00,132.1185943285624 A
2017-05-26T00:00:00-06:00,134.48023810135692 A
2017-05-27T00:00:00-06:00,133.03846247990927 A
2017-05-28T00:00:00-06:00,131.07923499574053 A
2017-05-29T00:00:00-06:00,126.35483415921529 A
2017-05-30T00:00:00-06:00,134.19777059555054 A
2017-05-31T00:00:00-06:00,138.23863315582275 A
2017-06-01T00:00:00-06:00,138.67786780993143 A
2017-06-02T00:00:00-06:00,134.07376877466837 A
2017-06-03T00:00:00-06:00,134.24710400899252 A
2017-06-04T00:00:00-06:00,134.45998573303223 A
2017-06-05T00:00:00-06:00,140.44162034988403 A
2017-06-06T00:00:00-06:00,148.10144464174905 A
2017-06-07T00:00:00-06:00,140.81497597694397 A
2017-06-08T00:00:00-06:00,140.23528003692627 A
2017-06-09T00:00:00-06:00,136.45645546913147 A
2017-06-10T00:00:00-06:00,137.80452585220337 A
2017-06-11T00:00:00-06:00,134.14105598131815 A
2017-06-12T00:00:00-06:00,140.59093960126242 A
2017-06-13T00:00:00-06:00,142.9184436003367 A
2017-06-14T00:00:00-06:00,142.53160206476846 A
2017-06-15T00:00:00-06:00,139.84258071581522 A
