Timestamp,['206e9e63-c40410ad 0046-LASSONDE STUDIOS Power Meter 316258 Current C']
2017-03-29T00:00:00-06:00,191.3558533767174 A
2017-03-30T00:00:00-06:00,198.95856289333767 A
2017-03-31T00:00:00-06:00,176.21372000376383 A
2017-04-01T00:00:00-06:00,164.11202589670816 A
2017-04-02T00:00:00-06:00,170.11420488859477 A
2017-04-03T00:00:00-06:00,174.86613368988037 A
2017-04-04T00:00:00-06:00,178.4287837346395 A
2017-04-05T00:00:00-06:00,173.0647037823995 A
2017-04-06T00:00:00-06:00,174.59858385721842 A
2017-04-07T00:00:00-06:00,168.4863165219625 A
2017-04-08T00:00:00-06:00,169.71624763806662 A
2017-04-09T00:00:00-06:00,178.8950986067454 A
2017-04-10T00:00:00-06:00,175.0317996342977 A
2017-04-11T00:00:00-06:00,178.94074392318726 A
2017-04-12T00:00:00-06:00,171.37196143468222 A
2017-04-13T00:00:00-06:00,173.2158076763153 A
2017-04-14T00:00:00-06:00,174.78033876419067 A
2017-04-15T00:00:00-06:00,166.97785711288452 A
2017-04-16T00:00:00-06:00,170.00660943984985 A
2017-04-17T00:00:00-06:00,180.30443572998047 A
2017-04-18T00:00:00-06:00,179.96863810221353 A
2017-04-19T00:00:00-06:00,175.10856930414835 A
2017-04-20T00:00:00-06:00,184.15042861302695 A
2017-04-21T00:00:00-06:00,182.34154176712036 A
2017-04-22T00:00:00-06:00,175.1476329167684 A
2017-04-23T00:00:00-06:00,172.15457661946616 A
2017-04-24T00:00:00-06:00,175.2873412768046 A
2017-04-25T00:00:00-06:00,171.82637325922647 A
2017-04-26T00:00:00-06:00,174.07200813293457 A
2017-04-27T00:00:00-06:00,172.20799668629965 A
2017-04-28T00:00:00-06:00,173.61954053243002 A
2017-04-29T00:00:00-06:00,161.22227716445923 A
2017-04-30T00:00:00-06:00,163.05711579322815 A
2017-05-01T00:00:00-06:00,166.90083638827005 A
2017-05-02T00:00:00-06:00,162.68156464894614 A
2017-05-03T00:00:00-06:00,150.88787444432577 A
2017-05-04T00:00:00-06:00,145.60709492365518 A
2017-05-05T00:00:00-06:00,139.05360078811646 A
2017-05-06T00:00:00-06:00,118.68784681955974 A
2017-05-07T00:00:00-06:00,104.14087971051534 A
2017-05-08T00:00:00-06:00,108.6465613047282 A
2017-05-09T00:00:00-06:00,110.8203550974528 A
2017-05-10T00:00:00-06:00,111.41636315981548 A
2017-05-11T00:00:00-06:00,103.57117319107056 A
2017-05-12T00:00:00-06:00,104.94934026400249 A
2017-05-13T00:00:00-06:00,104.38616061210632 A
2017-05-14T00:00:00-06:00,110.72661566734314 A
2017-05-15T00:00:00-06:00,108.01511685053508 A
2017-05-16T00:00:00-06:00,112.86214232444763 A
2017-05-17T00:00:00-06:00,110.8081218401591 A
2017-05-18T00:00:00-06:00,113.23449635505676 A
2017-05-19T00:00:00-06:00,109.7661497592926 A
2017-05-20T00:00:00-06:00,112.70022741953532 A
2017-05-21T00:00:00-06:00,114.58191951115926 A
2017-05-22T00:00:00-06:00,110.7501672108968 A
2017-05-23T00:00:00-06:00,110.86259023348491 A
2017-05-24T00:00:00-06:00,109.29935916264851 A
2017-05-25T00:00:00-06:00,112.2004623413086 A
2017-05-26T00:00:00-06:00,105.99541023655942 A
2017-05-27T00:00:00-06:00,107.20050303141277 A
2017-05-28T00:00:00-06:00,106.29905294864736 A
