Timestamp,['206e9e9f-e83a768d 0046-LASSONDE STUDIOS Power Meter 316259 Current A']
2017-03-29T00:00:00-06:00,125.99591038144868 A
2017-03-30T00:00:00-06:00,129.83817494710286 A
2017-03-31T00:00:00-06:00,125.47373604774475 A
2017-04-01T00:00:00-06:00,122.08520309130351 A
2017-04-02T00:00:00-06:00,127.55904467900594 A
2017-04-03T00:00:00-06:00,121.86468847592671 A
2017-04-04T00:00:00-06:00,122.8321298758189 A
2017-04-05T00:00:00-06:00,122.02930959065755 A
2017-04-06T00:00:00-06:00,124.78499102592468 A
2017-04-07T00:00:00-06:00,129.3002620538076 A
2017-04-08T00:00:00-06:00,124.66986266771953 A
2017-04-09T00:00:00-06:00,128.23553458849588 A
2017-04-10T00:00:00-06:00,122.32171853383382 A
2017-04-11T00:00:00-06:00,123.34213773409526 A
2017-04-12T00:00:00-06:00,126.29178563753764 A
2017-04-13T00:00:00-06:00,116.29693885644276 A
2017-04-14T00:00:00-06:00,94.30565337340038 A
2017-04-15T00:00:00-06:00,123.99506600697835 A
2017-04-16T00:00:00-06:00,128.5703876813253 A
2017-04-17T00:00:00-06:00,126.00408871968587 A
2017-04-18T00:00:00-06:00,126.38570499420166 A
2017-04-19T00:00:00-06:00,123.54439107577006 A
2017-04-20T00:00:00-06:00,124.8538110256195 A
2017-04-21T00:00:00-06:00,126.46021707852681 A
2017-04-22T00:00:00-06:00,122.80602240562439 A
2017-04-23T00:00:00-06:00,126.72133048375447 A
2017-04-24T00:00:00-06:00,125.8369209766388 A
2017-04-25T00:00:00-06:00,155.03802545865378 A
2017-04-26T00:00:00-06:00,157.82113409042358 A
2017-04-27T00:00:00-06:00,148.98903465270996 A
2017-04-28T00:00:00-06:00,156.61826785405478 A
2017-04-29T00:00:00-06:00,155.16011555989584 A
2017-04-30T00:00:00-06:00,159.4165727297465 A
2017-05-01T00:00:00-06:00,153.02300389607748 A
2017-05-02T00:00:00-06:00,153.36856492360434 A
2017-05-03T00:00:00-06:00,155.18639183044434 A
2017-05-04T00:00:00-06:00,158.58420769373575 A
2017-05-05T00:00:00-06:00,162.61336867014566 A
2017-05-06T00:00:00-06:00,159.27467838923135 A
2017-05-07T00:00:00-06:00,160.50144720077515 A
2017-05-08T00:00:00-06:00,154.0521672566732 A
2017-05-09T00:00:00-06:00,155.83986568450928 A
2017-05-10T00:00:00-06:00,154.51977427800497 A
2017-05-11T00:00:00-06:00,157.33154646555582 A
2017-05-12T00:00:00-06:00,159.9693349202474 A
2017-05-13T00:00:00-06:00,151.29116566975912 A
2017-05-14T00:00:00-06:00,155.70192130406699 A
2017-05-15T00:00:00-06:00,152.08646726608276 A
2017-05-16T00:00:00-06:00,151.4552763303121 A
2017-05-17T00:00:00-06:00,151.13562695185342 A
2017-05-18T00:00:00-06:00,151.6832593282064 A
2017-05-19T00:00:00-06:00,153.33445088068643 A
2017-05-20T00:00:00-06:00,150.86641232172647 A
2017-05-21T00:00:00-06:00,154.46385685602823 A
2017-05-22T00:00:00-06:00,152.534632841746 A
2017-05-23T00:00:00-06:00,156.79515552520752 A
2017-05-24T00:00:00-06:00,157.90601189931235 A
2017-05-25T00:00:00-06:00,155.73550987243652 A
2017-05-26T00:00:00-06:00,156.85253190994263 A
2017-05-27T00:00:00-06:00,154.2030232747396 A
2017-05-28T00:00:00-06:00,159.6387730648643 A
2017-05-29T00:00:00-06:00,155.02567370732626 A
2017-05-30T00:00:00-06:00,160.07333374023438 A
2017-05-31T00:00:00-06:00,160.2997350692749 A
2017-06-01T00:00:00-06:00,158.61485322316489 A
2017-06-02T00:00:00-06:00,159.95900932947794 A
2017-06-03T00:00:00-06:00,160.35153675079346 A
2017-06-04T00:00:00-06:00,165.26827601382607 A
2017-06-05T00:00:00-06:00,160.03602345784506 A
2017-06-06T00:00:00-06:00,161.21566518147787 A
2017-06-07T00:00:00-06:00,162.47624031702676 A
2017-06-08T00:00:00-06:00,163.31540473302206 A
2017-06-09T00:00:00-06:00,162.69206953048706 A
