Timestamp,['206e9ea3-6d981b97 0046-LASSONDE STUDIOS Power Meter 316259 Current B']
2017-03-29T00:00:00-06:00,134.7245162437702 A
2017-03-30T00:00:00-06:00,138.57002292209202 A
2017-03-31T00:00:00-06:00,133.13551036516824 A
2017-04-01T00:00:00-06:00,130.34298729896545 A
2017-04-02T00:00:00-06:00,134.35707346598306 A
2017-04-03T00:00:00-06:00,130.3425397078196 A
2017-04-04T00:00:00-06:00,131.0405731201172 A
2017-04-05T00:00:00-06:00,129.69598452250162 A
2017-04-06T00:00:00-06:00,132.40726653734842 A
2017-04-07T00:00:00-06:00,136.7284337679545 A
2017-04-08T00:00:00-06:00,131.3447253704071 A
2017-04-09T00:00:00-06:00,133.54998326301575 A
2017-04-10T00:00:00-06:00,129.88475529352823 A
2017-04-11T00:00:00-06:00,129.70371421178183 A
2017-04-12T00:00:00-06:00,132.02442200978598 A
2017-04-13T00:00:00-06:00,123.61684370040894 A
2017-04-14T00:00:00-06:00,102.36478281021118 A
2017-04-15T00:00:00-06:00,129.2164127031962 A
2017-04-16T00:00:00-06:00,133.69690505663553 A
2017-04-17T00:00:00-06:00,134.36346666018167 A
2017-04-18T00:00:00-06:00,134.21644218762717 A
2017-04-19T00:00:00-06:00,130.5189439455668 A
2017-04-20T00:00:00-06:00,134.24676593144736 A
2017-04-21T00:00:00-06:00,130.68640891710916 A
2017-04-22T00:00:00-06:00,129.41376646359763 A
2017-04-23T00:00:00-06:00,131.0334730943044 A
2017-04-24T00:00:00-06:00,132.71489397684732 A
2017-04-25T00:00:00-06:00,161.55335919062296 A
2017-04-26T00:00:00-06:00,163.7391783396403 A
2017-04-27T00:00:00-06:00,158.45496288935342 A
2017-04-28T00:00:00-06:00,163.49470297495523 A
2017-04-29T00:00:00-06:00,161.01613251368204 A
2017-04-30T00:00:00-06:00,163.80562003453574 A
2017-05-01T00:00:00-06:00,159.25624656677246 A
2017-05-02T00:00:00-06:00,161.02409521738687 A
2017-05-03T00:00:00-06:00,162.3665771484375 A
