Timestamp,"['206e9eed-8cd5e342 0046-LASSONDE STUDIOS Power Meter 316259 Watts, 3-Ph total']"
2017-03-29T00:00:00-06:00,109.43643951416016 kW
2017-03-30T00:00:00-06:00,126.74651336669922 kW
2017-03-31T00:00:00-06:00,130.83372497558594 kW
2017-04-01T00:00:00-06:00,123.23370361328125 kW
2017-04-02T00:00:00-06:00,123.67506408691406 kW
2017-04-03T00:00:00-06:00,120.98673248291016 kW
2017-04-04T00:00:00-06:00,122.84513854980469 kW
2017-04-05T00:00:00-06:00,116.42869567871094 kW
2017-04-06T00:00:00-06:00,132.20669555664062 kW
2017-04-07T00:00:00-06:00,135.453125 kW
2017-04-08T00:00:00-06:00,125.0470962524414 kW
2017-04-09T00:00:00-06:00,128.3506622314453 kW
2017-04-10T00:00:00-06:00,118.30874633789062 kW
2017-04-11T00:00:00-06:00,136.47569274902344 kW
2017-04-12T00:00:00-06:00,126.58711242675781 kW
2017-04-13T00:00:00-06:00,129.3067626953125 kW
2017-04-14T00:00:00-06:00,126.74649810791016 kW
2017-04-15T00:00:00-06:00,124.72423553466797 kW
2017-04-16T00:00:00-06:00,130.0016632080078 kW
2017-04-17T00:00:00-06:00,125.808349609375 kW
2017-04-18T00:00:00-06:00,133.28648376464844 kW
2017-04-19T00:00:00-06:00,126.85169982910156 kW
2017-04-20T00:00:00-06:00,139.04965209960938 kW
2017-04-21T00:00:00-06:00,126.25774383544922 kW
2017-04-22T00:00:00-06:00,131.21978759765625 kW
2017-04-23T00:00:00-06:00,130.82533264160156 kW
2017-04-24T00:00:00-06:00,132.12747192382812 kW
2017-04-25T00:00:00-06:00,162.2067413330078 kW
2017-04-26T00:00:00-06:00,152.29371643066406 kW
2017-04-27T00:00:00-06:00,152.46847534179688 kW
2017-04-28T00:00:00-06:00,156.1098175048828 kW
2017-04-29T00:00:00-06:00,145.963623046875 kW
2017-04-30T00:00:00-06:00,149.8939208984375 kW
2017-05-01T00:00:00-06:00,145.60000610351562 kW
2017-05-02T00:00:00-06:00,157.8731689453125 kW
2017-05-03T00:00:00-06:00,165.66851806640625 kW
2017-05-04T00:00:00-06:00,149.07528686523438 kW
2017-05-05T00:00:00-06:00,154.39932250976562 kW
2017-05-06T00:00:00-06:00,153.23548889160156 kW
2017-05-07T00:00:00-06:00,135.3219757080078 kW
2017-05-08T00:00:00-06:00,132.64932250976562 kW
2017-05-09T00:00:00-06:00,148.40753173828125 kW
2017-05-10T00:00:00-06:00,137.1600799560547 kW
2017-05-11T00:00:00-06:00,146.55088806152344 kW
2017-05-12T00:00:00-06:00,148.95648193359375 kW
2017-05-13T00:00:00-06:00,147.81353759765625 kW
2017-05-14T00:00:00-06:00,130.83914184570312 kW
2017-05-15T00:00:00-06:00,144.5019073486328 kW
2017-05-16T00:00:00-06:00,152.1922149658203 kW
2017-05-17T00:00:00-06:00,137.2261962890625 kW
2017-05-18T00:00:00-06:00,145.5222930908203 kW
2017-05-19T00:00:00-06:00,142.31898498535156 kW
2017-05-20T00:00:00-06:00,131.1966552734375 kW
2017-05-21T00:00:00-06:00,142.79098510742188 kW
2017-05-22T00:00:00-06:00,148.96388244628906 kW
2017-05-23T00:00:00-06:00,154.5134735107422 kW
2017-05-24T00:00:00-06:00,152.72671508789062 kW
2017-05-25T00:00:00-06:00,139.84364318847656 kW
2017-05-26T00:00:00-06:00,144.0392303466797 kW
2017-05-27T00:00:00-06:00,148.5927276611328 kW
2017-05-28T00:00:00-06:00,133.07785034179688 kW
2017-05-29T00:00:00-06:00,145.69235229492188 kW
2017-05-30T00:00:00-06:00,148.0614471435547 kW
2017-05-31T00:00:00-06:00,153.14801025390625 kW
2017-06-01T00:00:00-06:00,144.84927368164062 kW
2017-06-02T00:00:00-06:00,153.31588745117188 kW
2017-06-03T00:00:00-06:00,154.7063751220703 kW
2017-06-04T00:00:00-06:00,157.0358428955078 kW
2017-06-05T00:00:00-06:00,150.73130798339844 kW
