Timestamp,['20767dc4-e1fa156d 0011-BROWNING BLDG Power Meter 300033 Current A']
2017-04-04T00:00:00-06:00,258.8854710715158 A
2017-04-05T00:00:00-06:00,314.334242661794 A
2017-04-06T00:00:00-06:00,402.08927154541016 A
2017-04-07T00:00:00-06:00,519.7190519968668 A
2017-04-08T00:00:00-06:00,278.25925970077515 A
2017-04-09T00:00:00-06:00,241.80442158381143 A
2017-04-10T00:00:00-06:00,322.1223595937093 A
2017-04-11T00:00:00-06:00,377.906777381897 A
2017-04-12T00:00:00-06:00,432.46127557754517 A
2017-04-13T00:00:00-06:00,480.51293754577637 A
2017-04-14T00:00:00-06:00,246.7329257329305 A
2017-04-15T00:00:00-06:00,269.50943422317505 A
2017-04-16T00:00:00-06:00,370.2072054545085 A
2017-04-17T00:00:00-06:00,524.1157782872518 A
2017-04-18T00:00:00-06:00,447.2530617713928 A
2017-04-19T00:00:00-06:00,339.4156339963277 A
2017-04-20T00:00:00-06:00,260.3848644892375 A
2017-04-21T00:00:00-06:00,240.39542055130005 A
2017-04-22T00:00:00-06:00,329.923699537913 A
2017-04-23T00:00:00-06:00,378.10734208424884 A
2017-04-24T00:00:00-06:00,238.57087151209512 A
2017-04-25T00:00:00-06:00,243.99197689692178 A
2017-04-26T00:00:00-06:00,262.9979157447815 A
2017-04-27T00:00:00-06:00,245.22839212417603 A
2017-04-28T00:00:00-06:00,237.0802240371704 A
2017-04-29T00:00:00-06:00,212.65495204925537 A
2017-04-30T00:00:00-06:00,344.19830052057904 A
2017-05-01T00:00:00-06:00,397.687757174174 A
2017-05-02T00:00:00-06:00,414.7428984642029 A
2017-05-03T00:00:00-06:00,408.1780420939128 A
2017-05-04T00:00:00-06:00,472.43553193410236 A
2017-05-05T00:00:00-06:00,552.9617179234823 A
2017-05-06T00:00:00-06:00,537.4509871800741 A
2017-05-07T00:00:00-06:00,532.0584437052408 A
2017-05-08T00:00:00-06:00,534.6595322291056 A
2017-05-09T00:00:00-06:00,545.5250984827677 A
2017-05-10T00:00:00-06:00,524.7012249628702 A
2017-05-11T00:00:00-06:00,538.065928141276 A
2017-05-12T00:00:00-06:00,553.1460609436035 A
2017-05-13T00:00:00-06:00,267.8437096277873 A
2017-05-14T00:00:00-06:00,355.17137908935547 A
2017-05-15T00:00:00-06:00,478.7966314951579 A
2017-05-16T00:00:00-06:00,413.48918533325195 A
2017-05-17T00:00:00-06:00,256.87052567799884 A
2017-05-18T00:00:00-06:00,245.56763060887656 A
2017-05-19T00:00:00-06:00,316.7525447209676 A
2017-05-20T00:00:00-06:00,389.05068826675415 A
2017-05-21T00:00:00-06:00,446.1165545781453 A
2017-05-22T00:00:00-06:00,469.2692497571309 A
2017-05-23T00:00:00-06:00,540.7168817520142 A
2017-05-24T00:00:00-06:00,552.9909585316976 A
2017-05-25T00:00:00-06:00,521.9443445205688 A
2017-05-26T00:00:00-06:00,503.40803575515747 A
2017-05-27T00:00:00-06:00,384.55973132451373 A
2017-05-28T00:00:00-06:00,507.96666452508225 A
2017-05-29T00:00:00-06:00,526.6463508605957 A
2017-05-30T00:00:00-06:00,559.4990641276041 A
2017-05-31T00:00:00-06:00,557.3751694361368 A
2017-06-01T00:00:00-06:00,564.7092761993408 A
2017-06-02T00:00:00-06:00,544.0323158899943 A
2017-06-03T00:00:00-06:00,522.9773607254028 A
2017-06-04T00:00:00-06:00,539.9167772928873 A
2017-06-05T00:00:00-06:00,576.1920871734619 A
2017-06-06T00:00:00-06:00,565.8261451721191 A
2017-06-07T00:00:00-06:00,573.6845184961954 A
2017-06-08T00:00:00-06:00,568.398499806722 A
2017-06-09T00:00:00-06:00,557.5784883499146 A
2017-06-10T00:00:00-06:00,522.3344399134318 A
2017-06-11T00:00:00-06:00,535.0270624160767 A
2017-06-12T00:00:00-06:00,528.716713587443 A
2017-06-13T00:00:00-06:00,384.96124871571857 A
2017-06-14T00:00:00-06:00,544.1572697957357 A
2017-06-15T00:00:00-06:00,565.3573300043741 A
2017-06-16T00:00:00-06:00,568.2766510645548 A
2017-06-17T00:00:00-06:00,543.5742222468058 A
2017-06-18T00:00:00-06:00,538.2261934280396 A
2017-06-19T00:00:00-06:00,572.6441704432169 A
2017-06-20T00:00:00-06:00,579.0834312438965 A
2017-06-21T00:00:00-06:00,580.0289936065674 A
2017-06-22T00:00:00-06:00,569.6785968144735 A
2017-06-23T00:00:00-06:00,559.3928944269816 A
2017-06-24T00:00:00-06:00,537.5176296234131 A
2017-06-25T00:00:00-06:00,546.408665339152 A
2017-06-26T00:00:00-06:00,568.5675284067789 A
2017-06-27T00:00:00-06:00,581.8290179570516 A
2017-06-28T00:00:00-06:00,544.3063147862753 A
2017-06-29T00:00:00-06:00,560.7035404841105 A
2017-06-30T00:00:00-06:00,554.888388633728 A
2017-07-01T00:00:00-06:00,524.6224842071533 A
2017-07-02T00:00:00-06:00,529.0434074401855 A
2017-07-03T00:00:00-06:00,550.9864714940389 A
2017-07-04T00:00:00-06:00,545.716822942098 A
2017-07-05T00:00:00-06:00,560.2798051834106 A
2017-07-06T00:00:00-06:00,563.7837527592977 A
2017-07-07T00:00:00-06:00,560.5696099599203 A
2017-07-08T00:00:00-06:00,553.2647450764974 A
2017-07-09T00:00:00-06:00,528.5837273597717 A
2017-07-10T00:00:00-06:00,545.326619942983 A
2017-07-11T00:00:00-06:00,590.2681617736816 A
2017-07-12T00:00:00-06:00,588.9850673675537 A
2017-07-13T00:00:00-06:00,579.9820969899496 A
2017-07-14T00:00:00-06:00,581.326455116272 A
2017-07-15T00:00:00-06:00,568.7118031183878 A
2017-07-16T00:00:00-06:00,568.4414577484131 A
2017-07-17T00:00:00-06:00,595.1118418375651 A
2017-07-18T00:00:00-06:00,602.9291006724039 A
2017-07-19T00:00:00-06:00,610.4126815795898 A
2017-07-20T00:00:00-06:00,596.3260275522867 A
2017-07-21T00:00:00-06:00,591.7837187449137 A
2017-07-22T00:00:00-06:00,560.1083393096924 A
2017-07-23T00:00:00-06:00,553.0725364685059 A
2017-07-24T00:00:00-06:00,563.4973875681559 A
2017-07-25T00:00:00-06:00,602.6689434051514 A
2017-07-26T00:00:00-06:00,603.3024508158366 A
2017-07-27T00:00:00-06:00,582.8111550013224 A
2017-07-28T00:00:00-06:00,599.9557476043701 A
2017-07-29T00:00:00-06:00,559.0255069732666 A
2017-07-30T00:00:00-06:00,560.0253737767538 A
2017-07-31T00:00:00-06:00,597.6291484832764 A
2017-08-01T00:00:00-06:00,614.5133183797201 A
2017-08-02T00:00:00-06:00,600.6775118509928 A
2017-08-03T00:00:00-06:00,601.1004034678141 A
2017-08-04T00:00:00-06:00,605.9407925448575 A
2017-08-05T00:00:00-06:00,571.6750081380209 A
2017-08-06T00:00:00-06:00,552.8047583897909 A
2017-08-07T00:00:00-06:00,574.7748483022054 A
2017-08-08T00:00:00-06:00,571.8628330230713 A
2017-08-09T00:00:00-06:00,569.6296199162801 A
2017-08-10T00:00:00-06:00,560.0042610980095 A
2017-08-11T00:00:00-06:00,576.1793203253495 A
2017-08-12T00:00:00-06:00,550.3809782663981 A
2017-08-13T00:00:00-06:00,553.3197555541992 A
2017-08-14T00:00:00-06:00,562.1969032287598 A
2017-08-15T00:00:00-06:00,540.2524878184 A
2017-08-16T00:00:00-06:00,545.2291374206543 A
2017-08-17T00:00:00-06:00,562.4919630686442 A
2017-08-18T00:00:00-06:00,566.813871383667 A
2017-08-19T00:00:00-06:00,557.996457417806 A
2017-08-20T00:00:00-06:00,568.1768744786581 A
2017-08-21T00:00:00-06:00,575.6959927876791 A
2017-08-22T00:00:00-06:00,571.2918634414673 A
2017-08-23T00:00:00-06:00,569.7337443033854 A
2017-08-24T00:00:00-06:00,563.2177747090658 A
2017-08-25T00:00:00-06:00,575.0701347986857 A
2017-08-26T00:00:00-06:00,557.939876238505 A
2017-08-27T00:00:00-06:00,559.4669733047485 A
2017-08-28T00:00:00-06:00,586.6616363525391 A
2017-08-29T00:00:00-06:00,592.9492732222362 A
2017-08-30T00:00:00-06:00,601.9339860280355 A
2017-08-31T00:00:00-06:00,582.2162561416626 A
2017-09-01T00:00:00-06:00,568.7618646621704 A
2017-09-02T00:00:00-06:00,535.6660750706991 A
2017-09-03T00:00:00-06:00,547.734481493632 A
2017-09-04T00:00:00-06:00,553.9099706013998 A
2017-09-05T00:00:00-06:00,598.9237550099691 A
2017-09-06T00:00:00-06:00,587.9138431549072 A
2017-09-07T00:00:00-06:00,594.7097651163737 A
2017-09-08T00:00:00-06:00,580.8796058817113 A
2017-09-09T00:00:00-06:00,536.2242800394694 A
2017-09-10T00:00:00-06:00,536.5638364156088 A
2017-09-11T00:00:00-06:00,575.9192241032919 A
2017-09-12T00:00:00-06:00,576.3981405893961 A
2017-09-13T00:00:00-06:00,567.8469578425089 A
2017-09-14T00:00:00-06:00,545.5849542617798 A
2017-09-15T00:00:00-06:00,467.6358337402344 A
2017-09-16T00:00:00-06:00,387.5090587933858 A
2017-09-17T00:00:00-06:00,416.54452323913574 A
2017-09-18T00:00:00-06:00,539.9534997940063 A
2017-09-19T00:00:00-06:00,421.0176685651143 A
2017-09-20T00:00:00-06:00,416.3643325169881 A
2017-09-21T00:00:00-06:00,371.48099660873413 A
2017-09-22T00:00:00-06:00,288.15393749872845 A
2017-09-23T00:00:00-06:00,265.3868858019511 A
2017-09-24T00:00:00-06:00,271.25688044230145 A
2017-09-25T00:00:00-06:00,343.53333616256714 A
2017-09-26T00:00:00-06:00,400.7720848719279 A
2017-09-27T00:00:00-06:00,496.5673058827718 A
2017-09-28T00:00:00-06:00,505.96658007303876 A
2017-09-29T00:00:00-06:00,507.11436716715497 A
2017-09-30T00:00:00-06:00,472.8477032979329 A
2017-10-01T00:00:00-06:00,299.8836034138997 A
