Timestamp,"['20767e15-a5f18bbe 0011-BROWNING BLDG Power Meter 300033 Watts, 3-Ph total']"
2017-04-04T00:00:00-06:00,4.165518760681152 kW
2017-04-05T00:00:00-06:00,0.8268542289733887 kW
2017-04-06T00:00:00-06:00,2.078287363052368 kW
2017-04-07T00:00:00-06:00,-1.8195394277572632 kW
2017-04-08T00:00:00-06:00,1.0133557319641113 kW
2017-04-09T00:00:00-06:00,-1.3541662693023682 kW
2017-04-10T00:00:00-06:00,1.1584765911102295 kW
2017-04-11T00:00:00-06:00,1.2015807628631592 kW
2017-04-12T00:00:00-06:00,1.5589526891708374 kW
2017-04-13T00:00:00-06:00,0.30042991042137146 kW
2017-04-14T00:00:00-06:00,0.7314428687095642 kW
2017-04-15T00:00:00-06:00,-4.441904067993164 kW
2017-04-16T00:00:00-06:00,-6.436058044433594 kW
2017-04-17T00:00:00-06:00,2.1652896404266357 kW
2017-04-18T00:00:00-06:00,0.6642642617225647 kW
2017-04-19T00:00:00-06:00,2.5866405963897705 kW
2017-04-20T00:00:00-06:00,4.355955600738525 kW
2017-04-21T00:00:00-06:00,3.525653123855591 kW
2017-04-22T00:00:00-06:00,-7.810383319854736 kW
2017-04-23T00:00:00-06:00,-8.813119888305664 kW
2017-04-24T00:00:00-06:00,5.073562145233154 kW
2017-04-25T00:00:00-06:00,2.283236026763916 kW
2017-04-26T00:00:00-06:00,3.0899670124053955 kW
2017-04-27T00:00:00-06:00,4.293164253234863 kW
2017-04-28T00:00:00-06:00,1.0587561130523682 kW
2017-04-29T00:00:00-06:00,-9.037003517150879 kW
2017-04-30T00:00:00-06:00,-7.614614486694336 kW
2017-05-01T00:00:00-06:00,1.6363424062728882 kW
2017-05-02T00:00:00-06:00,2.1831982135772705 kW
2017-05-03T00:00:00-06:00,3.0375258922576904 kW
2017-05-04T00:00:00-06:00,3.987189292907715 kW
2017-05-05T00:00:00-06:00,3.0399463176727295 kW
2017-05-06T00:00:00-06:00,-0.6450329422950745 kW
2017-05-07T00:00:00-06:00,-2.0901098251342773 kW
2017-05-08T00:00:00-06:00,2.531562328338623 kW
2017-05-09T00:00:00-06:00,3.747265577316284 kW
2017-05-10T00:00:00-06:00,0.11880287528038025 kW
2017-05-11T00:00:00-06:00,-0.7399725317955017 kW
2017-05-12T00:00:00-06:00,1.7551416158676147 kW
2017-05-13T00:00:00-06:00,-7.690459728240967 kW
2017-05-14T00:00:00-06:00,-9.093092918395996 kW
2017-05-15T00:00:00-06:00,-1.4478577375411987 kW
2017-05-16T00:00:00-06:00,-0.008801269344985485 kW
2017-05-17T00:00:00-06:00,2.352729558944702 kW
2017-05-18T00:00:00-06:00,2.1335644721984863 kW
2017-05-19T00:00:00-06:00,0.7985913157463074 kW
2017-05-20T00:00:00-06:00,-2.8543310165405273 kW
2017-05-21T00:00:00-06:00,-3.531792402267456 kW
2017-05-22T00:00:00-06:00,-1.0800189971923828 kW
2017-05-23T00:00:00-06:00,2.024702548980713 kW
2017-05-24T00:00:00-06:00,-0.042681120336055756 kW
2017-05-25T00:00:00-06:00,-0.22822383046150208 kW
