,Unnamed: 0,game,shot,home/away,made/missed,period,shooter,shooter_name,distance,shot_type,assist,left,top,ThreePt,LocationCluster
0,0,1,0,1,1,1,4257,Derrick Favors,6-foot,jumper,Joe Ingles,91.33333333333331,60.0,0,0
1,1,1,1,1,0,1,4257,Derrick Favors,12-foot,jumper,,86.8888888888889,70.0,0,3
2,2,1,2,1,1,1,3032976,Rudy Gobert,3-foot,dunk,Joe Ingles,90.22222222222223,48.0,0,0
3,3,1,5,1,0,1,3908809,Donovan Mitchell,8-foot,pullup jump shot,,84.66666666666667,58.0,0,0
4,4,1,6,1,0,1,4011,Ricky Rubio,18-foot,pullup jump shot,,74.66666666666667,62.0,0,3
5,5,1,7,1,1,1,4011,Ricky Rubio,19-foot,step back jumpshot,,76.8888888888889,26.0,0,2
6,6,1,8,1,0,1,3908809,Donovan Mitchell,,driving layup,,92.44444444444444,46.0,0,0
7,7,1,9,1,1,1,1007,Joe Johnson,,two point shot,,83.55555555555556,50.0,0,0
8,8,1,10,1,1,1,3908809,Donovan Mitchell,10-foot,two point shot,,83.55555555555556,56.0,0,0
9,9,1,11,1,0,1,2968436,Joe Ingles,25-foot,three point jumper,,68.0,30.0,1,2
10,10,1,12,1,0,1,1007,Joe Johnson,23-foot,three point jumper,,86.8888888888889,4.0,1,1
11,11,1,13,1,1,1,3032976,Rudy Gobert,,layup ,Joe Ingles,92.44444444444444,54.0,0,0
12,12,1,14,1,0,1,1007,Joe Johnson,25-foot,three point jumper,,65.77777777777777,42.00000000000001,1,4
13,13,1,15,1,0,1,2581177,Rodney Hood,26-foot,three point jumper,,65.77777777777777,64.0,1,3
14,14,1,16,1,1,1,6429,Alec Burks,,driving layup,,90.22222222222223,54.0,0,0
15,15,1,17,1,0,1,2581177,Rodney Hood,14-foot,jumper,,78.0,52.0,0,4
16,16,1,18,1,0,1,1007,Joe Johnson,6-foot,hook shot,,86.8888888888889,46.0,0,0
17,17,1,19,1,0,1,6429,Alec Burks,22-foot,pullup jump shot,,70.22222222222223,66.0,0,3
18,18,1,20,1,1,1,2581177,Rodney Hood,25-foot,three point jumper,,73.55555555555556,84.0,1,3
