,game,shot,home/away,made/missed,period,shooter,shooter_name,distance,shot_type,assist,left,top,ThreePt
0,1,0,0,0,1,4011,Ricky Rubio,17-foot,pullup jump shot,,76.66666666666667,58.0,0
1,1,1,0,1,1,2968436,Joe Ingles,24-foot,three point shot,Donovan Mitchell,90.0,2.0,1
2,1,2,0,1,1,3908809,Donovan Mitchell,,dunk ,Ricky Rubio,94.44444444444444,50.0,0
3,1,3,0,1,1,3032976,Rudy Gobert,,dunk ,Derrick Favors,95.55555555555556,50.0,0
4,1,4,0,0,1,4011,Ricky Rubio,,two point shot,,95.55555555555556,52.0,0
5,1,5,0,1,1,3908809,Donovan Mitchell,7-foot,driving floating jump shot,,87.77777777777777,48.0,0
6,1,6,0,1,1,3908809,Donovan Mitchell,10-foot,driving floating jump shot,,84.44444444444444,48.0,0
7,1,7,0,0,1,4257,Derrick Favors,,alley oop layup,,94.44444444444444,52.0,0
8,1,8,0,0,1,4257,Derrick Favors,2-foot,layup,,94.44444444444444,48.0,0
9,1,9,0,1,1,3908809,Donovan Mitchell,26-foot,three pointer,,68.88888888888889,28.0,1
10,1,10,0,0,1,4257,Derrick Favors,11-foot,jumper,,83.33333333333334,48.0,0
11,1,11,0,1,1,3032976,Rudy Gobert,,dunk ,Derrick Favors,96.66666666666667,50.0,0
12,1,12,0,0,1,4011,Ricky Rubio,11-foot,pullup jump shot,,88.88888888888889,68.0,0
13,1,13,0,0,1,3908809,Donovan Mitchell,14-foot,pullup jump shot,,88.88888888888889,76.0,0
14,1,14,0,0,1,4011,Ricky Rubio,,pullup jump shot,,75.55555555555556,50.0,0
15,1,15,0,0,1,3908809,Donovan Mitchell,25-foot,three point pullup jump shot,,67.77777777777777,42.00000000000001,1
16,1,16,0,0,1,6581,Jae Crowder,26-foot,three point pullup jump shot,,67.77777777777777,36.0,1
17,1,17,0,1,1,4011,Ricky Rubio,11-foot,two point shot,,90.0,70.0,0
18,1,21,0,1,1,3102528,Dante Exum,,two point shot ,Donovan Mitchell,95.55555555555556,48.0,0
19,1,22,0,0,1,3102528,Dante Exum,,driving layup,,94.44444444444444,48.0,0
20,1,23,0,0,1,3998,Jonas Jerebko,25-foot,three point jumper,,82.22222222222223,6.0,1
21,1,24,0,1,1,4257,Derrick Favors,2-foot,layup,Dante Exum,94.44444444444444,48.0,0
22,1,26,0,0,2,3998,Jonas Jerebko,2-foot,layup,,93.33333333333333,52.0,0
23,1,27,0,1,2,6581,Jae Crowder,25-foot,three point jumper,Jonas Jerebko,72.22222222222223,78.0,1
