Catalog Num,Course Level,Grade Group,Section,Subject,sumHeadcount
1000,1000-1999,E,1,ME EN - Mechanical Engineering,2
1000,1000-1999,C,1,ME EN - Mechanical Engineering,6
1000,1000-1999,B,1,ME EN - Mechanical Engineering,16
1000,1000-1999,A,1,ME EN - Mechanical Engineering,42
1005,1000-1999,A,1,ME EN - Mechanical Engineering,9
1010,1000-1999,Other,1,ME EN - Mechanical Engineering,1
1010,1000-1999,W,1,ME EN - Mechanical Engineering,1
1010,1000-1999,E,1,ME EN - Mechanical Engineering,4
1010,1000-1999,D,1,ME EN - Mechanical Engineering,10
1010,1000-1999,C,1,ME EN - Mechanical Engineering,18
1010,1000-1999,B,1,ME EN - Mechanical Engineering,44
1010,1000-1999,A,1,ME EN - Mechanical Engineering,65
1300,1000-1999,W,1,ME EN - Mechanical Engineering,14
1300,1000-1999,E,1,ME EN - Mechanical Engineering,28
1300,1000-1999,D,1,ME EN - Mechanical Engineering,13
1300,1000-1999,C,1,ME EN - Mechanical Engineering,39
1300,1000-1999,B,1,ME EN - Mechanical Engineering,50
1300,1000-1999,A,1,ME EN - Mechanical Engineering,34
2020,2000-2999,C,1,ME EN - Mechanical Engineering,1
2020,2000-2999,B,1,ME EN - Mechanical Engineering,10
2020,2000-2999,A,1,ME EN - Mechanical Engineering,8
2080,2000-2999,C,1,ME EN - Mechanical Engineering,12
2080,2000-2999,B,1,ME EN - Mechanical Engineering,34
2080,2000-2999,A,1,ME EN - Mechanical Engineering,22
2300,2000-2999,W,2,ME EN - Mechanical Engineering,1
2300,2000-2999,W,1,ME EN - Mechanical Engineering,2
2300,2000-2999,E,1,ME EN - Mechanical Engineering,3
2300,2000-2999,C,2,ME EN - Mechanical Engineering,1
2300,2000-2999,C,1,ME EN - Mechanical Engineering,15
2300,2000-2999,B,2,ME EN - Mechanical Engineering,16
2300,2000-2999,B,1,ME EN - Mechanical Engineering,18
2300,2000-2999,A,2,ME EN - Mechanical Engineering,6
2300,2000-2999,A,1,ME EN - Mechanical Engineering,16
2450,2000-2999,W,1,ME EN - Mechanical Engineering,2
2450,2000-2999,E,1,ME EN - Mechanical Engineering,9
2450,2000-2999,D,1,ME EN - Mechanical Engineering,3
2450,2000-2999,C,1,ME EN - Mechanical Engineering,21
2450,2000-2999,B,1,ME EN - Mechanical Engineering,24
2450,2000-2999,A,1,ME EN - Mechanical Engineering,9
2650,2000-2999,W,1,ME EN - Mechanical Engineering,1
2650,2000-2999,D,1,ME EN - Mechanical Engineering,3
2650,2000-2999,C,1,ME EN - Mechanical Engineering,18
2650,2000-2999,B,1,ME EN - Mechanical Engineering,52
2650,2000-2999,A,1,ME EN - Mechanical Engineering,27
2950,2000-2999,A,3,ME EN - Mechanical Engineering,ds
2960,2000-2999,A,3,ME EN - Mechanical Engineering,8
2960,2000-2999,A,2,ME EN - Mechanical Engineering,ds
2960,2000-2999,A,1,ME EN - Mechanical Engineering,5
3000,3000-3999,W,1,ME EN - Mechanical Engineering,1
3000,3000-3999,E,1,ME EN - Mechanical Engineering,8
3000,3000-3999,D,1,ME EN - Mechanical Engineering,10
3000,3000-3999,C,1,ME EN - Mechanical Engineering,50
3000,3000-3999,B,1,ME EN - Mechanical Engineering,48
3000,3000-3999,A,1,ME EN - Mechanical Engineering,25
3200,3000-3999,W,1,ME EN - Mechanical Engineering,1
3200,3000-3999,E,1,ME EN - Mechanical Engineering,1
3200,3000-3999,D,1,ME EN - Mechanical Engineering,1
3200,3000-3999,C,1,ME EN - Mechanical Engineering,12
3200,3000-3999,B,1,ME EN - Mechanical Engineering,33
3200,3000-3999,A,1,ME EN - Mechanical Engineering,12
3210,3000-3999,D,1,ME EN - Mechanical Engineering,4
3210,3000-3999,C,1,ME EN - Mechanical Engineering,22
3210,3000-3999,B,1,ME EN - Mechanical Engineering,90
3210,3000-3999,A,1,ME EN - Mechanical Engineering,30
3300,3000-3999,D,1,ME EN - Mechanical Engineering,1
3300,3000-3999,C,1,ME EN - Mechanical Engineering,26
3300,3000-3999,B,1,ME EN - Mechanical Engineering,36
3300,3000-3999,A,1,ME EN - Mechanical Engineering,31
3600,3000-3999,W,1,ME EN - Mechanical Engineering,3
3600,3000-3999,E,1,ME EN - Mechanical Engineering,3
3600,3000-3999,D,1,ME EN - Mechanical Engineering,9
3600,3000-3999,C,1,ME EN - Mechanical Engineering,22
3600,3000-3999,B,1,ME EN - Mechanical Engineering,28
3600,3000-3999,A,1,ME EN - Mechanical Engineering,13
3650,3000-3999,W,2,ME EN - Mechanical Engineering,1
3650,3000-3999,W,1,ME EN - Mechanical Engineering,1
3650,3000-3999,E,1,ME EN - Mechanical Engineering,1
3650,3000-3999,D,1,ME EN - Mechanical Engineering,3
3650,3000-3999,C,2,ME EN - Mechanical Engineering,5
3650,3000-3999,C,1,ME EN - Mechanical Engineering,16
3650,3000-3999,B,2,ME EN - Mechanical Engineering,20
3650,3000-3999,B,1,ME EN - Mechanical Engineering,26
3650,3000-3999,A,2,ME EN - Mechanical Engineering,9
3650,3000-3999,A,1,ME EN - Mechanical Engineering,54
3700,3000-3999,E,1,ME EN - Mechanical Engineering,2
3700,3000-3999,D,1,ME EN - Mechanical Engineering,2
3700,3000-3999,C,1,ME EN - Mechanical Engineering,13
3700,3000-3999,B,1,ME EN - Mechanical Engineering,40
3700,3000-3999,A,1,ME EN - Mechanical Engineering,8
4000,4000-4999,C,1,ME EN - Mechanical Engineering,1
4000,4000-4999,A,1,ME EN - Mechanical Engineering,41
4010,4000-4999,B,1,ME EN - Mechanical Engineering,34
4010,4000-4999,A,1,ME EN - Mechanical Engineering,89
4060,4000-4999,W,1,ME EN - Mechanical Engineering,1
4060,4000-4999,C,1,ME EN - Mechanical Engineering,3
4060,4000-4999,B,1,ME EN - Mechanical Engineering,12
4060,4000-4999,A,1,ME EN - Mechanical Engineering,5
4999,4000-4999,A,1,ME EN - Mechanical Engineering,ds
5010,5000-5999,W,1,ME EN - Mechanical Engineering,1
5010,5000-5999,D,1,ME EN - Mechanical Engineering,1
5010,5000-5999,C,1,ME EN - Mechanical Engineering,1
5010,5000-5999,B,1,ME EN - Mechanical Engineering,10
5010,5000-5999,A,1,ME EN - Mechanical Engineering,8
5050,5000-5999,C,1,ME EN - Mechanical Engineering,1
5050,5000-5999,B,1,ME EN - Mechanical Engineering,9
5050,5000-5999,A,1,ME EN - Mechanical Engineering,5
5055,5000-5999,A,1,ME EN - Mechanical Engineering,ds
5100,5000-5999,W,1,ME EN - Mechanical Engineering,2
5100,5000-5999,E,1,ME EN - Mechanical Engineering,1
5100,5000-5999,C,1,ME EN - Mechanical Engineering,2
5100,5000-5999,B,1,ME EN - Mechanical Engineering,19
5100,5000-5999,A,1,ME EN - Mechanical Engineering,39
5210,5000-5999,W,1,ME EN - Mechanical Engineering,1
5210,5000-5999,C,1,ME EN - Mechanical Engineering,1
5210,5000-5999,B,1,ME EN - Mechanical Engineering,5
5210,5000-5999,A,1,ME EN - Mechanical Engineering,8
5230,5000-5999,A,1,ME EN - Mechanical Engineering,ds
5240,5000-5999,B,1,ME EN - Mechanical Engineering,2
5240,5000-5999,A,1,ME EN - Mechanical Engineering,7
5410,5000-5999,W,1,ME EN - Mechanical Engineering,4
5410,5000-5999,D,1,ME EN - Mechanical Engineering,1
5410,5000-5999,C,1,ME EN - Mechanical Engineering,4
5410,5000-5999,B,1,ME EN - Mechanical Engineering,17
5410,5000-5999,A,1,ME EN - Mechanical Engineering,6
5520,5000-5999,Other,1,ME EN - Mechanical Engineering,1
5520,5000-5999,W,1,ME EN - Mechanical Engineering,3
5520,5000-5999,E,1,ME EN - Mechanical Engineering,1
5520,5000-5999,D,1,ME EN - Mechanical Engineering,1
5520,5000-5999,C,1,ME EN - Mechanical Engineering,10
5520,5000-5999,B,1,ME EN - Mechanical Engineering,29
5520,5000-5999,A,1,ME EN - Mechanical Engineering,14
5540,5000-5999,E,1,ME EN - Mechanical Engineering,1
5540,5000-5999,C,1,ME EN - Mechanical Engineering,1
5540,5000-5999,B,1,ME EN - Mechanical Engineering,4
5540,5000-5999,A,1,ME EN - Mechanical Engineering,1
5710,5000-5999,Other,1,ME EN - Mechanical Engineering,2
5710,5000-5999,W,1,ME EN - Mechanical Engineering,3
5710,5000-5999,B,1,ME EN - Mechanical Engineering,15
5710,5000-5999,A,1,ME EN - Mechanical Engineering,14
5820,5000-5999,B,1,ME EN - Mechanical Engineering,3
5820,5000-5999,A,1,ME EN - Mechanical Engineering,36
5910,5000-5999,Other,3,ME EN - Mechanical Engineering,ds
5910,5000-5999,Other,2,ME EN - Mechanical Engineering,ds
5910,5000-5999,Other,1,ME EN - Mechanical Engineering,ds
5950,5000-5999,Other,20,ME EN - Mechanical Engineering,ds
5950,5000-5999,A,18,ME EN - Mechanical Engineering,ds
5960,5000-5999,W,1,ME EN - Mechanical Engineering,2
5960,5000-5999,E,5,ME EN - Mechanical Engineering,ds
5960,5000-5999,E,4,ME EN - Mechanical Engineering,ds
5960,5000-5999,C,6,ME EN - Mechanical Engineering,1
5960,5000-5999,B,6,ME EN - Mechanical Engineering,3
5960,5000-5999,B,1,ME EN - Mechanical Engineering,6
5960,5000-5999,A,12,ME EN - Mechanical Engineering,ds
5960,5000-5999,A,6,ME EN - Mechanical Engineering,4
5960,5000-5999,A,4,ME EN - Mechanical Engineering,ds
5960,5000-5999,A,1,ME EN - Mechanical Engineering,3
