,Cat. #,Sec.,Subject,A,B,C,D,E,W,Other,Instructor,Sem,h-score
0,1000,1,ME EN - Mechanical Engineering,32,8,2,1,1,0,0,CHANG,F17,11
1,1010,1,ME EN - Mechanical Engineering,56,40,21,10,4,11,0,MASCARO,F17,17
2,2010,1,ME EN - Mechanical Engineering,34,43,28,30,9,7,1,COATS,F17,12
3,2960,1,ME EN - Mechanical Engineering,5,0,0,0,1,0,0,SMITH,F17,10
4,2960,3,ME EN - Mechanical Engineering,6,0,0,0,0,0,0,SMITH,F17,10
5,3000,1,ME EN - Mechanical Engineering,26,41,29,8,14,0,0,RAEYMAEKERS,F17,15
6,3210,1,ME EN - Mechanical Engineering,24,74,30,1,0,0,1,MINOR,F17,21
7,3220,1,ME EN - Mechanical Engineering,13,42,9,2,3,0,0,MINOR,F17,21
8,3300,1,ME EN - Mechanical Engineering,16,37,13,1,6,1,1,NEWELL,F17,8
9,3600,1,ME EN - Mechanical Engineering,17,25,24,6,7,1,0,PARK,F17,18
10,3650,1,ME EN - Mechanical Engineering,31,36,29,10,3,2,0,FRANCOEUR,F17,21
11,3700,1,ME EN - Mechanical Engineering,8,24,17,0,2,1,0,FU,F17,17
12,4000,1,ME EN - Mechanical Engineering,66,3,0,0,0,0,0,WARREN,F17,6
13,4010,1,ME EN - Mechanical Engineering,55,75,2,0,0,0,0,ROUNDY,F17,20
14,5210,1,ME EN - Mechanical Engineering,3,11,3,0,0,0,0,MEEK,F17,21
15,5230,1,ME EN - Mechanical Engineering,3,3,0,0,0,0,0,MASCARO,F17,17
16,5400,1,ME EN - Mechanical Engineering,8,8,2,0,0,0,0,MEEK,F17,21
17,5520,1,ME EN - Mechanical Engineering,8,33,25,3,2,0,0,CZABAJ,F17,9
18,5960,4,ME EN - Mechanical Engineering,12,2,1,0,0,0,0,SMITH,F17,10
19,5960,3,ME EN - Mechanical Engineering,6,8,2,0,0,0,0,CALAF,F17,9
20,5960,2,ME EN - Mechanical Engineering,3,3,1,0,0,0,0,TAN,F17,7
21,5960,1,ME EN - Mechanical Engineering,5,8,0,0,0,0,0,MERRYWEATHER,F17,11
22,1000,1,ME EN - Mechanical Engineering,32,8,2,1,1,0,0,CHANG,S17,11
23,1010,1,ME EN - Mechanical Engineering,56,40,21,10,4,11,0,MASCARO,S17,17
24,2010,1,ME EN - Mechanical Engineering,34,43,28,30,9,7,1,COATS,S17,12
25,2960,1,ME EN - Mechanical Engineering,5,0,0,0,1,0,0,SMITH,S17,10
26,2960,3,ME EN - Mechanical Engineering,6,0,0,0,0,0,0,SMITH,S17,10
27,3000,1,ME EN - Mechanical Engineering,26,41,29,8,14,0,0,RAEYMAEKERS,S17,15
28,3210,1,ME EN - Mechanical Engineering,24,74,30,1,0,0,1,MINOR,S17,21
29,3220,1,ME EN - Mechanical Engineering,13,42,9,2,3,0,0,MINOR,S17,21
30,3300,1,ME EN - Mechanical Engineering,16,37,13,1,6,1,1,NEWELL,S17,8
31,3600,1,ME EN - Mechanical Engineering,17,25,24,6,7,1,0,PARK,S17,18
32,3650,1,ME EN - Mechanical Engineering,31,36,29,10,3,2,0,FRANCOEUR,S17,21
33,3700,1,ME EN - Mechanical Engineering,8,24,17,0,2,1,0,FU,S17,17
34,4000,1,ME EN - Mechanical Engineering,66,3,0,0,0,0,0,WARREN,S17,6
35,4010,1,ME EN - Mechanical Engineering,55,75,2,0,0,0,0,ROUNDY,S17,20
36,5210,1,ME EN - Mechanical Engineering,3,11,3,0,0,0,0,MEEK,S17,21
37,5230,1,ME EN - Mechanical Engineering,3,3,0,0,0,0,0,MASCARO,S17,17
38,5400,1,ME EN - Mechanical Engineering,8,8,2,0,0,0,0,MEEK,S17,21
