Catalog Num,Course Level,Grade Group,Section,Subject,sumHeadcount
1005,1000-1999,A,1,ME EN - Mechanical Engineering,ds
1010,1000-1999,W,1,ME EN - Mechanical Engineering,3
1010,1000-1999,E,1,ME EN - Mechanical Engineering,7
1010,1000-1999,D,1,ME EN - Mechanical Engineering,11
1010,1000-1999,C,1,ME EN - Mechanical Engineering,20
1010,1000-1999,B,1,ME EN - Mechanical Engineering,41
1010,1000-1999,A,1,ME EN - Mechanical Engineering,62
1300,1000-1999,W,1,ME EN - Mechanical Engineering,7
1300,1000-1999,E,1,ME EN - Mechanical Engineering,26
1300,1000-1999,D,1,ME EN - Mechanical Engineering,16
1300,1000-1999,C,1,ME EN - Mechanical Engineering,35
1300,1000-1999,B,1,ME EN - Mechanical Engineering,46
1300,1000-1999,A,1,ME EN - Mechanical Engineering,26
2020,2000-2999,C,1,ME EN - Mechanical Engineering,4
2020,2000-2999,B,1,ME EN - Mechanical Engineering,12
2020,2000-2999,A,1,ME EN - Mechanical Engineering,10
2080,2000-2999,E,1,ME EN - Mechanical Engineering,1
2080,2000-2999,D,1,ME EN - Mechanical Engineering,1
2080,2000-2999,C,1,ME EN - Mechanical Engineering,18
2080,2000-2999,B,1,ME EN - Mechanical Engineering,37
2080,2000-2999,A,1,ME EN - Mechanical Engineering,29
2300,2000-2999,W,1,ME EN - Mechanical Engineering,3
2300,2000-2999,E,1,ME EN - Mechanical Engineering,18
2300,2000-2999,D,1,ME EN - Mechanical Engineering,13
2300,2000-2999,C,1,ME EN - Mechanical Engineering,27
2300,2000-2999,B,1,ME EN - Mechanical Engineering,34
2300,2000-2999,A,1,ME EN - Mechanical Engineering,35
2450,2000-2999,W,1,ME EN - Mechanical Engineering,1
2450,2000-2999,E,1,ME EN - Mechanical Engineering,1
2450,2000-2999,C,1,ME EN - Mechanical Engineering,2
2450,2000-2999,B,1,ME EN - Mechanical Engineering,2
2450,2000-2999,A,1,ME EN - Mechanical Engineering,2
2655,2000-2999,Other,5,ME EN - Mechanical Engineering,ds
2655,2000-2999,Other,2,ME EN - Mechanical Engineering,1
2655,2000-2999,A,6,ME EN - Mechanical Engineering,ds
2655,2000-2999,A,5,ME EN - Mechanical Engineering,ds
2655,2000-2999,A,4,ME EN - Mechanical Engineering,ds
2655,2000-2999,A,2,ME EN - Mechanical Engineering,9
2660,2000-2999,Other,2,ME EN - Mechanical Engineering,1
2660,2000-2999,A,4,ME EN - Mechanical Engineering,9
2660,2000-2999,A,3,ME EN - Mechanical Engineering,10
2660,2000-2999,A,2,ME EN - Mechanical Engineering,10
2660,2000-2999,A,1,ME EN - Mechanical Engineering,10
2950,2000-2999,E,1,ME EN - Mechanical Engineering,ds
2950,2000-2999,C,3,ME EN - Mechanical Engineering,ds
2950,2000-2999,A,4,ME EN - Mechanical Engineering,ds
