Catalog Num,Course Level,Grade Group,Section,Subject,sumHeadcount
1010,1000-1999,Other,1,BIOEN - Bioengineering,221
1010,1000-1999,W,1,BIOEN - Bioengineering,4
2100,2000-2999,W,1,BIOEN - Bioengineering,3
2100,2000-2999,E,1,BIOEN - Bioengineering,1
2100,2000-2999,C,1,BIOEN - Bioengineering,6
2100,2000-2999,B,1,BIOEN - Bioengineering,72
2100,2000-2999,A,1,BIOEN - Bioengineering,54
3070,3000-3999,W,1,BIOEN - Bioengineering,1
3070,3000-3999,B,1,BIOEN - Bioengineering,17
3070,3000-3999,A,1,BIOEN - Bioengineering,21
3091,3000-3999,Other,1,BIOEN - Bioengineering,18
3202,3000-3999,W,1,BIOEN - Bioengineering,1
3202,3000-3999,E,1,BIOEN - Bioengineering,1
3202,3000-3999,C,1,BIOEN - Bioengineering,9
3202,3000-3999,B,1,BIOEN - Bioengineering,33
3202,3000-3999,A,1,BIOEN - Bioengineering,40
4101,4000-4999,E,1,BIOEN - Bioengineering,1
4101,4000-4999,C,1,BIOEN - Bioengineering,11
4101,4000-4999,B,1,BIOEN - Bioengineering,23
4101,4000-4999,A,1,BIOEN - Bioengineering,28
4200,4000-4999,A,1,BIOEN - Bioengineering,25
4201,4000-4999,B,1,BIOEN - Bioengineering,12
4201,4000-4999,A,1,BIOEN - Bioengineering,52
4250,4000-4999,W,1,BIOEN - Bioengineering,4
4250,4000-4999,E,1,BIOEN - Bioengineering,2
4250,4000-4999,D,1,BIOEN - Bioengineering,2
4250,4000-4999,C,1,BIOEN - Bioengineering,8
4250,4000-4999,B,1,BIOEN - Bioengineering,22
4250,4000-4999,A,1,BIOEN - Bioengineering,29
4801,4000-4999,C,1,BIOEN - Bioengineering,1
4801,4000-4999,B,1,BIOEN - Bioengineering,20
4801,4000-4999,A,1,BIOEN - Bioengineering,42
4999,4000-4999,Other,1,BIOEN - Bioengineering,4
4999,4000-4999,A,1,BIOEN - Bioengineering,1
5110,5000-5999,B,1,BIOEN - Bioengineering,2
5110,5000-5999,A,1,BIOEN - Bioengineering,18
5900,5000-5999,W,1,BIOEN - Bioengineering,1
5900,5000-5999,C,1,BIOEN - Bioengineering,1
5900,5000-5999,B,1,BIOEN - Bioengineering,3
5900,5000-5999,A,1,BIOEN - Bioengineering,1
1703,1000-1999,W,1,CH EN - Chemical Engineering,7
1703,1000-1999,E,1,CH EN - Chemical Engineering,2
1703,1000-1999,D,1,CH EN - Chemical Engineering,7
1703,1000-1999,C,1,CH EN - Chemical Engineering,3
1703,1000-1999,B,1,CH EN - Chemical Engineering,33
1703,1000-1999,A,1,CH EN - Chemical Engineering,33
2300,2000-2999,W,1,CH EN - Chemical Engineering,1
2300,2000-2999,E,1,CH EN - Chemical Engineering,9
2300,2000-2999,D,1,CH EN - Chemical Engineering,6
2300,2000-2999,C,1,CH EN - Chemical Engineering,20
2300,2000-2999,B,1,CH EN - Chemical Engineering,30
2300,2000-2999,A,1,CH EN - Chemical Engineering,23
2450,2000-2999,W,1,CH EN - Chemical Engineering,6
2450,2000-2999,E,1,CH EN - Chemical Engineering,6
2450,2000-2999,D,1,CH EN - Chemical Engineering,3
2450,2000-2999,C,1,CH EN - Chemical Engineering,21
2450,2000-2999,B,1,CH EN - Chemical Engineering,23
2450,2000-2999,A,1,CH EN - Chemical Engineering,14
3353,3000-3999,W,1,CH EN - Chemical Engineering,3
3353,3000-3999,E,1,CH EN - Chemical Engineering,2
3353,3000-3999,D,1,CH EN - Chemical Engineering,1
3353,3000-3999,C,1,CH EN - Chemical Engineering,8
3353,3000-3999,B,1,CH EN - Chemical Engineering,62
3353,3000-3999,A,1,CH EN - Chemical Engineering,15
3453,3000-3999,Other,1,CH EN - Chemical Engineering,1
3453,3000-3999,W,1,CH EN - Chemical Engineering,1
3453,3000-3999,E,1,CH EN - Chemical Engineering,3
3453,3000-3999,C,1,CH EN - Chemical Engineering,17
3453,3000-3999,B,1,CH EN - Chemical Engineering,34
3453,3000-3999,A,1,CH EN - Chemical Engineering,30
3853,3000-3999,W,1,CH EN - Chemical Engineering,2
3853,3000-3999,E,1,CH EN - Chemical Engineering,4
3853,3000-3999,C,1,CH EN - Chemical Engineering,13
3853,3000-3999,B,1,CH EN - Chemical Engineering,43
3853,3000-3999,A,1,CH EN - Chemical Engineering,28
4203,4000-4999,W,1,CH EN - Chemical Engineering,1
4203,4000-4999,D,1,CH EN - Chemical Engineering,2
4203,4000-4999,C,1,CH EN - Chemical Engineering,9
4203,4000-4999,B,1,CH EN - Chemical Engineering,30
4203,4000-4999,A,1,CH EN - Chemical Engineering,38
4253,4000-4999,E,1,CH EN - Chemical Engineering,1
4253,4000-4999,D,1,CH EN - Chemical Engineering,2
4253,4000-4999,C,1,CH EN - Chemical Engineering,3
4253,4000-4999,B,1,CH EN - Chemical Engineering,36
4253,4000-4999,A,1,CH EN - Chemical Engineering,37
4753,4000-4999,Other,1,CH EN - Chemical Engineering,79
4753,4000-4999,W,1,CH EN - Chemical Engineering,3
4850,4000-4999,Other,1,CH EN - Chemical Engineering,22
4903,4000-4999,E,1,CH EN - Chemical Engineering,2
4903,4000-4999,B,2,CH EN - Chemical Engineering,16
4903,4000-4999,B,1,CH EN - Chemical Engineering,22
4903,4000-4999,A,2,CH EN - Chemical Engineering,19
4903,4000-4999,A,1,CH EN - Chemical Engineering,21
4977,4000-4999,Other,79,CH EN - Chemical Engineering,1
4977,4000-4999,B,79,CH EN - Chemical Engineering,1
4977,4000-4999,A,79,CH EN - Chemical Engineering,9
4978,4000-4999,A,1,CH EN - Chemical Engineering,ds
4980,4000-4999,Other,3,CH EN - Chemical Engineering,ds
4980,4000-4999,E,5,CH EN - Chemical Engineering,ds
4980,4000-4999,A,2,CH EN - Chemical Engineering,ds
4999,4000-4999,Other,1,CH EN - Chemical Engineering,ds
5158,5000-5999,W,1,CH EN - Chemical Engineering,1
5158,5000-5999,C,1,CH EN - Chemical Engineering,1
5158,5000-5999,B,1,CH EN - Chemical Engineering,7
5158,5000-5999,A,1,CH EN - Chemical Engineering,14
5310,5000-5999,B,1,CH EN - Chemical Engineering,5
5310,5000-5999,A,1,CH EN - Chemical Engineering,15
5950,5000-5999,Other,4,CH EN - Chemical Engineering,ds
5950,5000-5999,Other,3,CH EN - Chemical Engineering,ds
5950,5000-5999,A,2,CH EN - Chemical Engineering,ds
5960,5000-5999,W,2,CH EN - Chemical Engineering,2
5960,5000-5999,D,2,CH EN - Chemical Engineering,5
5960,5000-5999,C,2,CH EN - Chemical Engineering,10
5960,5000-5999,B,2,CH EN - Chemical Engineering,15
5960,5000-5999,A,2,CH EN - Chemical Engineering,13
1030,1000-1999,Other,1,CS - Computer Science,1
1030,1000-1999,W,1,CS - Computer Science,7
1030,1000-1999,E,1,CS - Computer Science,11
1030,1000-1999,D,1,CS - Computer Science,7
1030,1000-1999,C,1,CS - Computer Science,21
1030,1000-1999,B,1,CS - Computer Science,56
1030,1000-1999,A,1,CS - Computer Science,62
1410,1000-1999,Other,1,CS - Computer Science,1
1410,1000-1999,W,40,CS - Computer Science,4
1410,1000-1999,W,30,CS - Computer Science,4
1410,1000-1999,W,1,CS - Computer Science,17
1410,1000-1999,E,40,CS - Computer Science,6
1410,1000-1999,E,30,CS - Computer Science,13
1410,1000-1999,E,1,CS - Computer Science,45
1410,1000-1999,D,40,CS - Computer Science,5
1410,1000-1999,D,30,CS - Computer Science,6
1410,1000-1999,D,1,CS - Computer Science,11
1410,1000-1999,C,40,CS - Computer Science,4
1410,1000-1999,C,30,CS - Computer Science,12
1410,1000-1999,C,1,CS - Computer Science,26
1410,1000-1999,B,40,CS - Computer Science,7
1410,1000-1999,B,30,CS - Computer Science,17
1410,1000-1999,B,1,CS - Computer Science,86
1410,1000-1999,A,40,CS - Computer Science,15
1410,1000-1999,A,30,CS - Computer Science,30
1410,1000-1999,A,1,CS - Computer Science,137
1960,1000-1999,Other,1,CS - Computer Science,1
1960,1000-1999,W,1,CS - Computer Science,4
1960,1000-1999,E,1,CS - Computer Science,4
1960,1000-1999,D,1,CS - Computer Science,3
1960,1000-1999,C,1,CS - Computer Science,15
1960,1000-1999,B,1,CS - Computer Science,28
1960,1000-1999,A,1,CS - Computer Science,30
2100,2000-2999,W,1,CS - Computer Science,9
2100,2000-2999,E,1,CS - Computer Science,12
2100,2000-2999,D,1,CS - Computer Science,6
2100,2000-2999,C,1,CS - Computer Science,24
2100,2000-2999,B,1,CS - Computer Science,50
2100,2000-2999,A,1,CS - Computer Science,107
2420,2000-2999,W,1,CS - Computer Science,18
2420,2000-2999,E,1,CS - Computer Science,20
2420,2000-2999,D,1,CS - Computer Science,10
2420,2000-2999,C,1,CS - Computer Science,24
2420,2000-2999,B,1,CS - Computer Science,56
2420,2000-2999,A,1,CS - Computer Science,63
3020,3000-3999,C,1,CS - Computer Science,1
3020,3000-3999,A,1,CS - Computer Science,30
3100,3000-3999,W,1,CS - Computer Science,6
3100,3000-3999,E,1,CS - Computer Science,5
3100,3000-3999,D,1,CS - Computer Science,1
3100,3000-3999,C,1,CS - Computer Science,5
3100,3000-3999,B,1,CS - Computer Science,46
3100,3000-3999,A,1,CS - Computer Science,51
3130,3000-3999,Other,1,CS - Computer Science,1
3130,3000-3999,W,1,CS - Computer Science,4
3130,3000-3999,E,1,CS - Computer Science,8
3130,3000-3999,D,1,CS - Computer Science,3
3130,3000-3999,C,1,CS - Computer Science,14
3130,3000-3999,B,1,CS - Computer Science,34
3130,3000-3999,A,1,CS - Computer Science,50
3500,3000-3999,Other,1,CS - Computer Science,1
3500,3000-3999,W,1,CS - Computer Science,5
3500,3000-3999,E,1,CS - Computer Science,10
3500,3000-3999,D,1,CS - Computer Science,2
3500,3000-3999,C,1,CS - Computer Science,24
3500,3000-3999,B,1,CS - Computer Science,73
3500,3000-3999,A,1,CS - Computer Science,65
3505,3000-3999,W,1,CS - Computer Science,2
3505,3000-3999,E,1,CS - Computer Science,2
3505,3000-3999,C,1,CS - Computer Science,2
3505,3000-3999,B,1,CS - Computer Science,22
3505,3000-3999,A,1,CS - Computer Science,74
3710,3000-3999,Other,1,CS - Computer Science,1
3710,3000-3999,B,1,CS - Computer Science,1
3710,3000-3999,A,1,CS - Computer Science,18
3810,3000-3999,W,1,CS - Computer Science,9
3810,3000-3999,E,1,CS - Computer Science,5
3810,3000-3999,D,1,CS - Computer Science,3
3810,3000-3999,C,1,CS - Computer Science,29
3810,3000-3999,B,1,CS - Computer Science,49
3810,3000-3999,A,1,CS - Computer Science,41
3991,3000-3999,E,1,CS - Computer Science,1
3991,3000-3999,B,1,CS - Computer Science,1
3991,3000-3999,A,1,CS - Computer Science,24
4000,4000-4999,W,1,CS - Computer Science,1
4000,4000-4999,B,1,CS - Computer Science,12
4000,4000-4999,A,1,CS - Computer Science,47
4010,4000-4999,A,1,CS - Computer Science,ds
4150,4000-4999,Other,1,CS - Computer Science,2
4150,4000-4999,W,1,CS - Computer Science,5
4150,4000-4999,E,1,CS - Computer Science,5
4150,4000-4999,C,1,CS - Computer Science,2
4150,4000-4999,B,1,CS - Computer Science,35
4150,4000-4999,A,1,CS - Computer Science,24
4300,4000-4999,Other,1,CS - Computer Science,1
4300,4000-4999,E,1,CS - Computer Science,1
4300,4000-4999,C,1,CS - Computer Science,4
4300,4000-4999,B,1,CS - Computer Science,40
4300,4000-4999,A,1,CS - Computer Science,19
4400,4000-4999,Other,1,CS - Computer Science,1
4400,4000-4999,W,1,CS - Computer Science,6
4400,4000-4999,E,1,CS - Computer Science,4
4400,4000-4999,D,1,CS - Computer Science,5
4400,4000-4999,C,1,CS - Computer Science,28
4400,4000-4999,B,1,CS - Computer Science,55
4400,4000-4999,A,1,CS - Computer Science,63
4500,4000-4999,B,2,CS - Computer Science,8
4500,4000-4999,A,2,CS - Computer Science,32
4530,4000-4999,Other,1,CS - Computer Science,1
4530,4000-4999,W,2,CS - Computer Science,1
4530,4000-4999,W,1,CS - Computer Science,2
4530,4000-4999,E,2,CS - Computer Science,2
4530,4000-4999,E,1,CS - Computer Science,7
4530,4000-4999,D,2,CS - Computer Science,1
4530,4000-4999,C,2,CS - Computer Science,1
4530,4000-4999,C,1,CS - Computer Science,9
4530,4000-4999,B,2,CS - Computer Science,5
4530,4000-4999,B,1,CS - Computer Science,7
4530,4000-4999,A,2,CS - Computer Science,3
4530,4000-4999,A,1,CS - Computer Science,7
4540,4000-4999,W,1,CS - Computer Science,1
4540,4000-4999,E,1,CS - Computer Science,1
4540,4000-4999,B,1,CS - Computer Science,5
4540,4000-4999,A,1,CS - Computer Science,50
4600,4000-4999,Other,1,CS - Computer Science,1
4600,4000-4999,W,1,CS - Computer Science,2
4600,4000-4999,B,1,CS - Computer Science,4
4600,4000-4999,A,1,CS - Computer Science,54
4710,4000-4999,B,1,CS - Computer Science,1
4710,4000-4999,A,1,CS - Computer Science,7
4940,4000-4999,A,53,CS - Computer Science,ds
4940,4000-4999,A,30,CS - Computer Science,ds
4940,4000-4999,A,27,CS - Computer Science,ds
4940,4000-4999,A,15,CS - Computer Science,ds
4950,4000-4999,A,44,CS - Computer Science,ds
4950,4000-4999,A,21,CS - Computer Science,ds
4950,4000-4999,A,6,CS - Computer Science,ds
4962,4000-4999,E,1,CS - Computer Science,1
4962,4000-4999,B,1,CS - Computer Science,1
4962,4000-4999,A,1,CS - Computer Science,11
4963,4000-4999,A,1,CS - Computer Science,6
4964,4000-4999,W,1,CS - Computer Science,1
