Catalog Num,Course Level,Grade Group,Section,Subject,sumHeadcount
1020,1000-1999,W,1,BIOEN - Bioengineering,2
1020,1000-1999,E,1,BIOEN - Bioengineering,1
1020,1000-1999,D,1,BIOEN - Bioengineering,2
1020,1000-1999,C,1,BIOEN - Bioengineering,16
1020,1000-1999,B,1,BIOEN - Bioengineering,56
1020,1000-1999,A,1,BIOEN - Bioengineering,67
3091,3000-3999,Other,1,BIOEN - Bioengineering,56
3101,3000-3999,W,1,BIOEN - Bioengineering,1
3101,3000-3999,E,1,BIOEN - Bioengineering,2
3101,3000-3999,D,1,BIOEN - Bioengineering,2
3101,3000-3999,C,1,BIOEN - Bioengineering,16
3101,3000-3999,B,1,BIOEN - Bioengineering,30
3101,3000-3999,A,1,BIOEN - Bioengineering,35
3301,3000-3999,E,2,BIOEN - Bioengineering,1
3301,3000-3999,D,2,BIOEN - Bioengineering,1
3301,3000-3999,C,3,BIOEN - Bioengineering,2
3301,3000-3999,C,1,BIOEN - Bioengineering,3
3301,3000-3999,B,3,BIOEN - Bioengineering,12
3301,3000-3999,B,2,BIOEN - Bioengineering,15
3301,3000-3999,B,1,BIOEN - Bioengineering,14
3301,3000-3999,A,3,BIOEN - Bioengineering,17
3301,3000-3999,A,2,BIOEN - Bioengineering,10
3301,3000-3999,A,1,BIOEN - Bioengineering,7
3801,3000-3999,Other,1,BIOEN - Bioengineering,4
3801,3000-3999,B,1,BIOEN - Bioengineering,7
3801,3000-3999,A,1,BIOEN - Bioengineering,52
4001,4000-4999,Other,1,BIOEN - Bioengineering,2
4001,4000-4999,C,1,BIOEN - Bioengineering,1
4001,4000-4999,B,1,BIOEN - Bioengineering,6
4001,4000-4999,A,1,BIOEN - Bioengineering,47
4200,4000-4999,Other,1,BIOEN - Bioengineering,25
4200,4000-4999,A,1,BIOEN - Bioengineering,23
4202,4000-4999,C,1,BIOEN - Bioengineering,1
4202,4000-4999,B,1,BIOEN - Bioengineering,3
4202,4000-4999,A,1,BIOEN - Bioengineering,64
4301,4000-4999,Other,1,BIOEN - Bioengineering,3
4301,4000-4999,C,1,BIOEN - Bioengineering,2
4301,4000-4999,B,1,BIOEN - Bioengineering,16
4301,4000-4999,A,1,BIOEN - Bioengineering,66
4702,4000-4999,E,1,BIOEN - Bioengineering,1
4702,4000-4999,B,1,BIOEN - Bioengineering,3
4702,4000-4999,A,1,BIOEN - Bioengineering,4
4990,4000-4999,A,1,BIOEN - Bioengineering,ds
4999,4000-4999,A,1,BIOEN - Bioengineering,7
5005,5000-5999,Other,1,BIOEN - Bioengineering,1
5005,5000-5999,B,1,BIOEN - Bioengineering,1
5005,5000-5999,A,1,BIOEN - Bioengineering,4
5160,5000-5999,A,1,BIOEN - Bioengineering,20
5250,5000-5999,E,1,BIOEN - Bioengineering,1
5250,5000-5999,C,1,BIOEN - Bioengineering,1
5250,5000-5999,B,1,BIOEN - Bioengineering,4
5250,5000-5999,A,1,BIOEN - Bioengineering,8
5602,5000-5999,Other,1,BIOEN - Bioengineering,3
5602,5000-5999,A,1,BIOEN - Bioengineering,3
5701,5000-5999,A,1,BIOEN - Bioengineering,ds
1705,1000-1999,D,1,CH EN - Chemical Engineering,6
1705,1000-1999,C,1,CH EN - Chemical Engineering,6
1705,1000-1999,B,1,CH EN - Chemical Engineering,31
1705,1000-1999,A,1,CH EN - Chemical Engineering,45
2800,2000-2999,E,1,CH EN - Chemical Engineering,2
2800,2000-2999,D,1,CH EN - Chemical Engineering,6
2800,2000-2999,C,1,CH EN - Chemical Engineering,12
2800,2000-2999,B,1,CH EN - Chemical Engineering,23
2800,2000-2999,A,1,CH EN - Chemical Engineering,27
3253,3000-3999,E,1,CH EN - Chemical Engineering,1
3253,3000-3999,C,1,CH EN - Chemical Engineering,11
3253,3000-3999,B,1,CH EN - Chemical Engineering,39
3253,3000-3999,A,1,CH EN - Chemical Engineering,34
3255,3000-3999,W,1,CH EN - Chemical Engineering,3
3255,3000-3999,C,1,CH EN - Chemical Engineering,1
